entity;label;popularity
Q23829145;Q23829145;30
Q24273487;Q24273487;25
Q22548009;Q22548009;23
Q23604099;Q23604099;21
Q24640268;Q24640268;21
Q24639360;Q24639360;20
Q24643715;Q24643715;20
Q24678009;Q24678009;19
Q24677937;Q24677937;19
Q22541532;Q22541532;18
Q23811879;Q23811879;18
Q24639517;Q24639517;18
Q24659059;Q24659059;18
Q24656723;Q24656723;18
Q24325147;Q24325147;18
Q24680053;Q24680053;17
Q23950180;Q23950180;17
Q24638935;Q24638935;17
Q23839192;Q23839192;17
Q24677999;Q24677999;17
Q24677957;Q24677957;17
Q24677951;Q24677951;17
Q24677932;Q24677932;16
Q23823514;Q23823514;16
Q22461977;Q22461977;16
Q23993696;Q23993696;16
Q24639658;Q24639658;16
Q24002832;Q24002832;16
Q22627488;Q22627488;15
Q24661186;Q24661186;15
Q22855698;Q22855698;15
Q22384726;Q22384726;15
Q24640113;Q24640113;15
Q22418365;Q22418365;15
Q23942339;Q23942339;15
Q24930378;Q24930378;14
Q24192831;Q24192831;14
Q22698100;Q22698100;14
Q22354848;Q22354848;14
Q23978994;Q23978994;14
Q24933829;Q24933829;14
Q23985106;Q23985106;14
Q24764881;Q24764881;14
Q24656298;Q24656298;14
Q23657231;Q23657231;14
Q22697636;Q22697636;14
Q22701202;Q22701202;13
Q23721840;Q23721840;13
Q22693690;Q22693690;13
Q24036116;Q24036116;13
Q22692108;Q22692108;13
Q22543497;Q22543497;13
Q23814924;Q23814924;13
Q22949158;Q22949158;13
Q22333301;Q22333301;13
Q24003629;Q24003629;13
Q22390688;Q22390688;13
Q22402173;Q22402173;13
Q24288079;Q24288079;13
Q24643341;Q24643341;13
Q24254907;Q24254907;13
Q22366688;Q22366688;13
Q22697936;Q22697936;13
Q24659116;Q24659116;13
Q22698175;Q22698175;13
Q22698383;Q22698383;13
Q22698809;Q22698809;13
Q22594224;Q22594224;13
Q24192701;Q24192701;13
Q24191793;Q24191793;12
Q24659166;Q24659166;12
