prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;2461;100.0
государство;10;1715;100.0
юрисдикция распространяется на;10;134;100.0
это частный случай понятия;10;23;100.0
административно делится на;10;14;100.0
географические координаты;10;12;100.0
столица;10;12;100.0
карта местонахождения;10;11;100.0
категория на Викискладе;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
официальный язык;10;10;100.0
категория объединяет темы;9;817;90.0
изображение флага;9;14;90.0
денежная единица;9;13;90.0
гимн;9;11;90.0
является столицей;9;10;90.0
ISO 3166-1 alpha-2;9;9;90.0
ISO 3166-1 alpha-3;9;9;90.0
ISO 3166-1 цифровой;9;9;90.0
баннер Викигида;9;9;90.0
галерея на Викискладе;9;9;90.0
изображение герба;9;9;90.0
код Freebase;9;9;90.0
код GND;9;9;90.0
код VIAF;9;9;90.0
код темы Quora;9;9;90.0
часовой пояс;9;9;90.0
численность населения;8;64;80.0
находится в пределах природно-географического объекта;8;59;80.0
тематически относится к;8;17;80.0
код GeoNames;8;11;80.0
телефонный код страны;8;11;80.0
код TGN;8;9;80.0
FIPS 10-4 (страны и регионы);8;8;80.0
Who's on First ID;8;8;80.0
геоданные;8;8;80.0
код IAB;8;8;80.0
код INSEE для стран и зарубежных территорий;8;8;80.0
короткое название;8;8;80.0
место в MusicBrainz;8;8;80.0
площадь;8;8;80.0
часть света;8;8;80.0
место рождения;7;308;70.0
местонахождение;7;118;70.0
этнохороним;7;39;70.0
основная тема;7;18;70.0
состоит из;7;17;70.0
используемый язык;7;15;70.0
текст девиза;7;14;70.0
код LoC and MARC;7;8;70.0
официальное название;7;8;70.0
WIPO ST.3;7;7;70.0
dmoz;7;7;70.0
география темы;7;7;70.0
интернет-домен верхнего уровня;7;7;70.0
код GACS;7;7;70.0
код Statoids;7;7;70.0
описание герба;7;7;70.0
описание флага;7;7;70.0
представляет страну в спорте;6;355;60.0
часть от;6;44;60.0
глава правительства;6;14;60.0
зона обслуживания;6;10;60.0
категория карт на Викискладе;6;6;60.0
код NKC;6;6;60.0
код в энциклопедии «Британника онлайн»;6;6;60.0
номер телефона экстренной службы;6;6;60.0
обзорная статья Викимедиа;6;6;60.0
основная тема портала Викимедиа;6;6;60.0
гражданство;5;160;50.0
расположение штаб-квартиры;5;72;50.0
изображённый объект;5;8;50.0
тип электрического разъёма;5;8;50.0
изображение;5;6;50.0
код в Большой каталанской энциклопедии;5;6;50.0
название на языке оригинала;5;6;50.0
EuroVoc ID;5;5;50.0
maritime identification digits;5;5;50.0
дата основания/создания/возникновения;5;5;50.0
значение в OmegaWiki;5;5;50.0
категория для людей, родившихся здесь;5;5;50.0
категория для людей, связанных с местностью;5;5;50.0
категория для людей, умерших здесь;5;5;50.0
код LCNAF;5;5;50.0
код US National Archives;5;5;50.0
код Тезауруса ЮНЕСКО;5;5;50.0
портал Викимедиа;5;5;50.0
сетевое напряжение;5;5;50.0
место смерти;4;65;40.0
участник организации или клуба;4;11;40.0
на территорию претендует;4;7;40.0
законодательный орган;4;6;40.0
должность главы правительства;4;4;40.0
код в Большой российской энциклопедии онлайн;4;4;40.0
официальный сайт;4;4;40.0
место жительства;3;13;30.0
названо в честь;3;11;30.0
глава государства;3;7;30.0
описывается в источниках;3;7;30.0
является эндемиком в;3;7;30.0
имеет границы с;3;5;30.0
French Vikidia ID;3;3;30.0
десятичная классификация Дьюи;3;3;30.0
идентификатор MeSH;3;3;30.0
идентификатор таблицы данных Invasive Species Compendium;3;3;30.0
код BNE;3;3;30.0
код FAST;3;3;30.0
код NE.se;3;3;30.0
код NLI;3;3;30.0
код в Encyclopædia Universalis;3;3;30.0
код темы NYT;3;3;30.0
наивысшая точка;3;3;30.0
происходит из;3;3;30.0
сторона автомобильного движения;3;3;30.0
участник(и);3;3;30.0
место съёмок;2;12;20.0
история происходит в месте;2;6;20.0
находится на берегу водоёма;2;4;20.0
должность главы государства;2;3;20.0
произношение (звуковой файл);2;3;20.0
ID отношения в OpenStreetMap;2;2;20.0
бассейн объекта в странах;2;2;20.0
идентификатор темы Le Monde diplomatique;2;2;20.0
категория фильмов, снятых в этом месте;2;2;20.0
код ASC Leiden Thesaurus;2;2;20.0
код BNF;2;2;20.0
код EMLO location;2;2;20.0
код UK Parliament thesaurus;2;2;20.0
код страны МОК;2;2;20.0
обслуживаемый город;2;2;20.0
порт приписки;1;124;10.0
ключевое событие;1;14;10.0
место создания;1;7;10.0
основной порт;1;7;10.0
страна происхождения;1;5;10.0
анклав в;1;3;10.0
город-побратим;1;3;10.0
оператор;1;3;10.0
место активности;1;2;10.0
официальная резиденция;1;2;10.0
статус наследия;1;2;10.0
BNA authority ID;1;1;10.0
ISO 3166-3;1;1;10.0
Italian Vikidia ID;1;1;10.0
SCAR Composite Gazetteer place ID;1;1;10.0
Spanish Vikidia ID;1;1;10.0
WorldCat Identities ID;1;1;10.0
владеет;1;1;10.0
владельцем является;1;1;10.0
возраст вступления в брак;1;1;10.0
возраст совершеннолетия;1;1;10.0
высота над уровнем моря;1;1;10.0
значимое место;1;1;10.0
идентификатор Dizionario di Storia;1;1;10.0
идентификатор местоположения ArchINFORM;1;1;10.0
история темы;1;1;10.0
код BLBNB;1;1;10.0
код Comic Vine;1;1;10.0
код ISNI;1;1;10.0
код NDL;1;1;10.0
код SELIBR;1;1;10.0
код YSO;1;1;10.0
код в Большой норвежской энциклопедии;1;1;10.0
код в Итальянской энциклопедии онлайн;1;1;10.0
код в Национальной библиотеке Австралии (персоналии);1;1;10.0
код в Предварительном списке Всемирного наследия;1;1;10.0
код для сущности Wolfram Language;1;1;10.0
конечная;1;1;10.0
критерий Всемирного наследия;1;1;10.0
место публикации;1;1;10.0
не путать с;1;1;10.0
официальный праздник;1;1;10.0
пенсионный возраст;1;1;10.0
постоянный дубликат;1;1;10.0
предположительно одно и то же с;1;1;10.0
предыдущее по порядку;1;1;10.0
противоположно;1;1;10.0
рабочий список проекта Викимедиа;1;1;10.0
сабреддит;1;1;10.0
символ Юникода;1;1;10.0
следующее по порядку;1;1;10.0
хештег;1;1;10.0
энтохороним от;1;1;10.0
