prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;72;151;100.0
государство;70;70;97.22222222222221
географические координаты;68;71;94.44444444444444
административно-территориальная единица;64;70;88.88888888888889
часовой пояс;64;65;88.88888888888889
Irish Grid Reference;58;58;80.55555555555556
код GeoNames;54;54;75.0
Who's on First ID;53;53;73.61111111111111
категория на Викискладе;53;53;73.61111111111111
Logainm ID;48;49;66.66666666666666
высота над уровнем моря;46;46;63.888888888888886
код Freebase;46;46;63.888888888888886
изображение;45;50;62.5
место рождения;38;110;52.77777777777778
официальное название;23;35;31.944444444444443
код VIAF;17;17;23.61111111111111
код LCNAF;13;13;18.055555555555554
место смерти;11;13;15.277777777777779
WOEID;10;10;13.88888888888889
название на языке оригинала;10;10;13.88888888888889
численность населения;7;52;9.722222222222223
расположение штаб-квартиры;6;7;8.333333333333332
код темы Quora;6;6;8.333333333333332
официальный сайт;5;5;6.944444444444445
площадь;5;5;6.944444444444445
код TGN;3;3;4.166666666666666
место в MusicBrainz;3;3;4.166666666666666
место жительства;3;3;4.166666666666666
местонахождение;3;3;4.166666666666666
названо в честь;3;3;4.166666666666666
общая тема категории;3;3;4.166666666666666
основная категория по теме;3;3;4.166666666666666
dmoz;2;2;2.7777777777777777
имеет границы с;2;2;2.7777777777777777
место создания;2;2;2.7777777777777777
не путать с;2;2;2.7777777777777777
транскрипция в МФА;2;2;2.7777777777777777
часть от;2;2;2.7777777777777777
победитель;1;5;1.3888888888888888
город-побратим;1;2;1.3888888888888888
ID отношения в OpenStreetMap;1;1;1.3888888888888888
баннер Викигида;1;1;1.3888888888888888
галерея на Викискладе;1;1;1.3888888888888888
категория для людей, связанных с местностью;1;1;1.3888888888888888
категория объединяет темы;1;1;1.3888888888888888
код EMLO location;1;1;1.3888888888888888
код NKC;1;1;1.3888888888888888
конечная;1;1;1.3888888888888888
место съёмок;1;1;1.3888888888888888
находится в пределах природно-географического объекта;1;1;1.3888888888888888
обслуживаемый город;1;1;1.3888888888888888
расположение конечной точки;1;1;1.3888888888888888
столица;1;1;1.3888888888888888
является столицей;1;1;1.3888888888888888
