prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;31;66;100.0
дата основания/создания/возникновения;23;24;74.19354838709677
дата прекращения существования;23;24;74.19354838709677
общая тема категории;21;22;67.74193548387096
основная категория по теме;21;21;67.74193548387096
столица;19;31;61.29032258064516
карта местонахождения;18;18;58.06451612903226
категория на Викискладе;18;18;58.06451612903226
код Freebase;18;18;58.06451612903226
гражданство;17;19657;54.83870967741935
государство;15;92;48.38709677419355
часть света;13;13;41.935483870967744
место рождения;11;54;35.483870967741936
является столицей;11;15;35.483870967741936
описывается в источниках;10;22;32.25806451612903
официальный язык;10;18;32.25806451612903
изображение флага;10;10;32.25806451612903
отношение к религии;10;10;32.25806451612903
форма правления;9;11;29.03225806451613
код VIAF;9;9;29.03225806451613
участник(и);8;46;25.806451612903224
место смерти;8;30;25.806451612903224
код в Большой российской энциклопедии онлайн;8;8;25.806451612903224
код в энциклопедии «Британника онлайн»;7;8;22.58064516129032
код LCNAF;7;7;22.58064516129032
административно-территориальная единица;6;29;19.35483870967742
название на языке оригинала;6;7;19.35483870967742
географические координаты;6;6;19.35483870967742
категория объединяет темы;5;96;16.129032258064516
состоит из;5;14;16.129032258064516
официальная религия;5;11;16.129032258064516
часть от;5;10;16.129032258064516
идентификатор Dizionario di Storia;5;5;16.129032258064516
код NDL;5;5;16.129032258064516
следующее по порядку;5;5;16.129032258064516
принадлежность;4;9;12.903225806451612
заменён на;4;8;12.903225806451612
денежная единица;4;6;12.903225806451612
код в Encyclopædia Universalis;4;6;12.903225806451612
вызывает;4;4;12.903225806451612
законодательный орган;4;4;12.903225806451612
используемый язык;4;4;12.903225806451612
код в Nomisma.org;4;4;12.903225806451612
код в Башкирской энциклопедии (русская версия);4;4;12.903225806451612
код темы Quora;4;4;12.903225806451612
площадь;4;4;12.903225806451612
предыдущее по порядку;4;4;12.903225806451612
эра;3;20;9.67741935483871
основная тема;3;11;9.67741935483871
страна происхождения;3;10;9.67741935483871
заменил;3;6;9.67741935483871
код GND;3;3;9.67741935483871
код TDV İslam Ansiklopedisi;3;3;9.67741935483871
названо в честь;3;3;9.67741935483871
постоянный дубликат;3;3;9.67741935483871
этническая группа;2;4;6.451612903225806
официальное название;2;3;6.451612903225806
Latvian National Encyclopedia Online ID;2;2;6.451612903225806
изображение;2;2;6.451612903225806
код для сущности Wolfram Language;2;2;6.451612903225806
местонахождение;2;2;6.451612903225806
не путать с;2;2;6.451612903225806
тема JSTOR;2;2;6.451612903225806
численность населения;2;2;6.451612903225806
юрисдикция распространяется на;2;2;6.451612903225806
административно делится на;1;16;3.225806451612903
род;1;3;3.225806451612903
CHGIS ID;1;2;3.225806451612903
French Vikidia ID;1;1;3.225806451612903
баннер Викигида;1;1;3.225806451612903
дата начала;1;1;3.225806451612903
дата окончания;1;1;3.225806451612903
действие происходит в эпоху;1;1;3.225806451612903
должность главы государства;1;1;3.225806451612903
издатель;1;1;3.225806451612903
изображение печати/эмблемы;1;1;3.225806451612903
история происходит в месте;1;1;3.225806451612903
категория для людей, родившихся здесь;1;1;3.225806451612903
код FAST;1;1;3.225806451612903
код SUDOC;1;1;3.225806451612903
код TGN;1;1;3.225806451612903
код Еврейской энциклопедии;1;1;3.225806451612903
код ТИА;1;1;3.225806451612903
код в Большой каталанской энциклопедии;1;1;3.225806451612903
код в Итальянской энциклопедии;1;1;3.225806451612903
место жительства;1;1;3.225806451612903
описание печати/эмблемы;1;1;3.225806451612903
основатель;1;1;3.225806451612903
основная тема портала Викимедиа;1;1;3.225806451612903
портал Викимедиа;1;1;3.225806451612903
предки из;1;1;3.225806451612903
рабочий список проекта Викимедиа;1;1;3.225806451612903
тематически относится к;1;1;3.225806451612903
участник организации или клуба;1;1;3.225806451612903
