prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;75;185;100.0
географические координаты;75;75;100.0
дата основания/создания/возникновения;73;92;97.33333333333334
код Freebase;73;73;97.33333333333334
Израильский муниципальный код;70;71;93.33333333333333
административно-территориальная единица;68;74;90.66666666666666
государство;64;66;85.33333333333334
численность населения;63;72;84.0
категория на Викискладе;63;63;84.0
высота над уровнем моря;59;60;78.66666666666666
изображение;55;58;73.33333333333333
Who's on First ID;41;41;54.666666666666664
код GeoNames;39;39;52.0
часовой пояс;27;28;36.0
Or Movement settlement ID;20;20;26.666666666666668
основатель;19;19;25.333333333333336
код VIAF;18;18;24.0
официальный сайт;16;16;21.333333333333336
место рождения;9;11;12.0
дата прекращения существования;8;8;10.666666666666668
административно делится на;7;7;9.333333333333334
почтовый индекс;5;5;6.666666666666667
Rom Galil settlement ID;4;4;5.333333333333334
код LCNAF;4;4;5.333333333333334
площадь;4;4;5.333333333333334
WOEID;3;3;4.0
код NLI;3;3;4.0
код TGN;3;3;4.0
конечный результат;3;3;4.0
место жительства;3;3;4.0
названо в честь;3;3;4.0
местонахождение;2;2;2.666666666666667
расположение штаб-квартиры;2;2;2.666666666666667
основная тема;1;3;1.3333333333333335
официальное название;1;2;1.3333333333333335
Israel Antiquities Authority ID;1;1;1.3333333333333335
заменил;1;1;1.3333333333333335
заменён на;1;1;1.3333333333333335
карта местонахождения;1;1;1.3333333333333335
код в Еврейской энциклопедии Даат;1;1;1.3333333333333335
код темы Quora;1;1;1.3333333333333335
место погребения;1;1;1.3333333333333335
название на языке оригинала;1;1;1.3333333333333335
название с огласовками;1;1;1.3333333333333335
не путать с;1;1;1.3333333333333335
