prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;14;15;100.0
категория на Викискладе;5;5;35.714285714285715
основная тема;4;3918;28.57142857142857
код Freebase;4;4;28.57142857142857
код в Большой каталанской энциклопедии;3;4;21.428571428571427
код в энциклопедии «Британника онлайн»;3;4;21.428571428571427
географические координаты;3;3;21.428571428571427
государство;3;3;21.428571428571427
общая тема категории;3;3;21.428571428571427
основная категория по теме;3;3;21.428571428571427
часть от;2;12;14.285714285714285
Microsoft Academic ID;2;2;14.285714285714285
карта местонахождения;2;2;14.285714285714285
код GND;2;2;14.285714285714285
код VIAF;2;2;14.285714285714285
код в Большой российской энциклопедии онлайн;2;2;14.285714285714285
описывается в источниках;2;2;14.285714285714285
статус наследия;1;11;7.142857142857142
состоит из;1;8;7.142857142857142
код Всемирного наследия ЮНЕСКО;1;3;7.142857142857142
площадь;1;3;7.142857142857142
критерий Всемирного наследия;1;2;7.142857142857142
баннер Викигида;1;1;7.142857142857142
изображение;1;1;7.142857142857142
ключевое событие;1;1;7.142857142857142
код BabelNet;1;1;7.142857142857142
код GeoNames;1;1;7.142857142857142
