prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;30;45;100.0
дата основания/создания/возникновения;30;30;100.0
общая тема категории;30;30;100.0
основная категория по теме;30;30;100.0
административно-территориальная единица;29;6037;96.66666666666667
государство;29;262;96.66666666666667
дата прекращения существования;28;30;93.33333333333333
код Freebase;28;28;93.33333333333333
категория на Викискладе;26;26;86.66666666666667
категория объединяет темы;21;717;70.0
юрисдикция распространяется на;20;111;66.66666666666666
географические координаты;16;16;53.333333333333336
место рождения;15;226;50.0
столица;15;18;50.0
заменил;14;15;46.666666666666664
местонахождение;12;55;40.0
изображение флага;12;18;40.0
заменён на;12;13;40.0
место смерти;11;57;36.666666666666664
карта местонахождения;11;15;36.666666666666664
основная тема;6;20;20.0
названо в честь;6;11;20.0
законодательный орган;6;6;20.0
код VIAF;6;6;20.0
код в энциклопедии «Британника онлайн»;6;6;20.0
место жительства;5;32;16.666666666666664
код US National Archives;5;5;16.666666666666664
история происходит в месте;4;32;13.333333333333334
короткое название;4;14;13.333333333333334
имеет границы с;4;6;13.333333333333334
категория для людей, родившихся здесь;4;4;13.333333333333334
код LCNAF;4;4;13.333333333333334
численность населения;3;63;10.0
официальное название;3;6;10.0
изображение печати/эмблемы;3;5;10.0
текст девиза;3;5;10.0
часть от;3;5;10.0
код в Большой каталанской энциклопедии;3;4;10.0
название на языке оригинала;3;4;10.0
изображение;3;3;10.0
изображение герба;3;3;10.0
код GNIS;3;3;10.0
код ISNI;3;3;10.0
следующее по порядку;3;3;10.0
часть света;3;3;10.0
является столицей;3;3;10.0
гражданство;2;1224;6.666666666666667
представляет страну в спорте;2;225;6.666666666666667
административно делится на;2;85;6.666666666666667
этнохороним;2;18;6.666666666666667
тематически относится к;2;15;6.666666666666667
расположение штаб-квартиры;2;14;6.666666666666667
зона обслуживания;2;13;6.666666666666667
используемый язык;2;8;6.666666666666667
состоит из;2;8;6.666666666666667
описывается в источниках;2;7;6.666666666666667
часовой пояс;2;5;6.666666666666667
максимальная температура;2;4;6.666666666666667
площадь;2;4;6.666666666666667
глубочайшая точка;2;3;6.666666666666667
денежная единица;2;3;6.666666666666667
минимум температуры;2;3;6.666666666666667
находится на берегу водоёма;2;3;6.666666666666667
не путать с;2;3;6.666666666666667
основополагающий текст;2;3;6.666666666666667
официальный язык;2;3;6.666666666666667
FIPS 10-4 (страны и регионы);2;2;6.666666666666667
FIPS 5-2 буквенный код (штат в США);2;2;6.666666666666667
FIPS 5-2 цифровой код (штат в США);2;2;6.666666666666667
ID отношения в OpenStreetMap;2;2;6.666666666666667
ISO 3166-2;2;2;6.666666666666667
The Encyclopedia of Oklahoma History and Culture ID;2;2;6.666666666666667
баннер Викигида;2;2;6.666666666666667
вызывает;2;2;6.666666666666667
высший судебный орган;2;2;6.666666666666667
география темы;2;2;6.666666666666667
геоданные;2;2;6.666666666666667
должность главы правительства;2;2;6.666666666666667
исполнительная власть;2;2;6.666666666666667
история темы;2;2;6.666666666666667
категория для людей, похороненных здесь;2;2;6.666666666666667
категория для людей, связанных с местностью;2;2;6.666666666666667
категория для людей, умерших здесь;2;2;6.666666666666667
категория карт на Викискладе;2;2;6.666666666666667
категория фильмов, снятых в этом месте;2;2;6.666666666666667
код BabelNet;2;2;6.666666666666667
код GND;2;2;6.666666666666667
код GeoNames;2;2;6.666666666666667
код LoC and MARC;2;2;6.666666666666667
код NLA;2;2;6.666666666666667
код NLI;2;2;6.666666666666667
код TGN;2;2;6.666666666666667
код для сущности Wolfram Language;2;2;6.666666666666667
код темы Quora;2;2;6.666666666666667
наивысшая точка;2;2;6.666666666666667
обзорная статья Викимедиа;2;2;6.666666666666667
описание герба;2;2;6.666666666666667
описание флага;2;2;6.666666666666667
основная тема портала Викимедиа;2;2;6.666666666666667
официальный сайт;2;2;6.666666666666667
портал Викимедиа;2;2;6.666666666666667
принадлежность;2;2;6.666666666666667
процент водной поверхности;2;2;6.666666666666667
участник(и);2;2;6.666666666666667
место проведения исследования;1;81;3.3333333333333335
страна происхождения;1;62;3.3333333333333335
номинальный ВВП на душу населения;1;57;3.3333333333333335
уровень инфляции;1;36;3.3333333333333335
суммарный коэффициент рождаемости;1;32;3.3333333333333335
ВВП (ППС);1;28;3.3333333333333335
ППС ВВП на душу населения;1;28;3.3333333333333335
место создания;1;18;3.3333333333333335
ожидаемая продолжительность жизни;1;18;3.3333333333333335
место съёмок;1;10;3.3333333333333335
официальный символ;1;6;3.3333333333333335
глава правительства;1;5;3.3333333333333335
ключевое событие;1;4;3.3333333333333335
место активности;1;4;3.3333333333333335
число детей, не учащихся в школе;1;4;3.3333333333333335
место публикации;1;3;3.3333333333333335
энтохороним от;1;3;3.3333333333333335
URL;1;2;3.3333333333333335
WOEID;1;2;3.3333333333333335
владельцем является;1;2;3.3333333333333335
код LAC;1;2;3.3333333333333335
код в Open Library;1;2;3.3333333333333335
материнская компания (организация, учреждение);1;2;3.3333333333333335
телефонный код страны;1;2;3.3333333333333335
тип электрического разъёма;1;2;3.3333333333333335
DR topic ID;1;1;3.3333333333333335
EuroVoc ID;1;1;3.3333333333333335
French Vikidia ID;1;1;3.3333333333333335
ISO 3166-1 alpha-2;1;1;3.3333333333333335
ISO 3166-1 alpha-3;1;1;3.3333333333333335
ISO 3166-1 цифровой;1;1;3.3333333333333335
Kansaspedia ID;1;1;3.3333333333333335
LittleSis organisation ID;1;1;3.3333333333333335
Open Library subject ID;1;1;3.3333333333333335
Tennessee Encyclopedia ID;1;1;3.3333333333333335
Who's on First ID;1;1;3.3333333333333335
World Encyclopedia of Puppetry Arts ID;1;1;3.3333333333333335
Zhihu topic ID;1;1;3.3333333333333335
dmoz;1;1;3.3333333333333335
maritime identification digits;1;1;3.3333333333333335
возраст вступления в брак;1;1;3.3333333333333335
возраст совершеннолетия;1;1;3.3333333333333335
галерея на Викискладе;1;1;3.3333333333333335
географический центр;1;1;3.3333333333333335
гимн;1;1;3.3333333333333335
десятичная классификация Дьюи;1;1;3.3333333333333335
должность руководителя организации;1;1;3.3333333333333335
занимает ту же территорию с;1;1;3.3333333333333335
значение в OmegaWiki;1;1;3.3333333333333335
идентификатор Dizionario di Storia;1;1;3.3333333333333335
идентификатор MeSH;1;1;3.3333333333333335
идентификатор местоположения ArchINFORM;1;1;3.3333333333333335
идентификатор таблицы данных Invasive Species Compendium;1;1;3.3333333333333335
идентификатор темы Le Monde diplomatique;1;1;3.3333333333333335
инвазионный вид для;1;1;3.3333333333333335
интернет-домен верхнего уровня;1;1;3.3333333333333335
код BAV;1;1;3.3333333333333335
код BBC Things;1;1;3.3333333333333335
код BNE;1;1;3.3333333333333335
код BNF;1;1;3.3333333333333335
код CANTIC;1;1;3.3333333333333335
код CCAB;1;1;3.3333333333333335
код FAST;1;1;3.3333333333333335
код GACS;1;1;3.3333333333333335
код IAB;1;1;3.3333333333333335
код INSEE для стран и зарубежных территорий;1;1;3.3333333333333335
код NALT;1;1;3.3333333333333335
код NE.se;1;1;3.3333333333333335
код NKC;1;1;3.3333333333333335
код RERO;1;1;3.3333333333333335
