prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;13;1265;100.0
категория объединяет темы;13;47;100.0
глава правительства;13;20;100.0
карта местонахождения;13;15;100.0
ISO 3166-2;13;14;100.0
ID отношения в OpenStreetMap;13;13;100.0
административно делится на;13;13;100.0
государство;13;13;100.0
категория для людей, родившихся здесь;13;13;100.0
общая тема категории;13;13;100.0
основная категория по теме;13;13;100.0
официальный сайт;13;13;100.0
площадь;13;13;100.0
столица;13;13;100.0
это частный случай понятия;13;13;100.0
географические координаты;12;12;92.3076923076923
геоданные;12;12;92.3076923076923
код GeoNames;12;12;92.3076923076923
является столицей;12;12;92.3076923076923
численность населения;11;15;84.61538461538461
идентификатор местоположения ArchINFORM;11;11;84.61538461538461
категория для людей, умерших здесь;11;11;84.61538461538461
категория на Викискладе;11;11;84.61538461538461
расположение штаб-квартиры;9;37;69.23076923076923
место рождения;9;35;69.23076923076923
десятичная классификация Дьюи;9;9;69.23076923076923
категория для людей, связанных с местностью;9;9;69.23076923076923
код Freebase;9;9;69.23076923076923
код GND;9;9;69.23076923076923
изображение;8;8;61.53846153846154
название на языке оригинала;8;8;61.53846153846154
изображение флага;7;7;53.84615384615385
позиционная карта;7;7;53.84615384615385
баннер Викигида;6;6;46.15384615384615
код NUTS;6;6;46.15384615384615
место в MusicBrainz;6;6;46.15384615384615
находится в пределах природно-географического объекта;5;33;38.46153846153847
происходит из;5;9;38.46153846153847
часовой пояс;5;8;38.46153846153847
Who's on First ID;5;5;38.46153846153847
место смерти;4;10;30.76923076923077
используемый язык;4;8;30.76923076923077
местонахождение;4;6;30.76923076923077
часть от;4;6;30.76923076923077
категория карт на Викискладе;4;4;30.76923076923077
официальное название;4;4;30.76923076923077
dmoz;3;3;23.076923076923077
дата основания/создания/возникновения;3;3;23.076923076923077
состоит из;3;3;23.076923076923077
не путать с;2;3;15.384615384615385
изображённый объект;2;2;15.384615384615385
код BNF;2;2;15.384615384615385
код в Большой каталанской энциклопедии;2;2;15.384615384615385
место погребения;2;2;15.384615384615385
описывается в источниках;1;2;7.6923076923076925
EU Research participant ID;1;1;7.6923076923076925
EU VAT number;1;1;7.6923076923076925
French Vikidia ID;1;1;7.6923076923076925
галерея на Викискладе;1;1;7.6923076923076925
должность руководителя организации;1;1;7.6923076923076925
изображение герба;1;1;7.6923076923076925
имеет границы с;1;1;7.6923076923076925
категория для людей, похороненных здесь;1;1;7.6923076923076925
код LCNAF;1;1;7.6923076923076925
код NKC;1;1;7.6923076923076925
код VIAF;1;1;7.6923076923076925
конечная;1;1;7.6923076923076925
логотип;1;1;7.6923076923076925
место жительства;1;1;7.6923076923076925
основная тема;1;1;7.6923076923076925
подробная карта;1;1;7.6923076923076925
управляемая организация;1;1;7.6923076923076925
