prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;64;84;98.46153846153847
государство;63;63;96.92307692307692
административно-территориальная единица;56;56;86.15384615384616
географические координаты;51;51;78.46153846153847
изображение;36;37;55.38461538461539
местонахождение;26;53;40.0
статус наследия;18;18;27.692307692307693
код места в MusicBrainz;17;17;26.153846153846157
категория на Викискладе;16;16;24.615384615384617
официальный сайт;15;15;23.076923076923077
дата официального открытия;14;14;21.53846153846154
владельцем является;12;12;18.461538461538463
вместимость;11;12;16.923076923076923
код «Вики любит памятники»;10;10;15.384615384615385
дата основания/создания/возникновения;9;9;13.846153846153847
оператор;9;9;13.846153846153847
код NRHP;8;8;12.307692307692308
archINFORM project ID;7;7;10.76923076923077
архитектор;7;7;10.76923076923077
архитектурный стиль;5;6;7.6923076923076925
код темы Quora;5;5;7.6923076923076925
Carthalia ID;4;4;6.153846153846154
адрес;4;4;6.153846153846154
код GeoNames;4;4;6.153846153846154
часть от;4;4;6.153846153846154
идентификатор объекта в картах Google;3;3;4.615384615384616
названо в честь;3;3;4.615384615384616
состоит из;3;3;4.615384615384616
код лейбла Discogs;2;4;3.076923076923077
INSPIRE ID;2;2;3.076923076923077
Polish cultural heritage register number;2;2;3.076923076923077
дата прекращения существования;2;2;3.076923076923077
записано на;2;2;3.076923076923077
идентификатор Structurae;2;2;3.076923076923077
код BabelNet;2;2;3.076923076923077
код Freebase;2;2;3.076923076923077
название на языке оригинала;2;2;3.076923076923077
место первого исполнения;1;8;1.5384615384615385
домашний стадион;1;5;1.5384615384615385
обитатель;1;4;1.5384615384615385
Amphi-Theatrum ID;1;1;1.5384615384615385
Disney A to Z ID;1;1;1.5384615384615385
EUTA theatre ID;1;1;1.5384615384615385
Playbill venue ID;1;1;1.5384615384615385
Theatrum ID;1;1;1.5384615384615385
setlist.fm venue ID;1;1;1.5384615384615385
вид спорта;1;1;1.5384615384615385
выдающееся произведение;1;1;1.5384615384615385
изображённый объект;1;1;1.5384615384615385
категория объединяет темы;1;1;1.5384615384615385
код LCNAF;1;1;1.5384615384615385
код Pleiades;1;1;1.5384615384615385
код VIAF;1;1;1.5384615384615385
код места в Foursquare;1;1;1.5384615384615385
место съёмок;1;1;1.5384615384615385
находится в охранной зоне;1;1;1.5384615384615385
находится в пределах природно-географического объекта;1;1;1.5384615384615385
не путать с;1;1;1.5384615384615385
номер в списке Английского наследия;1;1;1.5384615384615385
номер телефона;1;1;1.5384615384615385
описан на сайте;1;1;1.5384615384615385
основатель;1;1;1.5384615384615385
почтовый индекс;1;1;1.5384615384615385
связанная категория;1;1;1.5384615384615385
сделано из;1;1;1.5384615384615385
страна происхождения;1;1;1.5384615384615385
указания, как добраться;1;1;1.5384615384615385
учётная запись в Твиттере;1;1;1.5384615384615385
художественное направление;1;1;1.5384615384615385
электронная почта;1;1;1.5384615384615385
