prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;309;378;100.0
государство;280;312;90.61488673139159
административно-территориальная единица;224;290;72.49190938511327
географические координаты;121;126;39.15857605177994
код Freebase;73;73;23.624595469255663
находится в пределах природно-географического объекта;66;194;21.35922330097087
категория на Викискладе;64;64;20.711974110032365
код VIAF;61;63;19.741100323624593
основная категория по теме;55;55;17.79935275080906
общая тема категории;53;53;17.15210355987055
названо в честь;49;60;15.857605177993527
местонахождение;42;114;13.592233009708737
изображение;38;38;12.297734627831716
место рождения;35;1616;11.326860841423949
баннер Викигида;24;24;7.766990291262135
код в энциклопедии «Британника онлайн»;22;23;7.119741100323624
код GeoNames;22;22;7.119741100323624
код в Большой каталанской энциклопедии;21;21;6.796116504854369
основная тема;20;48;6.472491909385113
карта местонахождения;20;27;6.472491909385113
часть от;20;23;6.472491909385113
категория объединяет темы;19;43;6.148867313915858
код LCNAF;19;19;6.148867313915858
место смерти;16;1019;5.177993527508091
категория карт на Викискладе;15;15;4.854368932038835
описывается в источниках;14;45;4.53074433656958
состоит из;13;31;4.207119741100324
код в Encyclopædia Universalis;12;12;3.8834951456310676
код темы Quora;12;12;3.8834951456310676
Norwegian Polar Institute place name ID;11;11;3.559870550161812
место жительства;10;18;3.2362459546925564
высота над уровнем моря;10;10;3.2362459546925564
код GND;10;10;3.2362459546925564
история происходит в месте;8;34;2.5889967637540456
код BNF;8;8;2.5889967637540456
код в Большой российской энциклопедии онлайн;8;8;2.5889967637540456
находится на берегу водоёма;7;9;2.26537216828479
код BabelNet;7;7;2.26537216828479
столица;7;7;2.26537216828479
является столицей;7;7;2.26537216828479
не путать с;6;8;1.9417475728155338
этнохороним;6;7;1.9417475728155338
идентификатор Dizionario di Storia;5;5;1.6181229773462782
код Pleiades;5;5;1.6181229773462782
код в Итальянской энциклопедии онлайн;5;5;1.6181229773462782
площадь;5;5;1.6181229773462782
горный хребет;4;25;1.2944983818770228
расположение штаб-квартиры;3;169;0.9708737864077669
место активности;3;14;0.9708737864077669
место изготовления;3;7;0.9708737864077669
следующее по порядку;3;5;0.9708737864077669
часовой пояс;3;5;0.9708737864077669
географический код Великобритании;3;4;0.9708737864077669
изображённый объект;3;4;0.9708737864077669
ID отношения в OpenStreetMap;3;3;0.9708737864077669
Who's on First ID;3;3;0.9708737864077669
галерея на Викискладе;3;3;0.9708737864077669
дата основания/создания/возникновения;3;3;0.9708737864077669
изображение флага;3;3;0.9708737864077669
категория для людей, умерших здесь;3;3;0.9708737864077669
код в Nomisma.org;3;3;0.9708737864077669
код тезауруса PACTOLS;3;3;0.9708737864077669
официальный сайт;3;3;0.9708737864077669
почтовый индекс;3;3;0.9708737864077669
происходит из;3;3;0.9708737864077669
карта ареала вида;2;9;0.6472491909385114
место создания;2;5;0.6472491909385114
произношение (звуковой файл);2;5;0.6472491909385114
начало пути;2;3;0.6472491909385114
French Vikidia ID;2;2;0.6472491909385114
Vision of Britain place ID;2;2;0.6472491909385114
дата прекращения существования;2;2;0.6472491909385114
имеет границы с;2;2;0.6472491909385114
категория для людей, связанных с местностью;2;2;0.6472491909385114
код GAMEO;2;2;0.6472491909385114
код ISNI;2;2;0.6472491909385114
код NE.se;2;2;0.6472491909385114
код NUTS;2;2;0.6472491909385114
код TGN;2;2;0.6472491909385114
наивысшая точка;2;2;0.6472491909385114
официальное название;2;2;0.6472491909385114
участник(и);2;2;0.6472491909385114
юрисдикция распространяется на;2;2;0.6472491909385114
включает населённый пункт;1;9;0.3236245954692557
город-побратим;1;5;0.3236245954692557
место погребения;1;4;0.3236245954692557
пункт назначения;1;4;0.3236245954692557
место публикации;1;2;0.3236245954692557
проходит над/под;1;2;0.3236245954692557
Analysis & Policy Observatory term ID;1;1;0.3236245954692557
Basque Vikidia ID;1;1;0.3236245954692557
Common Database on Designated Areas ID;1;1;0.3236245954692557
English Vikidia ID;1;1;0.3236245954692557
Italian Vikidia ID;1;1;0.3236245954692557
Natura 2000 site ID;1;1;0.3236245954692557
Spanish Vikidia ID;1;1;0.3236245954692557
TOID;1;1;0.3236245954692557
TORA ID;1;1;0.3236245954692557
WorldCat Identities ID;1;1;0.3236245954692557
dmoz;1;1;0.3236245954692557
административно делится на;1;1;0.3236245954692557
аудиозапись прочитанного текста;1;1;0.3236245954692557
гимн;1;1;0.3236245954692557
гражданство;1;1;0.3236245954692557
десятичная классификация Дьюи;1;1;0.3236245954692557
заменил;1;1;0.3236245954692557
значение в OmegaWiki;1;1;0.3236245954692557
изображение герба;1;1;0.3236245954692557
история выставок;1;1;0.3236245954692557
категория для людей, похороненных здесь;1;1;0.3236245954692557
категория для людей, родившихся здесь;1;1;0.3236245954692557
категория защищённых зон МСОП;1;1;0.3236245954692557
код GNS;1;1;0.3236245954692557
код NIS/INS;1;1;0.3236245954692557
код NKC;1;1;0.3236245954692557
код Ramsar Sites Information Service;1;1;0.3236245954692557
код SUDOC;1;1;0.3236245954692557
код Trismegistos;1;1;0.3236245954692557
код в Иранике;1;1;0.3236245954692557
код в Итальянской энциклопедии;1;1;0.3236245954692557
командовал;1;1;0.3236245954692557
короткое название;1;1;0.3236245954692557
культура;1;1;0.3236245954692557
местный телефонный код;1;1;0.3236245954692557
название на языке оригинала;1;1;0.3236245954692557
находится в охранной зоне;1;1;0.3236245954692557
область святого или божества;1;1;0.3236245954692557
описан на сайте;1;1;0.3236245954692557
описание флага;1;1;0.3236245954692557
основная тема портала Викимедиа;1;1;0.3236245954692557
основные направления;1;1;0.3236245954692557
отрасль;1;1;0.3236245954692557
официальная страница в Facebook;1;1;0.3236245954692557
официальный язык;1;1;0.3236245954692557
первое письменное упоминание;1;1;0.3236245954692557
подкласс от;1;1;0.3236245954692557
предки из;1;1;0.3236245954692557
расположение конечной точки;1;1;0.3236245954692557
родной язык;1;1;0.3236245954692557
сделано из;1;1;0.3236245954692557
соединяется с;1;1;0.3236245954692557
супруг(а);1;1;0.3236245954692557
тема утверждения;1;1;0.3236245954692557
тематически относится к;1;1;0.3236245954692557
участник организации или клуба;1;1;0.3236245954692557
учётная запись Facebook;1;1;0.3236245954692557
хранится в коллекции;1;1;0.3236245954692557
частично совпадает с;1;1;0.3236245954692557
часть света;1;1;0.3236245954692557
численность населения;1;1;0.3236245954692557
элемент для смысла;1;1;0.3236245954692557
энтохороним от;1;1;0.3236245954692557
эра;1;1;0.3236245954692557
