prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;115;123;100.0
государство;114;125;99.1304347826087
географические координаты;85;89;73.91304347826086
административно-территориальная единица;82;88;71.30434782608695
впадает в;74;84;64.34782608695652
код GeoNames;68;68;59.130434782608695
код GNIS;58;58;50.43478260869565
высота над уровнем моря;45;45;39.130434782608695
приток;42;43;36.52173913043478
водосборный бассейн;42;42;36.52173913043478
длина;28;28;24.347826086956523
местонахождение;21;24;18.26086956521739
категория на Викискладе;21;21;18.26086956521739
изображение;18;18;15.65217391304348
площадь бассейна;17;17;14.782608695652174
находится на берегу водоёма;11;14;9.565217391304348
код GNS;8;8;6.956521739130435
горный хребет;5;5;4.3478260869565215
находится в охранной зоне;5;5;4.3478260869565215
не путать с;4;6;3.4782608695652173
исток водотока;4;5;3.4782608695652173
код в Большой каталанской энциклопедии;3;3;2.608695652173913
часть от;2;4;1.7391304347826086
впадающие в озеро реки;2;2;1.7391304347826086
находится в пределах природно-географического объекта;2;2;1.7391304347826086
имеет границы с;1;2;0.8695652173913043
ID отношения в OpenStreetMap;1;1;0.8695652173913043
водоём на реке;1;1;0.8695652173913043
дата основания/создания/возникновения;1;1;0.8695652173913043
код Freebase;1;1;0.8695652173913043
код TGN;1;1;0.8695652173913043
код VIAF;1;1;0.8695652173913043
код в Большой арагонской энциклопедии;1;1;0.8695652173913043
названо в честь;1;1;0.8695652173913043
наибольший уклон;1;1;0.8695652173913043
несёт на себе;1;1;0.8695652173913043
общая тема категории;1;1;0.8695652173913043
основная категория по теме;1;1;0.8695652173913043
официальное название;1;1;0.8695652173913043
плотина;1;1;0.8695652173913043
площадь;1;1;0.8695652173913043
проходит над/под;1;1;0.8695652173913043
уклон;1;1;0.8695652173913043
