prop_name;prop_count;prop_count_value;prop_counter
государство;2;10352;100.0
основная тема;2;3688;100.0
гражданство;2;924;100.0
категория объединяет темы;2;404;100.0
представляет страну в спорте;2;283;100.0
административно-территориальная единица;2;173;100.0
численность населения;2;113;100.0
место рождения;2;70;100.0
суммарный коэффициент рождаемости;2;64;100.0
страна происхождения;2;41;100.0
местонахождение;2;40;100.0
юрисдикция распространяется на;2;39;100.0
ожидаемая продолжительность жизни;2;33;100.0
этнохороним;2;23;100.0
часть от;2;22;100.0
история происходит в месте;2;19;100.0
находится в пределах природно-географического объекта;2;19;100.0
названо в честь;2;15;100.0
бассейн объекта в странах;2;14;100.0
место смерти;2;10;100.0
тематически относится к;2;8;100.0
тип электрического разъёма;2;8;100.0
глава правительства;2;6;100.0
часовой пояс;2;6;100.0
используемый язык;2;5;100.0
состоит из;2;5;100.0
элемент для смысла;2;5;100.0
это частный случай понятия;2;5;100.0
административно делится на;2;4;100.0
зона обслуживания;2;4;100.0
имеет границы с;2;4;100.0
карта местонахождения;2;4;100.0
официальное название;2;4;100.0
происходит из;2;4;100.0
участник организации или клуба;2;4;100.0
изображение флага;2;3;100.0
код VIAF;2;3;100.0
место жительства;2;3;100.0
официальный язык;2;3;100.0
участник(и);2;3;100.0
DR topic ID;2;2;100.0
EuroVoc ID;2;2;100.0
FIPS 10-4 (страны и регионы);2;2;100.0
French Vikidia ID;2;2;100.0
ID отношения в OpenStreetMap;2;2;100.0
ISO 3166-1 alpha-2;2;2;100.0
ISO 3166-1 alpha-3;2;2;100.0
ISO 3166-1 цифровой;2;2;100.0
WIPO ST.3;2;2;100.0
Who's on First ID;2;2;100.0
dmoz;2;2;100.0
maritime identification digits;2;2;100.0
баннер Викигида;2;2;100.0
галерея на Викискладе;2;2;100.0
географические координаты;2;2;100.0
география темы;2;2;100.0
геоданные;2;2;100.0
гимн;2;2;100.0
дата основания/создания/возникновения;2;2;100.0
денежная единица;2;2;100.0
десятичная классификация Дьюи;2;2;100.0
дипломатические отношения;2;2;100.0
законодательный орган;2;2;100.0
значение в OmegaWiki;2;2;100.0
идентификатор местоположения ArchINFORM;2;2;100.0
изображение;2;2;100.0
изображение герба;2;2;100.0
интернет-домен верхнего уровня;2;2;100.0
история темы;2;2;100.0
категория для людей, родившихся здесь;2;2;100.0
категория для людей, связанных с местностью;2;2;100.0
категория для людей, умерших здесь;2;2;100.0
категория на Викискладе;2;2;100.0
код BabelNet;2;2;100.0
код Comic Vine;2;2;100.0
код FAST;2;2;100.0
код Freebase;2;2;100.0
код GACS;2;2;100.0
код GND;2;2;100.0
код GeoNames;2;2;100.0
код IAB;2;2;100.0
