prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;4572;4574;100.0
географические координаты;4572;4572;100.0
государство;4572;4572;100.0
код GeoNames;4572;4572;100.0
административно-территориальная единица;4430;4431;96.8941382327209
код GNIS;4388;4388;95.97550306211724
код GNS;184;184;4.024496937882764
код VIAF;27;27;0.5905511811023622
код LCNAF;11;11;0.2405949256342957
находится на берегу водоёма;10;10;0.21872265966754156
код TGN;6;6;0.13123359580052493
изображение;4;4;0.08748906386701663
высота над уровнем моря;3;3;0.06561679790026247
категория на Викискладе;2;2;0.043744531933508315
местонахождение;2;2;0.043744531933508315
часть от;2;2;0.043744531933508315
имеет границей;1;2;0.021872265966754158
California Office of Historic Preservation ID;1;1;0.021872265966754158
код в энциклопедии «Британника онлайн»;1;1;0.021872265966754158
личное имя;1;1;0.021872265966754158
названо в честь;1;1;0.021872265966754158
состоит из;1;1;0.021872265966754158
