prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;3582;3627;100.0
государство;3578;3588;99.88833054159687
географические координаты;3550;3558;99.10664433277499
код GeoNames;3511;3512;98.01786711334451
код GNS;3069;3069;85.678391959799
административно-территориальная единица;3026;3039;84.47794528196539
высота над уровнем моря;2448;2449;68.34170854271356
часть от;43;109;1.2004466778336125
изображение;35;36;0.977107761027359
категория на Викискладе;34;34;0.9491903964265772
код GNIS;34;34;0.9491903964265772
состоит из;33;34;0.9212730318257957
код VIAF;27;28;0.7537688442211055
названо в честь;22;24;0.6141820212171971
общая тема категории;15;17;0.41876046901172526
основная категория по теме;14;14;0.3908431044109436
местонахождение;13;41;0.3629257398101619
находится в пределах природно-географического объекта;13;23;0.3629257398101619
Czech Geomorphological Unit Code;13;13;0.3629257398101619
код Freebase;11;11;0.30709101060859856
код LCNAF;9;9;0.25125628140703515
код NKC;8;8;0.2233389168062535
код в энциклопедии «Британника онлайн»;7;7;0.1954215522054718
не путать с;7;7;0.1954215522054718
код GND;6;6;0.16750418760469013
описывается в источниках;4;7;0.11166945840312675
часовой пояс;4;5;0.11166945840312675
находится в охранной зоне;3;4;0.08375209380234507
geomorphological unit;3;3;0.08375209380234507
баннер Викигида;3;3;0.08375209380234507
впадает в;3;3;0.08375209380234507
горный хребет;3;3;0.08375209380234507
код TGN;3;3;0.08375209380234507
код темы Quora;3;3;0.08375209380234507
часть света;3;3;0.08375209380234507
находится на берегу водоёма;2;3;0.05583472920156338
SCAR Composite Gazetteer place ID;2;2;0.05583472920156338
исток водотока;2;2;0.05583472920156338
карта местонахождения;2;2;0.05583472920156338
код FAST;2;2;0.05583472920156338
код NLI;2;2;0.05583472920156338
код в Большой российской энциклопедии онлайн;2;2;0.05583472920156338
водосборный бассейн;1;22;0.02791736460078169
критерий Всемирного наследия;1;3;0.02791736460078169
статус наследия;1;2;0.02791736460078169
Microsoft Academic ID;1;1;0.02791736460078169
Mountain Project ID;1;1;0.02791736460078169
Recreation.gov gateway ID;1;1;0.02791736460078169
Who's on First ID;1;1;0.02791736460078169
dmoz;1;1;0.02791736460078169
галерея на Викискладе;1;1;0.02791736460078169
диаметр;1;1;0.02791736460078169
значимое место;1;1;0.02791736460078169
идентификатор Dizionario di Storia;1;1;0.02791736460078169
имя;1;1;0.02791736460078169
категория защищённых зон МСОП;1;1;0.02791736460078169
категория карт на Викискладе;1;1;0.02791736460078169
категория объединяет темы;1;1;0.02791736460078169
код BLBNB;1;1;0.02791736460078169
код BNE;1;1;0.02791736460078169
код Австралийской базы данных геологических провинций;1;1;0.02791736460078169
код в Большой арагонской энциклопедии;1;1;0.02791736460078169
код в Большой каталанской энциклопедии;1;1;0.02791736460078169
код в Предварительном списке Всемирного наследия;1;1;0.02791736460078169
конечная;1;1;0.02791736460078169
место рождения;1;1;0.02791736460078169
наивысшая точка;1;1;0.02791736460078169
написание каной;1;1;0.02791736460078169
основная тема;1;1;0.02791736460078169
официальное название;1;1;0.02791736460078169
официальный сайт;1;1;0.02791736460078169
перемежается с;1;1;0.02791736460078169
пример использования свойства;1;1;0.02791736460078169
приток;1;1;0.02791736460078169
