prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;16143;16185;99.9938057482656
государство;16142;16144;99.98761149653122
географические координаты;16133;16188;99.9318632309217
код GeoNames;16119;16131;99.84514370664024
административно-территориальная единица;11439;11464;70.85604558969277
код GNS;10573;10573;65.49182358771061
высота над уровнем моря;3782;3782;23.426660059464815
код GNIS;2272;2272;14.073339940535185
код VIAF;226;226;1.3999008919722498
изображение;90;93;0.5574826560951437
код LCNAF;60;63;0.3716551040634291
категория на Викискладе;50;50;0.3097125867195243
названо в честь;47;47;0.2911298315163528
часть от;40;41;0.2477700693756194
находится на берегу водоёма;35;105;0.216798810703667
Dictionary of Sydney ID;32;34;0.19821605550049554
код в Большой каталанской энциклопедии;26;26;0.16105054509415262
New Zealand Gazetteer place ID;24;24;0.14866204162537167
код US National Archives;22;22;0.13627353815659068
впадает в;21;33;0.1300792864222002
Who's on First ID;19;19;0.11769078295341923
код TGN;19;19;0.11769078295341923
не путать с;19;19;0.11769078295341923
находится в пределах природно-географического объекта;16;16;0.09910802775024777
Norwegian Polar Institute place name ID;14;14;0.0867195242814668
место смерти;12;15;0.07433102081268583
приток;12;15;0.07433102081268583
код Freebase;12;12;0.07433102081268583
Geographical Names Board of NSW ID;10;10;0.06194251734390485
местонахождение;8;13;0.049554013875123884
код в энциклопедии «Британника онлайн»;8;8;0.049554013875123884
состоит из;8;8;0.049554013875123884
изображённый объект;7;11;0.0433597621407334
место рождения;7;11;0.0433597621407334
VICNAMES Place ID;7;7;0.0433597621407334
часовой пояс;6;7;0.037165510406342916
официальное название;5;6;0.030971258671952426
код топонима в Квебеке;5;5;0.030971258671952426
ID отношения в OpenStreetMap;4;4;0.024777006937561942
баннер Викигида;4;4;0.024777006937561942
карта местонахождения;4;4;0.024777006937561942
площадь;4;4;0.024777006937561942
статус наследия;4;4;0.024777006937561942
проходит над/под;3;4;0.018582755203171458
dmoz;3;3;0.018582755203171458
вертикальная глубина;3;3;0.018582755203171458
код TripAdvisor;3;3;0.018582755203171458
код темы Quora;3;3;0.018582755203171458
находится в охранной зоне;3;3;0.018582755203171458
общая тема категории;3;3;0.018582755203171458
основная категория по теме;3;3;0.018582755203171458
основная тема;3;3;0.018582755203171458
Queensland place ID;2;4;0.012388503468780971
Australian War Memorial ID;2;2;0.012388503468780971
WOEID;2;2;0.012388503468780971
WorldCat Identities ID;2;2;0.012388503468780971
галерея на Викискладе;2;2;0.012388503468780971
идентификатор местоположения ArchINFORM;2;2;0.012388503468780971
код BabelNet;2;2;0.012388503468780971
код в Большой российской энциклопедии онлайн;2;2;0.012388503468780971
код водно-болотных угодий Австралии;2;2;0.012388503468780971
код порта MarineTraffic;2;2;0.012388503468780971
официальный сайт;2;2;0.012388503468780971
почтовый индекс;2;2;0.012388503468780971
женское население;1;3;0.0061942517343904855
мужское население;1;3;0.0061942517343904855
численность населения;1;3;0.0061942517343904855
Australian Statistical Geography 2011 ID;1;1;0.0061942517343904855
Australian Statistical Geography 2016 ID;1;1;0.0061942517343904855
Bygdeband ID;1;1;0.0061942517343904855
Heritage Gazetteer of Libya ID;1;1;0.0061942517343904855
Microsoft Academic ID;1;1;0.0061942517343904855
антарктический код GNIS;1;1;0.0061942517343904855
бассейн объекта в странах;1;1;0.0061942517343904855
дата основания/создания/возникновения;1;1;0.0061942517343904855
длина;1;1;0.0061942517343904855
значимое место;1;1;0.0061942517343904855
идентификатор Dizionario di Storia;1;1;0.0061942517343904855
имеет границы с;1;1;0.0061942517343904855
имя;1;1;0.0061942517343904855
канадский географический код;1;1;0.0061942517343904855
категория бассейна;1;1;0.0061942517343904855
категория объединяет темы;1;1;0.0061942517343904855
код GND;1;1;0.0061942517343904855
код Ramsar Sites Information Service;1;1;0.0061942517343904855
код marineregions.org;1;1;0.0061942517343904855
код автомобильного номера;1;1;0.0061942517343904855
код административной единицы Индонезии;1;1;0.0061942517343904855
код в Большой норвежской энциклопедии;1;1;0.0061942517343904855
код индонезийского поселения;1;1;0.0061942517343904855
код культурного наследия Нового Южного Уэльса;1;1;0.0061942517343904855
код места в Instagram;1;1;0.0061942517343904855
конечная;1;1;0.0061942517343904855
местный телефонный код;1;1;0.0061942517343904855
место активности;1;1;0.0061942517343904855
место астрономического открытия;1;1;0.0061942517343904855
место жительства;1;1;0.0061942517343904855
место погребения;1;1;0.0061942517343904855
название на языке оригинала;1;1;0.0061942517343904855
описывается в источниках;1;1;0.0061942517343904855
предположительно одно и то же с;1;1;0.0061942517343904855
пример использования свойства;1;1;0.0061942517343904855
расположение штаб-квартиры;1;1;0.0061942517343904855
через;1;1;0.0061942517343904855
числовой код SSR для названия;1;1;0.0061942517343904855
