prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;1128;2495;100.0
государство;1128;1399;100.0
географические координаты;1107;1200;98.13829787234043
административно-территориальная единица;995;25500;88.20921985815603
код GeoNames;859;899;76.15248226950354
Who's on First ID;781;788;69.23758865248227
код Freebase;722;722;64.00709219858156
изображение;656;699;58.156028368794324
категория на Викискладе;651;651;57.71276595744681
часовой пояс;607;929;53.812056737588655
высота над уровнем моря;603;646;53.45744680851063
площадь;540;689;47.87234042553192
численность населения;530;5249;46.98581560283688
почтовый индекс;530;593;46.98581560283688
место рождения;513;22356;45.47872340425532
официальный сайт;446;456;39.53900709219858
код VIAF;429;447;38.03191489361702
общая тема категории;405;407;35.90425531914894
основная категория по теме;402;402;35.638297872340424
изображение герба;349;349;30.939716312056735
административно делится на;345;459;30.585106382978722
карта местонахождения;343;347;30.407801418439718
место смерти;298;8834;26.418439716312058
имеет границы с;292;1048;25.886524822695034
столица;278;410;24.645390070921984
местный телефонный код;270;291;23.93617021276596
является столицей;250;309;22.163120567375884
категория объединяет темы;237;642;21.01063829787234
местонахождение;233;3183;20.656028368794328
официальное название;228;290;20.212765957446805
код GND;220;221;19.50354609929078
код LCNAF;217;219;19.23758865248227
ID отношения в OpenStreetMap;193;193;17.109929078014186
расположение штаб-квартиры;190;2100;16.843971631205672
код автомобильного номера;180;188;15.957446808510639
категория для людей, родившихся здесь;180;180;15.957446808510639
название на языке оригинала;161;186;14.27304964539007
категория для людей, связанных с местностью;143;143;12.677304964539008
город-побратим;141;531;12.5
расположение конечной точки;134;243;11.879432624113475
изображение флага;130;134;11.52482269503546
идентификатор местоположения ArchINFORM;123;123;10.904255319148938
названо в честь;122;333;10.815602836879433
WOEID;121;123;10.72695035460993
дата основания/создания/возникновения;116;118;10.28368794326241
баннер Викигида;112;113;9.929078014184398
код темы Quora;112;112;9.929078014184398
место в MusicBrainz;106;106;9.397163120567376
часть от;103;143;9.131205673758865
глава правительства;101;206;8.953900709219859
код в Большой каталанской энциклопедии;100;104;8.865248226950355
юрисдикция распространяется на;98;248;8.687943262411348
категория карт на Викискладе;97;97;8.599290780141844
код BNF;97;97;8.599290780141844
находится на берегу водоёма;94;115;8.333333333333332
обслуживаемый город;91;96;8.067375886524824
место жительства;89;719;7.890070921985816
десятичная классификация Дьюи;88;88;7.801418439716312
основная тема;87;254;7.712765957446808
код NKC;86;87;7.624113475177305
галерея на Викискладе;86;86;7.624113475177305
описывается в источниках;84;202;7.446808510638298
место активности;81;7387;7.180851063829788
список памятников;80;84;7.092198581560284
категория для людей, умерших здесь;78;78;6.914893617021277
включает населённый пункт;77;260;6.826241134751773
код в энциклопедии «Британника онлайн»;74;76;6.560283687943262
не путать с;70;82;6.205673758865248
должность главы правительства;66;66;5.851063829787234
официальный язык;62;67;5.49645390070922
основные направления;58;96;5.141843971631205
идентификатор HDS;53;53;4.698581560283688
начало пути;51;192;4.521276595744681
идентификатор муниципалитетов в Германии;50;50;4.432624113475177
состоит из;49;59;4.343971631205674
код муниципалитета INSEE;49;49;4.343971631205674
место погребения;48;137;4.25531914893617
French public service directory ID;48;48;4.25531914893617
номер SIREN;48;48;4.25531914893617
код SIRUTA;46;46;4.078014184397164
участник организации или клуба;45;74;3.9893617021276597
произношение (звуковой файл);44;51;3.900709219858156
код TGN;43;45;3.8120567375886525
LAU;41;41;3.6347517730496453
код швейцарского муниципалитета;40;40;3.546099290780142
пункт назначения;39;135;3.4574468085106385
первое письменное упоминание;37;41;3.280141843971631
место создания;36;314;3.1914893617021276
конечная;36;43;3.1914893617021276
код места в Facebook;36;36;3.1914893617021276
источник дополнительных внешних данных;34;34;3.0141843971631204
значимое место;32;42;2.8368794326241136
код US National Archives;32;33;2.8368794326241136
код места SIMC;31;31;2.74822695035461
код Historical Gazetteer;30;30;2.6595744680851063
место публикации;28;1015;2.4822695035460995
код административного деления Китая;27;27;2.393617021276596
код в Большой российской энциклопедии онлайн;27;27;2.393617021276596
соединяется с;26;30;2.304964539007092
избирательный округ;26;27;2.304964539007092
код KSH;26;26;2.304964539007092
код EMLO location;25;25;2.2163120567375887
dmoz;24;26;2.127659574468085
категория для людей, похороненных здесь;24;24;2.127659574468085
описание герба;24;24;2.127659574468085
код Bildkatalog;23;23;2.039007092198582
ключевое событие;22;65;1.950354609929078
владельцем является;22;35;1.950354609929078
статус наследия;22;22;1.950354609929078
владеет;21;33;1.8617021276595744
код NIS/INS;21;21;1.8617021276595744
электронная почта;20;21;1.773049645390071
история происходит в месте;19;104;1.6843971631205674
находится в пределах природно-географического объекта;19;20;1.6843971631205674
French Vikidia ID;18;18;1.5957446808510638
код тезауруса PACTOLS;18;18;1.5957446808510638
число домохозяйств;17;64;1.5070921985815602
этнохороним;17;24;1.5070921985815602
исторический регион;17;20;1.5070921985815602
Brazilian Electoral Unit ID;17;17;1.5070921985815602
бразильский муниципальный код;17;17;1.5070921985815602
место происхождения (Швейцария);16;119;1.4184397163120568
код Цифрового атласа Римской империи;16;20;1.4184397163120568
Czech Registration ID;16;16;1.4184397163120568
ISO 3166-2;16;16;1.4184397163120568
UN/LOCODE;16;16;1.4184397163120568
индекс человеческого развития;16;16;1.4184397163120568
изображённый объект;15;43;1.3297872340425532
короткое название;15;17;1.3297872340425532
ежегодное количество свадеб;15;15;1.3297872340425532
код GNS;15;15;1.3297872340425532
место съёмок;14;523;1.2411347517730498
изображение печати/эмблемы;14;14;1.2411347517730498
код EHAK;14;14;1.2411347517730498
код YSO;14;14;1.2411347517730498
код КОАТУУ;14;14;1.2411347517730498
код австрийского муниципалитета;13;14;1.152482269503546
WorldCat Identities ID;13;13;1.152482269503546
архивы хранятся в;13;13;1.152482269503546
код NLI;12;12;1.0638297872340425
код онлайн-версии Энциклопедии Брокгауз;12;12;1.0638297872340425
описание флага;12;12;1.0638297872340425
часть света;12;12;1.0638297872340425
материнская компания (организация, учреждение);11;61;0.975177304964539
основной порт;11;61;0.975177304964539
код в Encyclopædia Universalis;11;12;0.975177304964539
DANE code;11;11;0.975177304964539
код местности INEGI;11;11;0.975177304964539
полученные награды;11;11;0.975177304964539
число домов;10;175;0.8865248226950355
RegiowikiAT ID;10;10;0.8865248226950355
код SUDOC;10;10;0.8865248226950355
код административной единицы Таиланда;10;10;0.8865248226950355
самая восточная точка;10;10;0.8865248226950355
самая западная точка;10;10;0.8865248226950355
самая северная точка;10;10;0.8865248226950355
самая южная точка;10;10;0.8865248226950355
место изготовления;9;61;0.7978723404255319
тематически относится к;9;10;0.7978723404255319
FIPS 10-4 (страны и регионы);9;9;0.7978723404255319
IndicePA ID;9;9;0.7978723404255319
географический код Kallikratis;9;9;0.7978723404255319
геоданные;9;9;0.7978723404255319
кадастровый код Италии;9;9;0.7978723404255319
код GAMEO;9;9;0.7978723404255319
код ISTAT;9;9;0.7978723404255319
основная тема портала Викимедиа;9;9;0.7978723404255319
INE ID (Portugal);8;8;0.7092198581560284
законодательный орган;8;8;0.7092198581560284
значение в OmegaWiki;8;8;0.7092198581560284
зона обслуживания;8;8;0.7092198581560284
код BabelNet;8;8;0.7092198581560284
код ISNI;8;8;0.7092198581560284
код чешского района;8;8;0.7092198581560284
муниципальный код INE;8;8;0.7092198581560284
муниципальный код TERYT;8;8;0.7092198581560284
эксклав от;7;11;0.6205673758865249
Uppsala University Alvin ID;7;10;0.6205673758865249
оператор;7;10;0.6205673758865249
код GNIS;7;8;0.6205673758865249
аудиозапись прочитанного текста;7;7;0.6205673758865249
предположительно одно и то же с;7;7;0.6205673758865249
шведский код городского поселения;7;7;0.6205673758865249
безграмотное население;6;36;0.5319148936170213
грамотное население;6;36;0.5319148936170213
код EKATTE;6;12;0.5319148936170213
женское население;6;11;0.5319148936170213
мужское население;6;11;0.5319148936170213
заменён на;6;8;0.5319148936170213
заменил;6;7;0.5319148936170213
Bavarikon ID;6;6;0.5319148936170213
FIPS 55-3 (места в США);6;6;0.5319148936170213
HOV-ID;6;6;0.5319148936170213
Indian census area code (2011);6;6;0.5319148936170213
идентификатор Dizionario di Storia;6;6;0.5319148936170213
изображение дорожного знака с названием населённого пункта;6;6;0.5319148936170213
канадский географический код;6;6;0.5319148936170213
категория фильмов, снятых в этом месте;6;6;0.5319148936170213
код Pleiades;6;6;0.5319148936170213
код муниципалитета INEGI;6;6;0.5319148936170213
код статьи Klexikon;6;6;0.5319148936170213
портал Викимедиа;6;6;0.5319148936170213
реестровый код культурного наследия Словении;6;6;0.5319148936170213
место первого исполнения;5;42;0.44326241134751776
