prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;9866;12678;100.0
государство;9862;9864;99.95945672004865
географические координаты;9848;11001;99.81755524021894
административно-территориальная единица;9310;11702;94.36448408676263
Who's on First ID;8975;8976;90.96898439083722
площадь;8933;9187;90.54327995134807
код GNIS;8286;9411;83.98540441921752
код GeoNames;8119;8175;82.29272248124873
FIPS 55-3 (места в США);7984;7988;80.92438678289074
численность населения;7616;8024;77.19440502736671
высота над уровнем моря;7527;7726;76.29231704844922
код Freebase;6367;6367;64.53476586255829
карта местонахождения;5296;5311;53.679302655584834
часовой пояс;3753;6129;38.03973241435232
почтовый индекс;3336;3410;33.81309547942429
изображение;2764;2808;28.015406446381512
местный телефонный код;2624;2718;26.596391648084328
код VIAF;2392;2404;24.244881410906142
код LCNAF;2227;2233;22.572471112913036
категория на Викискладе;2150;2151;21.792012973849584
идентификатор местоположения ArchINFORM;1945;1945;19.714169876342996
место рождения;1823;5375;18.47759983782688
WOEID;1597;1597;16.186904520575716
код темы Quora;1188;1198;12.041354145550374
место смерти;1074;3938;10.885870666936954
местонахождение;734;1207;7.43969187107237
лицензия на вещание в;643;776;6.517332252179202
код в Большой каталанской энциклопедии;546;549;5.5341577133590105
расположение штаб-квартиры;487;1713;4.9361443340766264
код TGN;463;467;4.692884654368538
dmoz;452;452;4.581390634502331
место жительства;385;773;3.9022906953172507
место в MusicBrainz;374;375;3.7907966754510443
имеет границы с;354;447;3.588080275694304
общая тема категории;313;314;3.1725116561929863
основная категория по теме;306;306;3.1015609162781272
код US National Archives;302;306;3.0610176363267785
дата основания/создания/возникновения;292;295;2.9596594364484083
официальный сайт;271;274;2.7468072167038313
названо в честь;267;299;2.7062639367524834
категория объединяет темы;254;333;2.574498276910602
обслуживаемый город;226;240;2.2906953172511657
значимое место;212;272;2.1487938374214473
место публикации;211;548;2.1386580174336105
расположение конечной точки;179;222;1.814311777822826
не путать с;175;299;1.7737684978714778
баннер Викигида;161;161;1.6318670180417594
код автомобильного номера;158;158;1.6014595580782485
находится в пределах природно-географического объекта;135;138;1.368335698357997
категория для людей, связанных с местностью;129;129;1.307520778430975
административно делится на;125;126;1.2669774984796272
название на языке оригинала;119;125;1.206162578552605
столица;107;111;1.0845327386985606
является столицей;102;105;1.0338536387593755
место создания;79;107;0.8007297790391242
место погребения;76;90;0.7703223190756132
код GND;73;73;0.7399148591121021
ID отношения в OpenStreetMap;69;69;0.6993715791607541
код BabelNet;65;65;0.6588282992094061
категория для людей, родившихся здесь;64;64;0.648692479221569
статус наследия;62;96;0.628420839245895
код в энциклопедии «Британника онлайн»;58;58;0.5878775592945469
код NRHP;57;57;0.5777417393067099
место активности;55;128;0.5574700993310359
Handbook of Texas ID;48;48;0.4865193594161768
WorldCat Identities ID;45;45;0.4561118994526657
состоит из;42;53;0.42570443948915465
находится на берегу водоёма;38;45;0.3851611595378066
часть от;35;50;0.35475369957429553
официальное название;35;39;0.35475369957429553
код BNF;33;34;0.33448205959862154
код FAST;32;33;0.3243462396107845
код ISNI;31;33;0.3142104196229475
место съёмок;30;41;0.3040745996351105
оператор;29;34;0.29393877964727344
категория для людей, умерших здесь;29;29;0.29393877964727344
код NLI;28;29;0.2838029596594364
десятичная классификация Дьюи;28;28;0.2838029596594364
следующее по порядку;20;28;0.2027163997567403
галерея на Викискладе;20;20;0.2027163997567403
предыдущее по порядку;19;27;0.1925805797689033
основная тема;19;22;0.1925805797689033
категория карт на Викискладе;19;19;0.1925805797689033
заменён на;17;24;0.17230893979322928
изображение флага;16;16;0.16217311980539226
конечная;16;16;0.16217311980539226
идентификатор Ringgold;15;15;0.15203729981755526
изображённый объект;14;15;0.1419014798297182
код NKC;14;15;0.1419014798297182
код SUDOC;14;14;0.1419014798297182
история происходит в месте;13;14;0.1317656598418812
California Office of Historic Preservation ID;13;13;0.1317656598418812
включает населённый пункт;13;13;0.1317656598418812
работодатель;12;1531;0.1216298398540442
основные направления;12;16;0.1216298398540442
указания, как добраться;12;12;0.1216298398540442
учебное заведение;11;1805;0.11149401986620719
город-побратим;11;18;0.11149401986620719
заменил;11;14;0.11149401986620719
карта ареала вида;11;11;0.11149401986620719
код аэропорта ИКАО;11;11;0.11149401986620719
код аэропорта ФАА;11;11;0.11149401986620719
сабреддит;11;11;0.11149401986620719
код аэропорта ИАТА;10;10;0.10135819987837015
владельцем является;9;21;0.09122237989053314
начало пути;9;13;0.09122237989053314
основатель;9;10;0.09122237989053314
UN/LOCODE;9;9;0.09122237989053314
идентификатор ROR;9;9;0.09122237989053314
код grid global research;9;9;0.09122237989053314
находится в охранной зоне;9;9;0.09122237989053314
Microsoft Academic ID;8;8;0.08108655990269613
изображение печати/эмблемы;8;8;0.08108655990269613
часть света;8;8;0.08108655990269613
пункт назначения;7;13;0.0709507399148591
адрес;7;7;0.0709507399148591
дата официального открытия;7;7;0.0709507399148591
код GAMEO;7;7;0.0709507399148591
код IPEDS;7;7;0.0709507399148591
код для сущности Wolfram Language;7;7;0.0709507399148591
код места в Facebook;7;7;0.0709507399148591
логотип;7;7;0.0709507399148591
учётная запись Facebook;7;7;0.0709507399148591
классификация Карнеги для вуза;6;36;0.0608149199270221
описан на сайте;6;11;0.0608149199270221
Open Library subject ID;6;10;0.0608149199270221
материнская компания (организация, учреждение);6;10;0.0608149199270221
в точности соответствует;6;9;0.0608149199270221
обитатель;6;9;0.0608149199270221
дата прекращения существования;6;7;0.0608149199270221
описывается в источниках;6;7;0.0608149199270221
процент водной поверхности;6;7;0.0608149199270221
