prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10635;10644;100.0
государство;10633;10651;99.98119417019275
географические координаты;10630;10630;99.9529854254819
код GeoNames;10623;10625;99.88716502115655
административно-территориальная единица;6380;6437;59.990597085096375
высота над уровнем моря;81;81;0.7616361071932299
горный хребет;80;82;0.7522331922896097
код GNS;46;46;0.4325340855665256
изображение;31;33;0.2914903620122238
SCAR Composite Gazetteer place ID;2;2;0.018805829807240243
антарктический код GNIS;1;1;0.009402914903620122
категория на Викискладе;1;1;0.009402914903620122
код Freebase;1;1;0.009402914903620122
код VIAF;1;1;0.009402914903620122
находится в охранной зоне;1;1;0.009402914903620122
находится в пределах природно-географического объекта;1;1;0.009402914903620122
не путать с;1;1;0.009402914903620122
несёт на себе;1;1;0.009402914903620122
часть света;1;1;0.009402914903620122
