prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;45;47;100.0
на астрономическом теле;45;45;100.0
географические координаты;43;43;95.55555555555556
длина;43;43;95.55555555555556
код Gazetteer of Planetary Nomenclature;43;43;95.55555555555556
категория на Викискладе;21;21;46.666666666666664
местонахождение;12;15;26.666666666666668
изображение;10;10;22.22222222222222
названо в честь;3;3;6.666666666666667
находится в пределах природно-географического объекта;1;1;2.2222222222222223
состоит из;1;1;2.2222222222222223
часть от;1;1;2.2222222222222223
