prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;14;18;100.0
государство;14;14;100.0
административно-территориальная единица;13;15;92.85714285714286
географические координаты;12;12;85.71428571428571
изображение;12;12;85.71428571428571
категория на Викискладе;10;10;71.42857142857143
дата основания/создания/возникновения;7;7;50.0
архитектурный стиль;4;5;28.57142857142857
архитектор;4;4;28.57142857142857
владельцем является;4;4;28.57142857142857
дата официального открытия;4;4;28.57142857142857
названо в честь;4;4;28.57142857142857
расположен на улице;4;4;28.57142857142857
код Freebase;3;3;21.428571428571427
archINFORM project ID;2;2;14.285714285714285
галерея на Викискладе;2;2;14.285714285714285
дата прекращения существования;2;2;14.285714285714285
используется как/для/в;2;2;14.285714285714285
код LCNAF;2;2;14.285714285714285
код VIAF;2;2;14.285714285714285
количество этажей;2;2;14.285714285714285
местонахождение;2;2;14.285714285714285
название на языке оригинала;2;2;14.285714285714285
позднее здесь было построено;2;2;14.285714285714285
обитатель;1;6;7.142857142857142
расположение штаб-квартиры;1;4;7.142857142857142
производитель;1;3;7.142857142857142
место активности;1;2;7.142857142857142
COAM structure ID;1;1;7.142857142857142
LombardiaBeniCulturali building ID;1;1;7.142857142857142
WorldCat Identities ID;1;1;7.142857142857142
вид в ночное время;1;1;7.142857142857142
выдающееся произведение;1;1;7.142857142857142
длина;1;1;7.142857142857142
идентификатор Structurae;1;1;7.142857142857142
изображение интерьера;1;1;7.142857142857142
кем официально открыт;1;1;7.142857142857142
код GND;1;1;7.142857142857142
код GeoNames;1;1;7.142857142857142
код NLI;1;1;7.142857142857142
код RKDartists;1;1;7.142857142857142
код ULAN;1;1;7.142857142857142
код «Вики любит памятники»;1;1;7.142857142857142
код в энциклопедии «Британника онлайн»;1;1;7.142857142857142
основная тема;1;1;7.142857142857142
построено на месте;1;1;7.142857142857142
статус наследия;1;1;7.142857142857142
ширина;1;1;7.142857142857142
