prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;174;190;100.0
государство;166;166;95.40229885057471
административно-территориальная единица;154;195;88.50574712643679
географические координаты;102;105;58.620689655172406
код GeoNames;77;78;44.252873563218394
площадь;66;66;37.93103448275862
карта местонахождения;65;65;37.35632183908046
место рождения;14;25;8.045977011494253
изображение;12;13;6.896551724137931
численность населения;10;21;5.747126436781609
Who's on First ID;10;10;5.747126436781609
категория на Викискладе;9;9;5.172413793103448
высота над уровнем моря;7;7;4.022988505747127
почтовый индекс;7;7;4.022988505747127
административно делится на;6;10;3.4482758620689653
местонахождение;6;6;3.4482758620689653
часовой пояс;5;5;2.8735632183908044
код Freebase;4;4;2.2988505747126435
канадский географический код;3;3;1.7241379310344827
код VIAF;3;3;1.7241379310344827
не путать с;3;3;1.7241379310344827
официальный сайт;3;3;1.7241379310344827
имеет границы с;2;3;1.1494252873563218
изображение герба;2;2;1.1494252873563218
код LCNAF;2;2;1.1494252873563218
код темы Quora;2;2;1.1494252873563218
столица;2;2;1.1494252873563218
является столицей;2;2;1.1494252873563218
число домохозяйств;1;6;0.5747126436781609
название на языке оригинала;1;2;0.5747126436781609
официальное название;1;2;0.5747126436781609
расположение штаб-квартиры;1;2;0.5747126436781609
setlist.fm venue ID;1;1;0.5747126436781609
баннер Викигида;1;1;0.5747126436781609
глава правительства;1;1;0.5747126436781609
дата основания/создания/возникновения;1;1;0.5747126436781609
законодательный орган;1;1;0.5747126436781609
значимое место;1;1;0.5747126436781609
изображение флага;1;1;0.5747126436781609
место смерти;1;1;0.5747126436781609
названо в честь;1;1;0.5747126436781609
находится в границах современной административной единицы;1;1;0.5747126436781609
находится на берегу водоёма;1;1;0.5747126436781609
общая тема категории;1;1;0.5747126436781609
основная тема шаблона;1;1;0.5747126436781609
основной шаблон по теме;1;1;0.5747126436781609
подкласс от;1;1;0.5747126436781609
подробная карта;1;1;0.5747126436781609
постоянный дубликат;1;1;0.5747126436781609
состоит из представителей класса;1;1;0.5747126436781609
статус наследия;1;1;0.5747126436781609
