prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;47;2321;100.0
географические координаты;47;52;100.0
карта местонахождения;47;48;100.0
ISO 3166-2;47;47;100.0
государство;47;47;100.0
категория на Викискладе;47;47;100.0
код GeoNames;47;47;100.0
общая тема категории;47;47;100.0
основная категория по теме;47;47;100.0
это частный случай понятия;47;47;100.0
изображение флага;46;46;97.87234042553192
официальный сайт;46;46;97.87234042553192
площадь;46;46;97.87234042553192
используемый язык;45;160;95.74468085106383
происходит из;45;160;95.74468085106383
дата основания/создания/возникновения;44;44;93.61702127659575
код Freebase;41;41;87.2340425531915
место рождения;39;132;82.97872340425532
ID отношения в OpenStreetMap;38;38;80.85106382978722
столица;31;31;65.95744680851064
изображение герба;30;30;63.829787234042556
является столицей;29;29;61.702127659574465
изображение;28;28;59.57446808510638
местонахождение;6;9;12.76595744680851
высота над уровнем моря;6;6;12.76595744680851
часовой пояс;6;6;12.76595744680851
код темы Quora;5;5;10.638297872340425
Who's on First ID;4;4;8.51063829787234
место жительства;4;4;8.51063829787234
место смерти;3;3;6.382978723404255
основная тема;3;3;6.382978723404255
административно делится на;2;2;4.25531914893617
категория для людей, связанных с местностью;2;2;4.25531914893617
категория объединяет темы;2;2;4.25531914893617
код BabelNet;2;2;4.25531914893617
EU Research participant ID;1;1;2.127659574468085
EU VAT number;1;1;2.127659574468085
код VIAF;1;1;2.127659574468085
название на языке оригинала;1;1;2.127659574468085
названо в честь;1;1;2.127659574468085
не путать с;1;1;2.127659574468085
обслуживаемый город;1;1;2.127659574468085
расположение штаб-квартиры;1;1;2.127659574468085
руководящий орган;1;1;2.127659574468085
