prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;187;213;100.0
административно-территориальная единица;185;8363;98.93048128342245
государство;180;192;96.2566844919786
столица;180;191;96.2566844919786
административно делится на;147;204;78.6096256684492
имеет границы с;143;653;76.47058823529412
карта местонахождения;142;149;75.93582887700535
является столицей;137;140;73.2620320855615
код GeoNames;137;138;73.2620320855615
географические координаты;137;137;73.2620320855615
основная категория по теме;120;120;64.1711229946524
площадь;120;120;64.1711229946524
место рождения;119;1108;63.63636363636363
категория объединяет темы;119;551;63.63636363636363
общая тема категории;119;121;63.63636363636363
высота над уровнем моря;119;119;63.63636363636363
категория для людей, родившихся здесь;119;119;63.63636363636363
юрисдикция распространяется на;118;300;63.101604278074866
официальный сайт;118;139;63.101604278074866
исполнительная власть;118;118;63.101604278074866
категория карт на Викискладе;118;118;63.101604278074866
категория на Викискладе;118;118;63.101604278074866
код Freebase;118;118;63.101604278074866
изображение герба;111;112;59.35828877005348
категория для людей, умерших здесь;107;107;57.21925133689839
категория для людей, связанных с местностью;106;106;56.68449197860963
дата основания/создания/возникновения;102;102;54.54545454545454
категория для людей, похороненных здесь;100;100;53.475935828877006
место смерти;88;378;47.05882352941176
код VIAF;85;85;45.45454545454545
численность населения;82;171;43.85026737967914
код LCNAF;78;78;41.711229946524064
изображение флага;76;76;40.64171122994652
место погребения;70;253;37.4331550802139
дата прекращения существования;69;69;36.898395721925134
глава правительства;45;83;24.06417112299465
официальное название;30;35;16.0427807486631
описание флага;28;28;14.973262032085561
описание герба;27;27;14.43850267379679
название на языке оригинала;22;22;11.76470588235294
часовой пояс;22;22;11.76470588235294
изображение;21;23;11.229946524064172
следующее по порядку;7;9;3.7433155080213902
заменён на;7;8;3.7433155080213902
местонахождение;7;8;3.7433155080213902
код FAST;7;7;3.7433155080213902
код NLI;6;6;3.2085561497326207
исток водотока;5;9;2.6737967914438503
описывается в источниках;4;12;2.13903743315508
код GND;4;4;2.13903743315508
тематически относится к;2;4;1.06951871657754
заменил;2;3;1.06951871657754
город-побратим;2;2;1.06951871657754
законодательный орган;2;2;1.06951871657754
история происходит в месте;2;2;1.06951871657754
не путать с;2;2;1.06951871657754
почтовый индекс;2;2;1.06951871657754
вытекающие из озера реки;1;2;0.53475935828877
пример использования свойства;1;2;0.53475935828877
ID отношения в OpenStreetMap;1;1;0.53475935828877
MinDat Locality ID;1;1;0.53475935828877
romanization of Belarusian (2007 system);1;1;0.53475935828877
в точности соответствует;1;1;0.53475935828877
география темы;1;1;0.53475935828877
дети;1;1;0.53475935828877
должность главы правительства;1;1;0.53475935828877
история темы;1;1;0.53475935828877
карта ареала вида;1;1;0.53475935828877
код BabelNet;1;1;0.53475935828877
код GNS;1;1;0.53475935828877
код NKC;1;1;0.53475935828877
код Radzima.org;1;1;0.53475935828877
код SUDOC;1;1;0.53475935828877
код в энциклопедии «Британника онлайн»;1;1;0.53475935828877
короткое название;1;1;0.53475935828877
местный телефонный код;1;1;0.53475935828877
место съёмок;1;1;0.53475935828877
названо в честь;1;1;0.53475935828877
наивысшая точка;1;1;0.53475935828877
отец;1;1;0.53475935828877
предыдущее по порядку;1;1;0.53475935828877
расположение штаб-квартиры;1;1;0.53475935828877
страница на сайте Глобус Беларуси;1;1;0.53475935828877
транслитерация;1;1;0.53475935828877
