prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;23;27;100.0
государство;23;23;100.0
географические координаты;20;20;86.95652173913044
код Freebase;19;19;82.6086956521739
административно-территориальная единица;18;2736;78.26086956521739
местонахождение;18;164;78.26086956521739
категория объединяет темы;18;90;78.26086956521739
имеет границы с;18;86;78.26086956521739
карта местонахождения;18;19;78.26086956521739
столица;18;19;78.26086956521739
FIPS 10-4 (страны и регионы);18;18;78.26086956521739
ID отношения в OpenStreetMap;18;18;78.26086956521739
Who's on First ID;18;18;78.26086956521739
административно делится на;18;18;78.26086956521739
геоданные;18;18;78.26086956521739
десятичная классификация Дьюи;18;18;78.26086956521739
идентификатор местоположения ArchINFORM;18;18;78.26086956521739
категория для людей, родившихся здесь;18;18;78.26086956521739
категория для людей, связанных с местностью;18;18;78.26086956521739
категория карт на Викискладе;18;18;78.26086956521739
категория на Викискладе;18;18;78.26086956521739
категория фильмов, снятых в этом месте;18;18;78.26086956521739
код GeoNames;18;18;78.26086956521739
код VIAF;18;18;78.26086956521739
общая тема категории;18;18;78.26086956521739
основная категория по теме;18;18;78.26086956521739
INE ID (Portugal);17;17;73.91304347826086
ISO 3166-2;17;17;73.91304347826086
код GND;17;17;73.91304347826086
код в Большой каталанской энциклопедии;17;17;73.91304347826086
часовой пояс;16;16;69.56521739130434
место рождения;15;29;65.21739130434783
является столицей;15;16;65.21739130434783
код LCNAF;15;15;65.21739130434783
место в MusicBrainz;15;15;65.21739130434783
French Vikidia ID;13;13;56.52173913043478
код BNF;13;13;56.52173913043478
официальный сайт;11;11;47.82608695652174
площадь;8;8;34.78260869565217
находится на берегу водоёма;7;7;30.434782608695656
значение в OmegaWiki;6;6;26.08695652173913
категория для людей, умерших здесь;6;6;26.08695652173913
изображение;5;5;21.73913043478261
используемый язык;4;5;17.391304347826086
происходит из;4;5;17.391304347826086
место смерти;3;3;13.043478260869565
название на языке оригинала;3;3;13.043478260869565
категория для людей, похороненных здесь;2;2;8.695652173913043
код BabelNet;2;2;8.695652173913043
код NKC;2;2;8.695652173913043
код TGN;2;2;8.695652173913043
код тезауруса PACTOLS;2;2;8.695652173913043
численность населения;2;2;8.695652173913043
место съёмок;1;10;4.3478260869565215
место публикации;1;2;4.3478260869565215
предположительно одно и то же с;1;2;4.3478260869565215
баннер Викигида;1;1;4.3478260869565215
занимает ту же территорию с;1;1;4.3478260869565215
зона обслуживания;1;1;4.3478260869565215
изображённый объект;1;1;4.3478260869565215
место погребения;1;1;4.3478260869565215
названо в честь;1;1;4.3478260869565215
обслуживаемый город;1;1;4.3478260869565215
пример использования свойства;1;1;4.3478260869565215
часть от;1;1;4.3478260869565215
