prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;195;199;100.0
государство;151;151;77.43589743589745
Environmental Register code (Estonia);77;77;39.48717948717949
географические координаты;68;68;34.87179487179487
впадает в;50;54;25.64102564102564
административно-территориальная единица;48;52;24.615384615384617
приток;41;41;21.025641025641026
изображение;26;26;13.333333333333334
длина;14;14;7.179487179487179
LAWA waterbody ID;10;10;5.128205128205128
статус наследия;10;10;5.128205128205128
категория на Викискладе;9;9;4.615384615384616
площадь бассейна;9;9;4.615384615384616
водосборный бассейн;7;7;3.5897435897435894
впадающие в озеро реки;7;7;3.5897435897435894
код объекта в топонимической базе данных Латвии;7;7;3.5897435897435894
код Mérimée;5;6;2.564102564102564
код GeoNames;4;4;2.051282051282051
названо в честь;4;4;2.051282051282051
номер в списке Английского наследия;4;4;2.051282051282051
высота над уровнем моря;3;3;1.5384615384615385
местонахождение;3;3;1.5384615384615385
часть от;2;3;1.0256410256410255
ID отношения в OpenStreetMap;2;2;1.0256410256410255
адрес;2;2;1.0256410256410255
водоём на реке;2;2;1.0256410256410255
исток водотока;2;2;1.0256410256410255
код GNIS;2;2;1.0256410256410255
код VIAF;2;2;1.0256410256410255
произношение (звуковой файл);2;2;1.0256410256410255
проходит над/под;1;5;0.5128205128205128
состоит из;1;2;0.5128205128205128
вытекающие из озера реки;1;1;0.5128205128205128
используется как/для/в;1;1;0.5128205128205128
карта этой дороги;1;1;0.5128205128205128
код GNS;1;1;0.5128205128205128
код SANDRE;1;1;0.5128205128205128
находится в пределах природно-географического объекта;1;1;0.5128205128205128
описывается в источниках;1;1;0.5128205128205128
файл KML;1;1;0.5128205128205128
