prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;79;93;100.0
государство;52;52;65.82278481012658
дата основания/создания/возникновения;40;40;50.63291139240506
код VIAF;21;21;26.582278481012654
административно-территориальная единица;20;20;25.31645569620253
участник организации или клуба;19;224;24.050632911392405
категория на Викискладе;18;18;22.78481012658228
официальный сайт;18;18;22.78481012658228
код LCNAF;17;17;21.518987341772153
расположение штаб-квартиры;15;16;18.9873417721519
архивы хранятся в;15;15;18.9873417721519
изображение;13;13;16.455696202531644
код Freebase;13;13;16.455696202531644
общая тема категории;12;12;15.18987341772152
основная категория по теме;12;12;15.18987341772152
основатель;11;24;13.924050632911392
код темы Quora;10;10;12.658227848101266
код ISNI;8;8;10.126582278481013
часть от;6;10;7.59493670886076
место создания;5;5;6.329113924050633
названо в честь;5;5;6.329113924050633
отношение к религии;4;4;5.063291139240507
географические координаты;3;3;3.79746835443038
издатель;3;3;3.79746835443038
код в энциклопедии «Британника онлайн»;3;3;3.79746835443038
не путать с;3;3;3.79746835443038
область деятельности;2;3;2.5316455696202533
политическая идеология;2;3;2.5316455696202533
идентификатор ROR;2;2;2.5316455696202533
код BNE;2;2;2.5316455696202533
код GND;2;2;2.5316455696202533
код grid global research;2;2;2.5316455696202533
короткое название;2;2;2.5316455696202533
логотип;2;2;2.5316455696202533
местонахождение;2;2;2.5316455696202533
монашеский орден;2;2;2.5316455696202533
организатор;2;2;2.5316455696202533
организационно-правовая форма;2;2;2.5316455696202533
официальное название;2;2;2.5316455696202533
работодатель;2;2;2.5316455696202533
учётная запись Facebook;2;2;2.5316455696202533
жанр;1;3;1.2658227848101267
код в Большой каталанской энциклопедии;1;2;1.2658227848101267
участвовал в;1;2;1.2658227848101267
цель проекта или миссии;1;2;1.2658227848101267
Microsoft Academic ID;1;1;1.2658227848101267
Museum Universe Data File ID;1;1;1.2658227848101267
New Georgia Encyclopedia ID;1;1;1.2658227848101267
WorldCat Identities ID;1;1;1.2658227848101267
архитектор;1;1;1.2658227848101267
в память о;1;1;1.2658227848101267
галерея на Викискладе;1;1;1.2658227848101267
дата начала;1;1;1.2658227848101267
дата прекращения существования;1;1;1.2658227848101267
зона обслуживания;1;1;1.2658227848101267
код BAV;1;1;1.2658227848101267
код BNF;1;1;1.2658227848101267
код CONOR;1;1;1.2658227848101267
код FAST;1;1;1.2658227848101267
код LEI;1;1;1.2658227848101267
код PermID;1;1;1.2658227848101267
код SUDOC;1;1;1.2658227848101267
код Sandrart.net;1;1;1.2658227848101267
код UK Parliament thesaurus;1;1;1.2658227848101267
код archINFORM;1;1;1.2658227848101267
код Католической энциклопедии;1;1;1.2658227848101267
код в Encyclopædia Universalis;1;1;1.2658227848101267
код в Большой российской энциклопедии онлайн;1;1;1.2658227848101267
код персоны/учреждения в Британском музее;1;1;1.2658227848101267
код спонсора Crossref;1;1;1.2658227848101267
название на языке оригинала;1;1;1.2658227848101267
область интересов;1;1;1.2658227848101267
описывается в источниках;1;1;1.2658227848101267
основная тема;1;1;1.2658227848101267
подкласс от;1;1;1.2658227848101267
рабочий список проекта Викимедиа;1;1;1.2658227848101267
род занятий;1;1;1.2658227848101267
руководящий орган;1;1;1.2658227848101267
страна происхождения;1;1;1.2658227848101267
текст девиза;1;1;1.2658227848101267
тематически относится к;1;1;1.2658227848101267
учётная запись Flickr;1;1;1.2658227848101267
учётная запись в Твиттере;1;1;1.2658227848101267
целевая аудитория;1;1;1.2658227848101267
