prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;2143;2349;100.0
государство;2034;2034;94.91367242183854
административно-территориальная единица;1966;2221;91.74055062995801
географические координаты;1516;1525;70.7419505366309
статус наследия;1506;1755;70.27531497900141
адрес;1022;1036;47.69015398973402
изображение;936;952;43.67708819412039
категория на Викискладе;780;780;36.397573495100325
код «Вики любит памятники»;735;743;34.297713485767616
Polish cultural heritage register number;674;684;31.451236584227722
дата основания/создания/возникновения;670;671;31.264582361175925
часть от;564;609;26.318245450303312
состоит из;522;564;24.35837610825945
местонахождение;500;659;23.33177788147457
INSPIRE ID;454;455;21.185254316378906
идентификатор Rijksmonument;359;364;16.75221651889874
код в Europeana;348;349;16.2389174055063
код в регистре Национального наследия Ирана;154;154;7.1861875874941665
указания, как добраться;150;152;6.99953336444237
почтовый индекс;119;119;5.5529631357909475
используется как/для/в;115;128;5.36630891273915
ключевое событие;85;168;3.966402239850677
официальный сайт;75;76;3.499766682221185
код Mérimée;61;63;2.8464769015398974
площадь;60;66;2.7998133457769483
расположен на улице;57;60;2.6598226784881005
названо в честь;50;52;2.3331777881474567
код VIAF;46;48;2.1465235650956602
код GeoNames;46;46;2.1465235650956602
код Freebase;43;43;2.006532897806813
владельцем является;32;34;1.4932337844143724
код SIPA;30;30;1.3999066728884741
архитектор;28;34;1.3065795613625757
оператор;21;21;0.979934671021932
номер в списке Английского наследия;20;21;0.9332711152589827
основная тема;19;61;0.8866075594960335
описан на сайте;18;37;0.8399440037330844
код kulturnoe-nasledie.ru;17;17;0.7932804479701353
код строения Cadw;16;16;0.7466168922071862
владеет;15;18;0.6999533364442371
галерея на Викискладе;15;15;0.6999533364442371
общая тема категории;15;15;0.6999533364442371
код Historic Scotland;14;69;0.6532897806812878
код Canmore;14;67;0.6532897806812878
archINFORM project ID;14;14;0.6532897806812878
дата официального открытия;14;14;0.6532897806812878
регистрационный номер ЕГРОКН;14;14;0.6532897806812878
выдающееся произведение;13;15;0.6066262249183387
идентификатор KGS;13;13;0.6066262249183387
основная категория по теме;13;13;0.6066262249183387
архитектурный стиль;12;14;0.5599626691553896
BGCI garden ID;12;12;0.5599626691553896
код GNIS;12;12;0.5599626691553896
код TripAdvisor;12;12;0.5599626691553896
адрес (УСТАРЕЛО);11;11;0.5132991133924405
идентификатор объекта в картах Google;11;11;0.5132991133924405
код LCNAF;11;11;0.5132991133924405
находится в пределах природно-географического объекта;10;20;0.4666355576294913
Parks & Gardens UK Record ID;10;10;0.4666355576294913
высота над уровнем моря;10;10;0.4666355576294913
код Всемирного наследия ЮНЕСКО;9;11;0.4199720018665422
официальное название;9;11;0.4199720018665422
Protected Buildings Register in Finland Building ID;9;9;0.4199720018665422
код NRHP;9;9;0.4199720018665422
код темы Quora;9;9;0.4199720018665422
произношение (звуковой файл);9;9;0.4199720018665422
изображённый объект;8;76;0.3733084461035931
имеет границы с;8;11;0.3733084461035931
идентификатор Bien de Interés Cultural;8;9;0.3733084461035931
AtlasFor ID;8;8;0.3733084461035931
ID отношения в OpenStreetMap;8;8;0.3733084461035931
описывается в источниках;7;16;0.3266448903406439
код GND;7;8;0.3266448903406439
основатель;7;8;0.3266448903406439
Moroccan cultural heritage ID;7;7;0.3266448903406439
код в энциклопедии «Британника онлайн»;7;7;0.3266448903406439
написание каной;6;6;0.2799813345776948
изображение памятной доски;5;6;0.23331777881474566
Czech Monument Catalogue Number;5;5;0.23331777881474566
Petit Futé site ID;5;5;0.23331777881474566
идентификатор Чешского культурного наследия;5;5;0.23331777881474566
карта местонахождения;5;5;0.23331777881474566
код Inventari del Patrimoni Arquitectònic de Catalunya;5;5;0.23331777881474566
код NKC;5;5;0.23331777881474566
код в Большой каталанской энциклопедии;5;5;0.23331777881474566
код места в Foursquare;5;5;0.23331777881474566
название на языке оригинала;5;5;0.23331777881474566
пример использования свойства;5;5;0.23331777881474566
создатель;5;5;0.23331777881474566
учётная запись Facebook;5;5;0.23331777881474566
критерий Всемирного наследия;4;13;0.18665422305179655
