prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;17;22;100.0
государство;16;31;94.11764705882352
общая тема категории;12;12;70.58823529411765
основная категория по теме;12;12;70.58823529411765
код Freebase;11;11;64.70588235294117
часть от;10;14;58.82352941176471
место рождения;7;307;41.17647058823529
местонахождение;7;25;41.17647058823529
географические координаты;7;7;41.17647058823529
код в энциклопедии «Британника онлайн»;7;7;41.17647058823529
изображение;6;11;35.294117647058826
названо в честь;6;11;35.294117647058826
основная тема;6;10;35.294117647058826
карта местонахождения;6;7;35.294117647058826
категория на Викискладе;6;6;35.294117647058826
место смерти;5;32;29.411764705882355
категория объединяет темы;5;11;29.411764705882355
категория карт на Викискладе;5;5;29.411764705882355
код в Большой российской энциклопедии онлайн;5;5;29.411764705882355
описывается в источниках;4;6;23.52941176470588
код в Энциклопедии современной Украины;4;5;23.52941176470588
баннер Викигида;4;4;23.52941176470588
код GND;4;4;23.52941176470588
код Еврейской энциклопедии;4;4;23.52941176470588
код в Большой каталанской энциклопедии;4;4;23.52941176470588
гражданство;3;10;17.647058823529413
административно-территориальная единица;3;9;17.647058823529413
история происходит в месте;3;8;17.647058823529413
изображение герба;3;4;17.647058823529413
находится в пределах природно-географического объекта;3;4;17.647058823529413
не путать с;3;4;17.647058823529413
категория для людей, родившихся здесь;3;3;17.647058823529413
код LCNAF;3;3;17.647058823529413
код NKC;3;3;17.647058823529413
код SELIBR;3;3;17.647058823529413
код VIAF;3;3;17.647058823529413
предположительно одно и то же с;3;3;17.647058823529413
место жительства;2;14;11.76470588235294
война/сражение;2;2;11.76470588235294
идентификатор Dizionario di Storia;2;2;11.76470588235294
категория для людей, связанных с местностью;2;2;11.76470588235294
код в Encyclopædia Universalis;2;2;11.76470588235294
код темы Quora;2;2;11.76470588235294
основная тема портала Викимедиа;2;2;11.76470588235294
происходит из;2;2;11.76470588235294
расположение штаб-квартиры;2;2;11.76470588235294
часть света;2;2;11.76470588235294
этнохороним;1;7;5.88235294117647
страна происхождения;1;4;5.88235294117647
имя;1;3;5.88235294117647
административно делится на;1;2;5.88235294117647
зона обслуживания;1;2;5.88235294117647
галерея на Викискладе;1;1;5.88235294117647
идентификатор местоположения ArchINFORM;1;1;5.88235294117647
код BabelNet;1;1;5.88235294117647
код GAMEO;1;1;5.88235294117647
код US National Archives;1;1;5.88235294117647
код YSO;1;1;5.88235294117647
код в Ларуссе;1;1;5.88235294117647
код электронной энциклопедии Украиника;1;1;5.88235294117647
место активности;1;1;5.88235294117647
место изготовления;1;1;5.88235294117647
место создания;1;1;5.88235294117647
область деятельности;1;1;5.88235294117647
портал Викимедиа;1;1;5.88235294117647
предки из;1;1;5.88235294117647
пример использования свойства;1;1;5.88235294117647
состоит из;1;1;5.88235294117647
среда обитания;1;1;5.88235294117647
типовая местность (геология);1;1;5.88235294117647
частично совпадает с;1;1;5.88235294117647
