prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;2109;4607;100.0
государство;2109;2110;100.0
географические координаты;2105;2107;99.8103366524419
административно-территориальная единица;2100;2111;99.57325746799431
Bavarian geotope ID;2054;2055;97.39212897107635
изображение;539;542;25.55713608345187
категория на Викискладе;532;533;25.225225225225223
статус наследия;398;412;18.8715030820294
полученные награды;92;95;4.362256993835941
официальный сайт;62;62;2.939781887150308
находится в охранной зоне;33;46;1.5647226173541962
код VIAF;31;31;1.469890943575154
названо в честь;25;39;1.1853959222380275
высота над уровнем моря;21;21;0.995732574679943
находится в пределах природно-географического объекта;19;31;0.9009009009009009
код GND;18;18;0.8534850640113799
код GeoNames;17;18;0.8060692271218587
код культурного наследия Баварии;15;15;0.7112375533428165
дата основания/создания/возникновения;14;14;0.6638217164532955
горный хребет;11;15;0.5215742057847321
код Freebase;11;11;0.5215742057847321
часть от;10;19;0.474158368895211
код GNS;10;10;0.474158368895211
местонахождение;8;19;0.3793266951161688
входит в состав списка памятников культурного наследия;8;8;0.3793266951161688
основная тема;6;26;0.2844950213371266
галерея на Викискладе;6;6;0.2844950213371266
общая тема категории;6;6;0.2844950213371266
основная категория по теме;6;6;0.2844950213371266
площадь;6;6;0.2844950213371266
LUBW Protected Area No;5;5;0.2370791844476055
адрес;4;4;0.1896633475580844
длина;4;4;0.1896633475580844
находится на берегу водоёма;4;4;0.1896633475580844
продукция;3;4;0.1422475106685633
типовая местность (геология);3;4;0.1422475106685633
ID отношения в OpenStreetMap;3;3;0.1422475106685633
код ISIL;3;3;0.1422475106685633
код LCNAF;3;3;0.1422475106685633
ширина;3;3;0.1422475106685633
оператор;2;3;0.0948316737790422
состоит из;2;3;0.0948316737790422
Microsoft Academic ID;2;2;0.0948316737790422
WDPA;2;2;0.0948316737790422
вертикальная глубина;2;2;0.0948316737790422
дата открытия;2;2;0.0948316737790422
десятичная классификация Дьюи;2;2;0.0948316737790422
имеет границы с;2;2;0.0948316737790422
место рождения;2;2;0.0948316737790422
расположено на линии;1;3;0.0474158368895211
сделано из;1;2;0.0474158368895211
часовой пояс;1;2;0.0474158368895211
Baden-Württemberg protected area ID;1;1;0.0474158368895211
Bavarikon ID;1;1;0.0474158368895211
Common Database on Designated Areas ID;1;1;0.0474158368895211
WorldCat Identities ID;1;1;0.0474158368895211
архитектурный стиль;1;1;0.0474158368895211
висячий бок;1;1;0.0474158368895211
впадает в;1;1;0.0474158368895211
дата официального открытия;1;1;0.0474158368895211
диаметр;1;1;0.0474158368895211
исток водотока;1;1;0.0474158368895211
карта местонахождения;1;1;0.0474158368895211
категория защищённых зон МСОП;1;1;0.0474158368895211
ключевое событие;1;1;0.0474158368895211
код BNF;1;1;0.0474158368895211
код Historical Gazetteer;1;1;0.0474158368895211
код Всемирного наследия ЮНЕСКО;1;1;0.0474158368895211
код ТИА;1;1;0.0474158368895211
код Цифрового атласа Римской империи;1;1;0.0474158368895211
код в энциклопедии «Британника онлайн»;1;1;0.0474158368895211
код для сущности Wolfram Language;1;1;0.0474158368895211
критерий Всемирного наследия;1;1;0.0474158368895211
место обнаружения;1;1;0.0474158368895211
момент времени;1;1;0.0474158368895211
наивысшая точка;1;1;0.0474158368895211
не путать с;1;1;0.0474158368895211
первое письменное упоминание;1;1;0.0474158368895211
первооткрыватель или изобретатель;1;1;0.0474158368895211
подкласс от;1;1;0.0474158368895211
расположение штаб-квартиры;1;1;0.0474158368895211
соединяется с;1;1;0.0474158368895211
численность населения;1;1;0.0474158368895211
число домов;1;1;0.0474158368895211
число домохозяйств;1;1;0.0474158368895211
эра;1;1;0.0474158368895211
