prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;24;5153;100.0
географические координаты;24;30;100.0
местный телефонный код;24;28;100.0
карта местонахождения;24;25;100.0
FIPS 10-4 (страны и регионы);24;24;100.0
ISO 3166-2;24;24;100.0
административно делится на;24;24;100.0
географический код Туниса;24;24;100.0
государство;24;24;100.0
категория на Викискладе;24;24;100.0
код Freebase;24;24;100.0
код GeoNames;24;24;100.0
общая тема категории;24;24;100.0
основная категория по теме;24;24;100.0
площадь;24;24;100.0
столица;24;24;100.0
численность населения;24;24;100.0
это частный случай понятия;24;24;100.0
Who's on First ID;23;23;95.83333333333334
изображение;20;21;83.33333333333334
является столицей;20;20;83.33333333333334
название на языке оригинала;17;17;70.83333333333334
дата основания/создания/возникновения;11;11;45.83333333333333
категория объединяет темы;8;11;33.33333333333333
место в MusicBrainz;6;6;25.0
используемый язык;5;6;20.833333333333336
происходит из;5;6;20.833333333333336
категория для людей, связанных с местностью;5;5;20.833333333333336
место рождения;4;6;16.666666666666664
категория для людей, родившихся здесь;4;4;16.666666666666664
код в Большой каталанской энциклопедии;4;4;16.666666666666664
код тезауруса PACTOLS;4;4;16.666666666666664
состоит из;4;4;16.666666666666664
место смерти;3;4;12.5
местонахождение;3;4;12.5
официальный сайт;3;3;12.5
код темы Quora;2;2;8.333333333333332
часовой пояс;1;4;4.166666666666666
dmoz;1;1;4.166666666666666
изображение герба;1;1;4.166666666666666
категория для людей, умерших здесь;1;1;4.166666666666666
код BNF;1;1;4.166666666666666
код BabelNet;1;1;4.166666666666666
код US National Archives;1;1;4.166666666666666
код VIAF;1;1;4.166666666666666
код в энциклопедии «Британника онлайн»;1;1;4.166666666666666
официальный язык;1;1;4.166666666666666
почтовый индекс;1;1;4.166666666666666
часть от;1;1;4.166666666666666
