prop_name;prop_count;prop_count_value;prop_counter
государство;172;186;100.0
это частный случай понятия;172;180;100.0
статус наследия;149;814;86.62790697674419
состоит из;140;463;81.3953488372093
критерий Всемирного наследия;113;332;65.69767441860465
географические координаты;111;113;64.53488372093024
административно-территориальная единица;91;112;52.90697674418605
часть от;83;244;48.25581395348838
код в Предварительном списке Всемирного наследия;80;82;46.51162790697674
код Всемирного наследия ЮНЕСКО;69;94;40.116279069767444
площадь;68;110;39.53488372093023
изображение;48;48;27.906976744186046
категория на Викискладе;20;20;11.627906976744185
официальный сайт;16;19;9.30232558139535
дата основания/создания/возникновения;12;12;6.976744186046512
ключевое событие;10;16;5.813953488372093
находится в пределах природно-географического объекта;9;9;5.232558139534884
код Freebase;7;7;4.069767441860465
код VIAF;7;7;4.069767441860465
общая тема категории;6;6;3.488372093023256
основная категория по теме;6;6;3.488372093023256
значимое место;5;5;2.9069767441860463
код GeoNames;5;5;2.9069767441860463
находится в охранной зоне;4;6;2.3255813953488373
Recreation.gov gateway ID;4;4;2.3255813953488373
код BabelNet;4;4;2.3255813953488373
код LCNAF;4;4;2.3255813953488373
оператор;4;4;2.3255813953488373
WDPA;3;3;1.744186046511628
категория защищённых зон МСОП;3;3;1.744186046511628
не путать с;3;3;1.744186046511628
ответственность несёт;2;8;1.1627906976744187
NPS unit ID;2;3;1.1627906976744187
основная тема;2;3;1.1627906976744187
National Park Foundation ID;2;2;1.1627906976744187
OhRanger.com ID;2;2;1.1627906976744187
PEPC park ID;2;2;1.1627906976744187
баннер Викигида;2;2;1.1627906976744187
карта местонахождения;2;2;1.1627906976744187
код для сущности Wolfram Language;2;2;1.1627906976744187
учётная запись Facebook;2;2;1.1627906976744187
часть света;2;2;1.1627906976744187
место смерти;1;2;0.5813953488372093
юрисдикция распространяется на;1;2;0.5813953488372093
Handbook of Texas ID;1;1;0.5813953488372093
ID отношения в OpenStreetMap;1;1;0.5813953488372093
IDA place ID;1;1;0.5813953488372093
NPCA ID;1;1;0.5813953488372093
National Forest Foundation ID;1;1;0.5813953488372093
National Wildlife Refuge Trails ID;1;1;0.5813953488372093
Open Library subject ID;1;1;0.5813953488372093
PLIA ID;1;1;0.5813953488372093
WorldCat Identities ID;1;1;0.5813953488372093
iPatrimônio ID;1;1;0.5813953488372093
Новая романизация корейского языка;1;1;0.5813953488372093
архитектор;1;1;0.5813953488372093
галерея на Викискладе;1;1;0.5813953488372093
код Australian Wetlands Database Australian Ramsar;1;1;0.5813953488372093
код GNIS;1;1;0.5813953488372093
код NLI;1;1;0.5813953488372093
код Ramsar Sites Information Service;1;1;0.5813953488372093
код SUDOC;1;1;0.5813953488372093
код в Большой российской энциклопедии онлайн;1;1;0.5813953488372093
код в энциклопедии «Британника онлайн»;1;1;0.5813953488372093
код места в Instagram;1;1;0.5813953488372093
местонахождение;1;1;0.5813953488372093
название на языке оригинала;1;1;0.5813953488372093
названо в честь;1;1;0.5813953488372093
номер в списке Английского наследия;1;1;0.5813953488372093
описан на сайте;1;1;0.5813953488372093
расположение штаб-квартиры;1;1;0.5813953488372093
романизация Маккьюна — Райшауэра;1;1;0.5813953488372093
состоит из представителей класса;1;1;0.5813953488372093
учётная запись в Твиттере;1;1;0.5813953488372093
