prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;15;25;100.0
государство;11;12;73.33333333333333
географические координаты;7;8;46.666666666666664
код GeoNames;7;8;46.666666666666664
высота над уровнем моря;7;7;46.666666666666664
административно-территориальная единица;6;15;40.0
состоит из;4;4;26.666666666666668
часть от;4;4;26.666666666666668
изображение;3;3;20.0
код Freebase;3;3;20.0
код GNS;3;3;20.0
площадь;2;5;13.333333333333334
категория на Викискладе;2;2;13.333333333333334
находится в пределах природно-географического объекта;2;2;13.333333333333334
Naturvårdsregistret ID;1;1;6.666666666666667
WDPA;1;1;6.666666666666667
баннер Викигида;1;1;6.666666666666667
галерея на Викискладе;1;1;6.666666666666667
дата основания/создания/возникновения;1;1;6.666666666666667
значимое место;1;1;6.666666666666667
категория защищённых зон МСОП;1;1;6.666666666666667
код VIAF;1;1;6.666666666666667
код места в Instagram;1;1;6.666666666666667
названо в честь;1;1;6.666666666666667
наивысшая точка;1;1;6.666666666666667
общая тема категории;1;1;6.666666666666667
оператор;1;1;6.666666666666667
основная категория по теме;1;1;6.666666666666667
официальный сайт;1;1;6.666666666666667
проходит над/под;1;1;6.666666666666667
учётная запись в Instagram;1;1;6.666666666666667
