prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;604;633;100.0
государство;602;602;99.66887417218543
статус наследия;595;604;98.50993377483444
административно-территориальная единица;589;594;97.51655629139073
географические координаты;533;533;88.24503311258279
номер в списке Английского наследия;438;439;72.51655629139073
указания, как добраться;109;109;18.046357615894042
код местного культурного наследия Валенсии;78;78;12.91390728476821
изображение;27;28;4.470198675496689
адрес;26;26;4.304635761589404
географический код Великобритании;19;19;3.145695364238411
категория на Викискладе;17;17;2.814569536423841
сделано из;8;10;1.3245033112582782
код Mérimée;8;8;1.3245033112582782
местонахождение;7;7;1.1589403973509933
код Inventari del Patrimoni Arquitectònic de Catalunya;3;3;0.49668874172185434
код в регистре Национального наследия Ирана;3;3;0.49668874172185434
код Historic Scotland;2;8;0.33112582781456956
код Canmore;2;4;0.33112582781456956
код «Вики любит памятники»;2;3;0.33112582781456956
идентификатор Historic Places;2;2;0.33112582781456956
код федерального здания-памятника Канады;2;2;0.33112582781456956
архитектурный стиль;1;1;0.16556291390728478
владельцем является;1;1;0.16556291390728478
дата основания/создания/возникновения;1;1;0.16556291390728478
идентификатор Bien de Interés Cultural;1;1;0.16556291390728478
код Freebase;1;1;0.16556291390728478
код Glad;1;1;0.16556291390728478
код NRHP;1;1;0.16556291390728478
находится в охранной зоне;1;1;0.16556291390728478
находится в пределах природно-географического объекта;1;1;0.16556291390728478
объём;1;1;0.16556291390728478
почтовый индекс;1;1;0.16556291390728478
расположен на улице;1;1;0.16556291390728478
часть от;1;1;0.16556291390728478
