prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;22;24;100.0
географические координаты;22;23;100.0
государство;21;21;95.45454545454545
административно-территориальная единица;16;16;72.72727272727273
код GeoNames;15;15;68.18181818181817
код GNIS;10;10;45.45454545454545
изображение;4;4;18.181818181818183
категория на Викискладе;3;3;13.636363636363635
код VIAF;3;3;13.636363636363635
VOGRIPA ID;2;2;9.090909090909092
длина;2;2;9.090909090909092
код GND;2;2;9.090909090909092
код GNS;2;2;9.090909090909092
код вулкана в Smithsonian;2;2;9.090909090909092
находится в пределах природно-географического объекта;1;2;4.545454545454546
вулканическая обсерватория;1;1;4.545454545454546
галерея на Викискладе;1;1;4.545454545454546
десятичная классификация Дьюи;1;1;4.545454545454546
изображённый объект;1;1;4.545454545454546
карта местонахождения;1;1;4.545454545454546
код Freebase;1;1;4.545454545454546
код Gazetteer of Planetary Nomenclature;1;1;4.545454545454546
место рождения;1;1;4.545454545454546
на астрономическом теле;1;1;4.545454545454546
названо в честь;1;1;4.545454545454546
наивысшая точка;1;1;4.545454545454546
общая тема категории;1;1;4.545454545454546
основная категория по теме;1;1;4.545454545454546
часть от;1;1;4.545454545454546
