prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;21163;21515;100.0
государство;20586;20939;97.27354344847139
географические координаты;20242;20518;95.64806501913718
код GeoNames;16625;16652;78.55691537116665
административно-территориальная единица;11103;12078;52.464206397958705
код GNS;9994;9995;47.22392855455276
высота над уровнем моря;4552;4590;21.50923782072485
горный хребет;3042;3152;14.374143552426405
изображение;1655;1696;7.820252327174786
категория на Викискладе;1020;1020;4.819732552095639
код Freebase;317;317;1.4978972735434484
код в Большой каталанской энциклопедии;248;260;1.1718565420781553
часть света;243;243;1.148230402116902
несёт на себе;242;262;1.1435051741246516
SCAR Composite Gazetteer place ID;222;222;1.049000614279639
код VIAF;219;220;1.0348249303028871
описывается в источниках;195;369;0.9214194584888721
часть от;179;196;0.845815810612862
код GNIS;160;160;0.7560364787601002
код BabelNet;144;144;0.6804328308840901
находится в охранной зоне;139;151;0.656806690922837
антарктический код GNIS;137;137;0.6473562349383357
находится в пределах природно-географического объекта;118;142;0.5575769030855738
местонахождение;101;133;0.4772480272173132
Bivouac.com pass ID;90;90;0.4252705193025563
официальное название;83;84;0.3921939233568019
названо в честь;70;80;0.3307659594575438
идентификатор HDS;67;67;0.316590275480792
состоит из;57;71;0.2693379955582857
длина;57;57;0.2693379955582857
код в энциклопедии «Британника онлайн»;54;54;0.2551623115815338
вид спорта;47;48;0.22208571563577945
код LCNAF;47;47;0.22208571563577945
Peakbagger key col ID;46;46;0.2173604876435288
код GND;45;45;0.21263525965127816
Bulgarian Antarctic Gazetteer ID;44;44;0.20791003165902758
галерея на Викискладе;43;43;0.20318480366677694
пункт назначения;40;70;0.18900911969002504
код топонима в Канаде;40;40;0.18900911969002504
сделано из;38;46;0.17955866370552379
общая тема категории;38;38;0.17955866370552379
основная категория по теме;38;38;0.17955866370552379
место смерти;36;50;0.17010820772102253
Norwegian Polar Institute place name ID;35;35;0.1653829797287719
исток водотока;34;35;0.16065775173652128
произношение (звуковой файл);33;33;0.15593252374427066
основная тема;31;46;0.1464820677597694
код Цифрового атласа Римской империи;31;34;0.1464820677597694
статус наследия;30;42;0.1417568397675188
код TGN;30;30;0.1417568397675188
не путать с;28;30;0.1323063837830175
проходит над/под;24;28;0.11340547181401502
Who's on First ID;24;24;0.11340547181401502
часовой пояс;22;30;0.10395501582951379
изображённый объект;17;108;0.08032887586826064
написание каной;13;15;0.06142796389925814
код Pleiades;13;13;0.06142796389925814
расположение конечной точки;12;13;0.05670273590700751
Gazetteer for Scotland place ID;10;20;0.04725227992250626
код NKC;10;10;0.04725227992250626
на территорию претендует;10;10;0.04725227992250626
изображение дорожного знака с названием населённого пункта;9;10;0.04252705193025563
код в Большой российской энциклопедии онлайн;9;9;0.04252705193025563
идентификатор объекта в картах Google;8;8;0.03780182393800501
карта местонахождения;8;8;0.03780182393800501
код BNF;8;8;0.03780182393800501
код темы Quora;8;8;0.03780182393800501
название на языке оригинала;8;8;0.03780182393800501
площадь;7;10;0.03307659594575438
имеет границы с;7;7;0.03307659594575438
наивысшая точка;7;7;0.03307659594575438
официальный сайт;7;7;0.03307659594575438
почтовый индекс;7;7;0.03307659594575438
место рождения;6;13;0.028351367953503754
Australian Antarctic Gazetteer ID;6;6;0.028351367953503754
идентификатор местоположения ArchINFORM;6;6;0.028351367953503754
код NRHP;6;6;0.028351367953503754
конечная;6;6;0.028351367953503754
уникальный код CGNDB;5;8;0.02362613996125313
баннер Викигида;5;5;0.02362613996125313
дата основания/создания/возникновения;5;5;0.02362613996125313
код в Encyclopædia Universalis;5;5;0.02362613996125313
панорамное сферическое изображение;5;5;0.02362613996125313
число домов;4;44;0.018900911969002506
история происходит в месте;4;5;0.018900911969002506
код в Энциклопедии современной Украины;4;4;0.018900911969002506
местный телефонный код;4;4;0.018900911969002506
средний уклон;3;6;0.014175683976751877
место съёмок;3;4;0.014175683976751877
LIR;3;3;0.014175683976751877
Vision of Britain place ID;3;3;0.014175683976751877
идентификатор KGS;3;3;0.014175683976751877
каталожный код;3;3;0.014175683976751877
категория карт на Викискладе;3;3;0.014175683976751877
категория объединяет темы;3;3;0.014175683976751877
код SummitPost;3;3;0.014175683976751877
код TripAdvisor;3;3;0.014175683976751877
код Всемирного наследия ЮНЕСКО;3;3;0.014175683976751877
код в Google Knowledge Graph;3;3;0.014175683976751877
код места в Foursquare;3;3;0.014175683976751877
находится на берегу водоёма;3;3;0.014175683976751877
пример использования свойства;3;3;0.014175683976751877
смежное здание;3;3;0.014175683976751877
числовой код SSR для названия;3;3;0.014175683976751877
численность населения;2;45;0.009450455984501253
Common Database on Designated Areas ID;2;2;0.009450455984501253
Heritage Gazetteer of Libya ID;2;2;0.009450455984501253
