prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;571;70762;100.0
численность населения;571;33830;100.0
имеет границы с;571;5037;100.0
это частный случай понятия;571;1843;100.0
государство;571;664;100.0
изображение;571;581;100.0
ID отношения в OpenStreetMap;571;572;100.0
административно делится на;571;571;100.0
географические координаты;571;571;100.0
категория на Викискладе;571;571;100.0
код NKC;570;581;99.82486865148861
общая тема категории;570;580;99.82486865148861
основная категория по теме;570;572;99.82486865148861
код Freebase;570;570;99.82486865148861
высота над уровнем моря;569;571;99.64973730297724
площадь;569;569;99.64973730297724
Who's on First ID;568;568;99.47460595446584
официальный сайт;567;575;99.29947460595446
электронная почта;567;569;99.29947460595446
Czech Registration ID;567;567;99.29947460595446
LAU;567;567;99.29947460595446
изображение герба;565;568;98.9492119089317
код GeoNames;564;564;98.77408056042032
расположение штаб-квартиры;562;12212;98.42381786339755
исторический регион;562;580;98.42381786339755
место рождения;561;16349;98.24868651488616
почтовый индекс;559;562;97.8984238178634
первое письменное упоминание;549;609;96.14711033274956
код автомобильного номера;512;512;89.66725043782837
изображение флага;502;506;87.91593695271453
категория объединяет темы;466;1624;81.61120840630473
материнская компания (организация, учреждение);465;1800;81.43607705779334
место смерти;452;5106;79.15936952714536
список памятников;450;460;78.80910683012259
код VIAF;399;405;69.87740805604203
категория для людей, родившихся здесь;350;350;61.29597197898424
код GND;281;282;49.21190893169877
категория для людей, умерших здесь;273;273;47.8108581436077
названо в честь;266;1363;46.58493870402802
основная тема;237;427;41.5061295971979
город-побратим;184;454;32.22416812609457
описывается в источниках;184;325;32.22416812609457
категория для людей, связанных с местностью;184;184;32.22416812609457
код LCNAF;184;184;32.22416812609457
идентификатор местоположения ArchINFORM;174;174;30.472854640980735
местонахождение;161;640;28.19614711033275
карта местонахождения;160;160;28.021015761821367
глава правительства;141;387;24.69352014010508
место жительства;138;278;24.168126094570926
использует;133;133;23.29246935201401
находится на берегу водоёма;130;159;22.76707530647986
включает населённый пункт;127;287;22.241681260945708
место погребения;119;360;20.84063047285464
WOEID;115;115;20.140105078809107
категория карт на Викискладе;113;113;19.78984238178634
галерея на Викискладе;106;106;18.563922942206652
код Bildkatalog;100;100;17.513134851138354
код чешского района;95;95;16.637478108581437
дочерние компании (организации, учреждения);84;210;14.711033274956216
категория для людей, похороненных здесь;80;80;14.010507880910684
официальное название;79;95;13.835376532399298
место активности;70;193;12.259194395796849
код темы Quora;61;62;10.683012259194395
код LEI;58;58;10.157618213660244
расположение конечной точки;52;63;9.106830122591944
столица;49;67;8.581436077057793
