prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;549;644;100.0
географические координаты;546;622;99.4535519125683
административно-территориальная единица;537;538;97.81420765027322
код GeoNames;501;501;91.2568306010929
государство;316;316;57.5591985428051
SCAR Composite Gazetteer place ID;232;232;42.25865209471767
часть света;230;230;41.8943533697632
код GNS;214;214;38.97996357012751
антарктический код GNIS;165;165;30.05464480874317
горный хребет;109;145;19.854280510018217
высота над уровнем моря;86;87;15.664845173041893
Norwegian Polar Institute place name ID;69;69;12.568306010928962
Bulgarian Antarctic Gazetteer ID;50;50;9.107468123861565
Australian Antarctic Gazetteer ID;18;18;3.278688524590164
названо в честь;13;14;2.3679417122040074
изображение;12;13;2.185792349726776
код VIAF;7;7;1.2750455373406193
длина;5;5;0.9107468123861567
ширина;5;5;0.9107468123861567
код Freebase;4;4;0.7285974499089253
часть от;4;4;0.7285974499089253
категория на Викискладе;3;3;0.546448087431694
код TGN;3;3;0.546448087431694
код BabelNet;2;2;0.36429872495446264
не путать с;2;2;0.36429872495446264
общая тема категории;2;2;0.36429872495446264
основная категория по теме;2;2;0.36429872495446264
New Zealand Gazetteer place ID;1;1;0.18214936247723132
код LCNAF;1;1;0.18214936247723132
код Peakbagger;1;1;0.18214936247723132
код в Большой каталанской энциклопедии;1;1;0.18214936247723132
на территорию претендует;1;1;0.18214936247723132
наивысшая точка;1;1;0.18214936247723132
находится в пределах природно-географического объекта;1;1;0.18214936247723132
пример использования свойства;1;1;0.18214936247723132
