prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;517;749;100.0
государство;516;537;99.80657640232108
административно-территориальная единица;494;3262;95.55125725338492
географические координаты;454;458;87.81431334622823
изображение;367;390;70.98646034816247
статус наследия;361;1397;69.82591876208897
категория на Викискладе;260;261;50.29013539651837
площадь;145;208;28.04642166344294
часть от;133;542;25.72533849129594
код Всемирного наследия ЮНЕСКО;118;137;22.823984526112184
критерий Всемирного наследия;109;261;21.08317214700193
местонахождение;99;1018;19.148936170212767
состоит из;96;286;18.568665377176018
основная категория по теме;85;85;16.44100580270793
общая тема категории;84;84;16.247582205029012
код «Вики любит памятники»;75;81;14.506769825918761
код Inventari del Patrimoni Arquitectònic de Catalunya;72;72;13.926499032882012
высота над уровнем моря;60;60;11.60541586073501
часовой пояс;55;104;10.638297872340425
код SIPA;49;49;9.477756286266924
карта местонахождения;47;50;9.090909090909092
код Freebase;45;45;8.704061895551257
идентификатор Bien de Interés Cultural;44;44;8.51063829787234
код VIAF;43;43;8.317214700193423
код GeoNames;40;40;7.7369439071566735
административно делится на;38;38;7.35009671179884
архитектурный стиль;37;54;7.156673114119923
почтовый индекс;35;42;6.769825918762089
идентификатор местоположения ArchINFORM;35;35;6.769825918762089
Who's on First ID;32;32;6.189555125725339
код в Предварительном списке Всемирного наследия;31;31;5.996131528046422
код каталанского объекта культурного интереса;29;29;5.609284332688588
адрес;28;32;5.415860735009671
ID отношения в OpenStreetMap;28;28;5.415860735009671
местный телефонный код;26;26;5.029013539651837
код LCNAF;25;33;4.835589941972921
код DGPC;22;22;4.25531914893617
место рождения;19;156;3.67504835589942
идентификатор Historic Places;18;19;3.481624758220503
баннер Викигида;17;17;3.2882011605415857
дата основания/создания/возникновения;17;17;3.2882011605415857
идентификатор Répertoire du patrimoine culturel du Québec;17;17;3.2882011605415857
код в Большой каталанской энциклопедии;16;16;3.0947775628626695
численность населения;15;296;2.9013539651837523
находится на берегу водоёма;15;17;2.9013539651837523
галерея на Викискладе;15;15;2.9013539651837523
расположение штаб-квартиры;14;32;2.7079303675048356
находится в пределах природно-географического объекта;14;17;2.7079303675048356
имеет границы с;13;44;2.5145067698259185
ключевое событие;13;19;2.5145067698259185
официальный сайт;13;13;2.5145067698259185
код NRHP;11;19;2.127659574468085
iPatrimônio ID;11;11;2.127659574468085
код GND;11;11;2.127659574468085
изображение герба;10;10;1.9342359767891684
место жительства;9;35;1.7408123791102514
категория объединяет темы;9;15;1.7408123791102514
официальное название;9;13;1.7408123791102514
названо в честь;8;9;1.5473887814313347
ID of Inventory of the Archaeological and Paleontological Heritage of Catalonia;8;8;1.5473887814313347
код темы Quora;8;8;1.5473887814313347
место смерти;7;63;1.3539651837524178
не путать с;7;8;1.3539651837524178
категория карт на Викискладе;7;7;1.3539651837524178
список памятников;6;7;1.160541586073501
NWBib ID;6;6;1.160541586073501
изображённый объект;6;6;1.160541586073501
код в энциклопедии «Британника онлайн»;6;6;1.160541586073501
код топонима в Квебеке;6;6;1.160541586073501
юрисдикция распространяется на;5;14;0.9671179883945842
название на языке оригинала;5;6;0.9671179883945842
AtlasFor ID;5;5;0.9671179883945842
IPHAN ID;5;5;0.9671179883945842
включает населённый пункт;5;5;0.9671179883945842
код культурного наследия Баварии;5;5;0.9671179883945842
является столицей;5;5;0.9671179883945842
столица;4;7;0.7736943907156674
INSPIRE ID;4;4;0.7736943907156674
Polish cultural heritage register number;4;4;0.7736943907156674
идентификатор KGS;4;4;0.7736943907156674
код BNF;4;4;0.7736943907156674
код GNIS;4;4;0.7736943907156674
код NLI;4;4;0.7736943907156674
код Национальной исторической достопримечательности Канады;4;4;0.7736943907156674
код историко-культурной ценности Белоруссии;4;4;0.7736943907156674
указания, как добраться;4;4;0.7736943907156674
число домохозяйств;3;18;0.5802707930367506
город-побратим;3;11;0.5802707930367506
находится в охранной зоне;3;9;0.5802707930367506
основная тема;3;4;0.5802707930367506
IDESCAT territorial code in Catalonia;3;3;0.5802707930367506
Moroccan cultural heritage ID;3;3;0.5802707930367506
official number of town quarter;3;3;0.5802707930367506
входит в состав списка памятников культурного наследия;3;3;0.5802707930367506
глава правительства;3;3;0.5802707930367506
должность главы правительства;3;3;0.5802707930367506
история происходит в месте;3;3;0.5802707930367506
код BabelNet;3;3;0.5802707930367506
код автомобильного номера;3;3;0.5802707930367506
код местного культурного наследия Валенсии;3;3;0.5802707930367506
муниципальный код INE;3;3;0.5802707930367506
описание герба;3;3;0.5802707930367506
conscription number;2;4;0.3868471953578337
описан на сайте;2;3;0.3868471953578337
INE ID (Portugal);2;2;0.3868471953578337
RKY national built heritage environment ID;2;2;0.3868471953578337
WOEID;2;2;0.3868471953578337
геоданные;2;2;0.3868471953578337
идентификатор Alberta Register of Historic Places;2;2;0.3868471953578337
идентификатор Чешского культурного наследия;2;2;0.3868471953578337
изображение флага;2;2;0.3868471953578337
код YSO;2;2;0.3868471953578337
место активности;2;2;0.3868471953578337
место в MusicBrainz;2;2;0.3868471953578337
место обнаружения;2;2;0.3868471953578337
описывается в источниках;2;2;0.3868471953578337
подкласс от;2;2;0.3868471953578337
подробная карта;2;2;0.3868471953578337
порядковый номер;2;2;0.3868471953578337
произношение (звуковой файл);2;2;0.3868471953578337
проходит над/под;2;2;0.3868471953578337
учётная запись Facebook;2;2;0.3868471953578337
частично совпадает с;2;2;0.3868471953578337
этнохороним;2;2;0.3868471953578337
код места в Instagram;1;3;0.19342359767891684
уникальный код CGNDB;1;3;0.19342359767891684
обслуживаемый город;1;2;0.19342359767891684
страница веб-камеры;1;2;0.19342359767891684
Cultural heritage database in Austria ObjektID;1;1;0.19342359767891684
Czech Monument Catalogue Number;1;1;0.19342359767891684
French Vikidia ID;1;1;0.19342359767891684
Google News topics ID;1;1;0.19342359767891684
HPIP ID;1;1;0.19342359767891684
Heritage Conservation District of Ontario ID;1;1;0.19342359767891684
Lokalhistoriewiki.no ID;1;1;0.19342359767891684
Michelin Voyages ID;1;1;0.19342359767891684
Open Library subject ID;1;1;0.19342359767891684
RegiowikiAT ID;1;1;0.19342359767891684
TOID;1;1;0.19342359767891684
Uppslagsverket Finland ID;1;1;0.19342359767891684
dmoz;1;1;0.19342359767891684
вид в ночное время;1;1;0.19342359767891684
десятичная классификация Дьюи;1;1;0.19342359767891684
железнодорожная линия;1;1;0.19342359767891684
заменил;1;1;0.19342359767891684
заменён на;1;1;0.19342359767891684
значение в OmegaWiki;1;1;0.19342359767891684
идентификатор Dizionario di Storia;1;1;0.19342359767891684
идентификатор объекта в картах Google;1;1;0.19342359767891684
имеет границей;1;1;0.19342359767891684
история темы;1;1;0.19342359767891684
категория для людей, родившихся здесь;1;1;0.19342359767891684
категория для людей, связанных с местностью;1;1;0.19342359767891684
категория для людей, умерших здесь;1;1;0.19342359767891684
кем названо;1;1;0.19342359767891684
код B2Q;1;1;0.19342359767891684
код FAST;1;1;0.19342359767891684
код ISNI;1;1;0.19342359767891684
код Patrimonio Web JCyL;1;1;0.19342359767891684
код TGN;1;1;0.19342359767891684
код TripAdvisor;1;1;0.19342359767891684
код Цифрового атласа Римской империи;1;1;0.19342359767891684
код в Encyclopædia Universalis;1;1;0.19342359767891684
код в Большой норвежской энциклопедии;1;1;0.19342359767891684
код в Большой российской энциклопедии онлайн;1;1;0.19342359767891684
код в Спортивной каталанской энциклопедии;1;1;0.19342359767891684
код для сущности Wolfram Language;1;1;0.19342359767891684
код исторического места Новой Шотландии;1;1;0.19342359767891684
код места в Facebook;1;1;0.19342359767891684
код места в Foursquare;1;1;0.19342359767891684
код тезауруса PACTOLS;1;1;0.19342359767891684
место публикации;1;1;0.19342359767891684
место создания;1;1;0.19342359767891684
