prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;14;718;100.0
место рождения;14;483;100.0
FIPS 10-4 (страны и регионы);14;14;100.0
ISO 3166-2;14;14;100.0
Who's on First ID;14;14;100.0
административно делится на;14;14;100.0
географические координаты;14;14;100.0
государство;14;14;100.0
карта местонахождения;14;14;100.0
код Freebase;14;14;100.0
код GeoNames;14;14;100.0
код TGN;14;14;100.0
место в MusicBrainz;14;14;100.0
общая тема категории;14;14;100.0
основная категория по теме;14;14;100.0
площадь;14;14;100.0
столица;14;14;100.0
это частный случай понятия;14;14;100.0
ID отношения в OpenStreetMap;13;13;92.85714285714286
является столицей;13;13;92.85714285714286
категория на Викискладе;11;11;78.57142857142857
код в Большой каталанской энциклопедии;9;9;64.28571428571429
место смерти;8;12;57.14285714285714
категория объединяет темы;7;9;50.0
категория для людей, родившихся здесь;7;7;50.0
имеет границы с;5;8;35.714285714285715
местонахождение;4;4;28.57142857142857
изображение;2;2;14.285714285714285
место жительства;2;2;14.285714285714285
Uppsala University Alvin ID;1;1;7.142857142857142
баннер Викигида;1;1;7.142857142857142
город-побратим;1;1;7.142857142857142
используемый язык;1;1;7.142857142857142
категория для людей, связанных с местностью;1;1;7.142857142857142
категория для людей, умерших здесь;1;1;7.142857142857142
код BNF;1;1;7.142857142857142
место активности;1;1;7.142857142857142
место погребения;1;1;7.142857142857142
место создания;1;1;7.142857142857142
официальный сайт;1;1;7.142857142857142
происходит из;1;1;7.142857142857142
расположение штаб-квартиры;1;1;7.142857142857142
