prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;51;80;100.0
государство;51;51;100.0
административно-территориальная единица;44;169;86.27450980392157
географические координаты;42;42;82.35294117647058
изображение;30;30;58.82352941176471
категория на Викискладе;25;25;49.01960784313725
Who's on First ID;17;17;33.33333333333333
дата основания/создания/возникновения;14;14;27.450980392156865
код GeoNames;13;13;25.49019607843137
код Freebase;12;12;23.52941176470588
официальный сайт;12;12;23.52941176470588
почтовый индекс;11;15;21.568627450980394
общая тема категории;10;10;19.607843137254903
основная категория по теме;10;10;19.607843137254903
площадь;10;10;19.607843137254903
местонахождение;9;20;17.647058823529413
часовой пояс;9;12;17.647058823529413
место смерти;8;39;15.686274509803921
статус наследия;8;18;15.686274509803921
высота над уровнем моря;8;9;15.686274509803921
код GNIS;7;7;13.725490196078432
код LCNAF;7;7;13.725490196078432
код VIAF;7;7;13.725490196078432
код в энциклопедии «Британника онлайн»;7;7;13.725490196078432
код темы Quora;7;7;13.725490196078432
расположение штаб-квартиры;6;115;11.76470588235294
место рождения;6;52;11.76470588235294
численность населения;6;10;11.76470588235294
карта местонахождения;5;5;9.803921568627452
категория объединяет темы;4;5;7.8431372549019605
идентификатор местоположения ArchINFORM;4;4;7.8431372549019605
место в MusicBrainz;4;4;7.8431372549019605
место жительства;3;7;5.88235294117647
FIPS 55-3 (места в США);3;3;5.88235294117647
archINFORM project ID;3;3;5.88235294117647
баннер Викигида;3;3;5.88235294117647
категория для людей, связанных с местностью;3;3;5.88235294117647
код GND;3;3;5.88235294117647
код NRHP;3;3;5.88235294117647
состоит из;3;3;5.88235294117647
часть от;3;3;5.88235294117647
административно делится на;2;8;3.9215686274509802
место публикации;2;6;3.9215686274509802
имеет границы с;2;4;3.9215686274509802
местный телефонный код;2;3;3.9215686274509802
место создания;2;3;3.9215686274509802
ID отношения в OpenStreetMap;2;2;3.9215686274509802
WOEID;2;2;3.9215686274509802
dmoz;2;2;3.9215686274509802
архитектор;2;2;3.9215686274509802
выдающееся произведение;2;2;3.9215686274509802
галерея на Викискладе;2;2;3.9215686274509802
идентификатор Historic Places;2;2;3.9215686274509802
код BabelNet;2;2;3.9215686274509802
код NKC;2;2;3.9215686274509802
код Национальной исторической достопримечательности Канады;2;2;3.9215686274509802
код тезауруса PACTOLS;2;2;3.9215686274509802
лицензия на вещание в;2;2;3.9215686274509802
названо в честь;2;2;3.9215686274509802
столица;2;2;3.9215686274509802
является столицей;2;2;3.9215686274509802
город-побратим;1;2;1.9607843137254901
юрисдикция распространяется на;1;2;1.9607843137254901
Atlas Obscura identifier;1;1;1.9607843137254901
Encyclopedia Virginia ID;1;1;1.9607843137254901
French Vikidia ID;1;1;1.9607843137254901
French public service directory ID;1;1;1.9607843137254901
Microsoft Academic ID;1;1;1.9607843137254901
PSS;1;1;1.9607843137254901
Новая романизация корейского языка;1;1;1.9607843137254901
адрес (УСТАРЕЛО);1;1;1.9607843137254901
архитектурный стиль;1;1;1.9607843137254901
владельцем является;1;1;1.9607843137254901
дата официального открытия;1;1;1.9607843137254901
десятичная классификация Дьюи;1;1;1.9607843137254901
должность главы правительства;1;1;1.9607843137254901
идентификатор KGS;1;1;1.9607843137254901
изображение герба;1;1;1.9607843137254901
карта ареала вида;1;1;1.9607843137254901
категория для людей, родившихся здесь;1;1;1.9607843137254901
категория для людей, умерших здесь;1;1;1.9607843137254901
ключевое событие;1;1;1.9607843137254901
код BNF;1;1;1.9607843137254901
код Chemins de mémoire;1;1;1.9607843137254901
код GAMEO;1;1;1.9607843137254901
код ISNI;1;1;1.9607843137254901
код US National Archives;1;1;1.9607843137254901
код в Encyclopædia Universalis;1;1;1.9607843137254901
код культурного наследия Берлина;1;1;1.9607843137254901
код муниципалитета INSEE;1;1;1.9607843137254901
место активности;1;1;1.9607843137254901
находится в пределах природно-географического объекта;1;1;1.9607843137254901
не путать с;1;1;1.9607843137254901
номер SIREN;1;1;1.9607843137254901
основатель;1;1;1.9607843137254901
основная тема;1;1;1.9607843137254901
основные направления;1;1;1.9607843137254901
официальное название;1;1;1.9607843137254901
подробная карта;1;1;1.9607843137254901
полученные награды;1;1;1.9607843137254901
предположительно одно и то же с;1;1;1.9607843137254901
разработчик;1;1;1.9607843137254901
расположение конечной точки;1;1;1.9607843137254901
романизация Маккьюна — Райшауэра;1;1;1.9607843137254901
список памятников;1;1;1.9607843137254901
часть света;1;1;1.9607843137254901
