prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;434;3211;100.0
административно-территориальная единица;432;550;99.53917050691244
государство;432;432;99.53917050691244
географические координаты;408;409;94.00921658986175
код GeoNames;325;325;74.88479262672811
Who's on First ID;305;305;70.27649769585254
включает населённый пункт;236;236;54.377880184331794
столица;220;235;50.69124423963134
является столицей;220;232;50.69124423963134
код VIAF;90;90;20.737327188940093
почтовый индекс;83;83;19.12442396313364
изображение;72;75;16.589861751152075
высота над уровнем моря;61;61;14.055299539170507
категория на Викискладе;59;59;13.594470046082948
код в Большой арагонской энциклопедии;52;52;11.981566820276496
местонахождение;40;60;9.216589861751153
код в Большой каталанской энциклопедии;31;32;7.142857142857142
муниципальный код INE;31;31;7.142857142857142
место рождения;26;37;5.990783410138248
находится в пределах природно-географического объекта;22;22;5.0691244239631335
код TGN;18;18;4.147465437788019
код LCNAF;13;13;2.995391705069124
место смерти;10;13;2.3041474654377883
изображение герба;10;10;2.3041474654377883
состоит из;10;10;2.3041474654377883
часть от;9;9;2.0737327188940093
код GNS;7;7;1.6129032258064515
названо в честь;6;7;1.3824884792626728
официальное название;6;7;1.3824884792626728
численность населения;6;7;1.3824884792626728
карта местонахождения;6;6;1.3824884792626728
код Freebase;6;6;1.3824884792626728
находится на берегу водоёма;6;6;1.3824884792626728
общая тема категории;6;6;1.3824884792626728
основная категория по теме;6;6;1.3824884792626728
статус наследия;6;6;1.3824884792626728
административно делится на;5;5;1.1520737327188941
не путать с;4;6;0.9216589861751152
название на языке оригинала;4;4;0.9216589861751152
официальный сайт;3;5;0.6912442396313364
категория объединяет темы;3;4;0.6912442396313364
PARES ID;3;3;0.6912442396313364
WOEID;3;3;0.6912442396313364
изображение дорожного знака с названием населённого пункта;3;3;0.6912442396313364
изображение флага;3;3;0.6912442396313364
имеет границы с;2;7;0.4608294930875576
ID отношения в OpenStreetMap;2;2;0.4608294930875576
WorldCat Identities ID;2;2;0.4608294930875576
дата основания/создания/возникновения;2;2;0.4608294930875576
заменил;2;2;0.4608294930875576
заменён на;2;2;0.4608294930875576
категория для людей, родившихся здесь;2;2;0.4608294930875576
код Inventari del Patrimoni Arquitectònic de Catalunya;2;2;0.4608294930875576
площадь;2;2;0.4608294930875576
предположительно одно и то же с;2;2;0.4608294930875576
хранится в коллекции;2;2;0.4608294930875576
подкласс от;1;6;0.2304147465437788
расположение штаб-квартиры;1;2;0.2304147465437788
DOCOMOMO Ibérico ID;1;1;0.2304147465437788
Great Encyclopedia of Navarre ID;1;1;0.2304147465437788
архитектурный стиль;1;1;0.2304147465437788
глава правительства;1;1;0.2304147465437788
дата окончания;1;1;0.2304147465437788
должность главы правительства;1;1;0.2304147465437788
епархия;1;1;0.2304147465437788
категория для людей, связанных с местностью;1;1;0.2304147465437788
категория содержит;1;1;0.2304147465437788
код BNE;1;1;0.2304147465437788
начало пути;1;1;0.2304147465437788
основная тема;1;1;0.2304147465437788
официальный язык;1;1;0.2304147465437788
план помещения;1;1;0.2304147465437788
позиционная карта;1;1;0.2304147465437788
причиной является;1;1;0.2304147465437788
противоположно;1;1;0.2304147465437788
пункт назначения;1;1;0.2304147465437788
святой покровитель;1;1;0.2304147465437788
часовой пояс;1;1;0.2304147465437788
этнохороним;1;1;0.2304147465437788
