prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;14;1647;100.0
используемый язык;14;112;100.0
происходит из;14;109;100.0
имеет границы с;14;53;100.0
численность населения;14;28;100.0
FIPS 10-4 (страны и регионы);14;14;100.0
ISO 3166-2;14;14;100.0
Who's on First ID;14;14;100.0
высота над уровнем моря;14;14;100.0
географические координаты;14;14;100.0
государство;14;14;100.0
код Freebase;14;14;100.0
код GeoNames;14;14;100.0
код в Большой каталанской энциклопедии;14;14;100.0
общая тема категории;14;14;100.0
основная категория по теме;14;14;100.0
площадь;14;14;100.0
столица;14;14;100.0
это частный случай понятия;14;14;100.0
является столицей;14;14;100.0
карта местонахождения;13;16;92.85714285714286
код TGN;13;13;92.85714285714286
административно делится на;12;12;85.71428571428571
место рождения;4;5;28.57142857142857
названо в честь;4;5;28.57142857142857
ID отношения в OpenStreetMap;2;2;14.285714285714285
место смерти;2;2;14.285714285714285
код BabelNet;1;1;7.142857142857142
