prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;260;507;100.0
государство;235;254;90.38461538461539
административно-территориальная единица;179;184;68.84615384615384
географические координаты;134;135;51.53846153846153
изображение;66;72;25.384615384615383
категория на Викискладе;55;55;21.153846153846153
часть от;39;47;15.0
архитектор;37;43;14.23076923076923
количество этажей;31;31;11.923076923076923
официальный сайт;30;32;11.538461538461538
железнодорожная линия;26;35;10.0
местонахождение;26;26;10.0
код Freebase;24;24;9.230769230769232
названо в честь;22;23;8.461538461538462
дата основания/создания/возникновения;20;22;7.6923076923076925
код по Skyscraper Center;19;22;7.307692307692308
следующий остановочный пункт;18;39;6.923076923076923
длина;17;17;6.538461538461539
ключевое событие;16;31;6.153846153846154
высота/рост;15;15;5.769230769230769
оператор;13;18;5.0
владельцем является;13;16;5.0
находится на берегу водоёма;12;13;4.615384615384616
состоит из;11;29;4.230769230769231
карта этой дороги;9;9;3.4615384615384617
выходная мощность;8;8;3.076923076923077
находится в пределах природно-географического объекта;8;8;3.076923076923077
дата официального открытия;7;7;2.6923076923076925
идентификатор Emporis;7;7;2.6923076923076925
карта местонахождения;6;7;2.307692307692308
не путать с;6;7;2.307692307692308
описан на сайте;6;6;2.307692307692308
число лифтов;6;6;2.307692307692308
ширина колеи;6;6;2.307692307692308
система автомагистралей;5;10;1.9230769230769231
основная строительная организация;5;9;1.9230769230769231
расположен на улице;5;7;1.9230769230769231
стоимость;5;7;1.9230769230769231
владеет;5;6;1.9230769230769231
EUTA theatre ID;5;5;1.9230769230769231
archINFORM project ID;5;5;1.9230769230769231
адрес;5;5;1.9230769230769231
код VIAF;5;5;1.9230769230769231
код станции;5;5;1.9230769230769231
площадь;5;5;1.9230769230769231
сделано из;4;11;1.5384615384615385
конечная;4;8;1.5384615384615385
основная тема;4;7;1.5384615384615385
знак автотрассы;4;5;1.5384615384615385
ограничение скорости;4;5;1.5384615384615385
соединяется с;4;5;1.5384615384615385
архитектурный стиль;4;4;1.5384615384615385
вместимость;4;4;1.5384615384615385
идентификатор Structurae;4;4;1.5384615384615385
код здания на SkyscraperPage;4;4;1.5384615384615385
короткое название;4;4;1.5384615384615385
номер дороги;4;4;1.5384615384615385
произношение (звуковой файл);4;4;1.5384615384615385
проходит над/под;4;4;1.5384615384615385
создатель;4;4;1.5384615384615385
тарифная зона;4;4;1.5384615384615385
расположение штаб-квартиры;3;7;1.153846153846154
обитатель;3;5;1.153846153846154
разработчик;3;5;1.153846153846154
дата окончания;3;4;1.153846153846154
выдающееся произведение;3;3;1.153846153846154
дата начала;3;3;1.153846153846154
диаметр;3;3;1.153846153846154
заказчик произведения;3;3;1.153846153846154
код GND;3;3;1.153846153846154
код темы Quora;3;3;1.153846153846154
логотип;3;3;1.153846153846154
момент времени;3;3;1.153846153846154
несёт на себе;3;3;1.153846153846154
общая тема категории;3;3;1.153846153846154
официальное название;3;3;1.153846153846154
продолжительность;3;3;1.153846153846154
частота;3;3;1.153846153846154
число железнодорожных путей у платформ;3;3;1.153846153846154
электрическое напряжение;3;3;1.153846153846154
тематически относится к;2;5;0.7692307692307693
основатель;2;4;0.7692307692307693
подробная карта;2;4;0.7692307692307693
расположение конечной точки;2;4;0.7692307692307693
система электрификации;2;4;0.7692307692307693
состоит из представителей класса;2;4;0.7692307692307693
PSS;2;2;0.7692307692307693
WorldCat Identities ID;2;2;0.7692307692307693
генеральный директор;2;2;0.7692307692307693
дочерние компании (организации, учреждения);2;2;0.7692307692307693
заменил;2;2;0.7692307692307693
инженер-строитель;2;2;0.7692307692307693
категория карт на Викискладе;2;2;0.7692307692307693
категория объединяет темы;2;2;0.7692307692307693
код BabelNet;2;2;0.7692307692307693
код SUDOC;2;2;0.7692307692307693
материнская компания (организация, учреждение);2;2;0.7692307692307693
обладает свойством;2;2;0.7692307692307693
обслуживается маршрутом;2;2;0.7692307692307693
организационно-правовая форма;2;2;0.7692307692307693
основная категория по теме;2;2;0.7692307692307693
позднее здесь было построено;2;2;0.7692307692307693
построено на месте;2;2;0.7692307692307693
производитель;2;2;0.7692307692307693
пропускная способность;2;2;0.7692307692307693
следующее по порядку;2;2;0.7692307692307693
создано на основе;2;2;0.7692307692307693
учётная запись в Твиттере;2;2;0.7692307692307693
число подземных этажей;2;2;0.7692307692307693
юрисдикция распространяется на;2;2;0.7692307692307693
работодатель;1;69;0.38461538461538464
использует;1;5;0.38461538461538464
изображённый объект;1;4;0.38461538461538464
используется как/для/в;1;2;0.38461538461538464
порядковый номер;1;2;0.38461538461538464
станция пересадки;1;2;0.38461538461538464
хранится в коллекции;1;2;0.38461538461538464
Brueckenweb ID;1;1;0.38461538461538464
Common Database on Designated Areas ID;1;1;0.38461538461538464
Disney A to Z ID;1;1;0.38461538461538464
ID отношения в OpenStreetMap;1;1;0.38461538461538464
K10plus editions;1;1;0.38461538461538464
Microsoft Academic ID;1;1;0.38461538461538464
Natura 2000 site ID;1;1;0.38461538461538464
RegiowikiAT ID;1;1;0.38461538461538464
The Met object ID;1;1;0.38461538461538464
WDPA;1;1;0.38461538461538464
вид спорта;1;1;0.38461538461538464
галерея на Викискладе;1;1;0.38461538461538464
графический процессор;1;1;0.38461538461538464
дата прекращения существования;1;1;0.38461538461538464
дата принятия в эксплуатацию;1;1;0.38461538461538464
значимый человек;1;1;0.38461538461538464
изображение в разрезе;1;1;0.38461538461538464
инвентарный номер;1;1;0.38461538461538464
история темы;1;1;0.38461538461538464
источник дополнительных внешних данных;1;1;0.38461538461538464
карта ареала вида;1;1;0.38461538461538464
код BNF;1;1;0.38461538461538464
код Cinema Treasures;1;1;0.38461538461538464
код GeoNames;1;1;0.38461538461538464
код LCNAF;1;1;0.38461538461538464
код UK Parliament thesaurus;1;1;0.38461538461538464
код в энциклопедии «Британника онлайн»;1;1;0.38461538461538464
маршрутная карта;1;1;0.38461538461538464
название на языке оригинала;1;1;0.38461538461538464
наибольший уклон;1;1;0.38461538461538464
находится в охранной зоне;1;1;0.38461538461538464
обозначение Iconclass;1;1;0.38461538461538464
обслуживаемый город;1;1;0.38461538461538464
обычно используемое транспортное средство;1;1;0.38461538461538464
описывается в источниках;1;1;0.38461538461538464
ответственность несёт;1;1;0.38461538461538464
отношение к религии;1;1;0.38461538461538464
охранный статус;1;1;0.38461538461538464
почтовый индекс;1;1;0.38461538461538464
предыдущее по порядку;1;1;0.38461538461538464
производная работа;1;1;0.38461538461538464
противоположно;1;1;0.38461538461538464
рабочее название;1;1;0.38461538461538464
рабочий список проекта Викимедиа;1;1;0.38461538461538464
руководитель;1;1;0.38461538461538464
скорость;1;1;0.38461538461538464
состояние использования;1;1;0.38461538461538464
статья в Викии;1;1;0.38461538461538464
страна происхождения;1;1;0.38461538461538464
текст девиза;1;1;0.38461538461538464
тема утверждения;1;1;0.38461538461538464
участвовал в;1;1;0.38461538461538464
участник организации или клуба;1;1;0.38461538461538464
учётная запись Facebook;1;1;0.38461538461538464
художественное направление;1;1;0.38461538461538464
центральный процессор;1;1;0.38461538461538464
часовой пояс;1;1;0.38461538461538464
часть света;1;1;0.38461538461538464
число членов;1;1;0.38461538461538464
