prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;34;34413;100.0
официальный язык;34;79;100.0
имеет границы с;34;75;100.0
FIPS 10-4 (страны и регионы);34;39;100.0
ISO 3166-2;34;36;100.0
административно делится на;34;34;100.0
высота над уровнем моря;34;34;100.0
географические координаты;34;34;100.0
государство;34;34;100.0
изображение;34;34;100.0
карта местонахождения;34;34;100.0
категория на Викискладе;34;34;100.0
код Freebase;34;34;100.0
код GeoNames;34;34;100.0
общая тема категории;34;34;100.0
основная категория по теме;34;34;100.0
площадь;34;34;100.0
столица;34;34;100.0
часовой пояс;34;34;100.0
это частный случай понятия;34;34;100.0
является столицей;34;34;100.0
категория объединяет темы;33;79;97.05882352941177
должность главы правительства;33;33;97.05882352941177
место рождения;32;275;94.11764705882352
Who's on First ID;32;32;94.11764705882352
категория карт на Викискладе;32;32;94.11764705882352
код TGN;31;31;91.17647058823529
категория для людей, связанных с местностью;28;28;82.35294117647058
происходит из;26;90;76.47058823529412
используемый язык;26;83;76.47058823529412
место смерти;25;73;73.52941176470588
местонахождение;24;70;70.58823529411765
код LCNAF;23;23;67.64705882352942
код в Большой каталанской энциклопедии;20;20;58.82352941176471
код GND;17;17;50.0
численность населения;16;17;47.05882352941176
код VIAF;16;16;47.05882352941176
код US National Archives;14;14;41.17647058823529
название на языке оригинала;13;13;38.23529411764706
категория для людей, родившихся здесь;12;12;35.294117647058826
категория для людей, умерших здесь;8;8;23.52941176470588
позиционная карта;7;7;20.588235294117645
MinDat Locality ID;6;6;17.647058823529413
код BNF;6;6;17.647058823529413
место в MusicBrainz;6;6;17.647058823529413
описывается в источниках;4;5;11.76470588235294
код темы Quora;4;4;11.76470588235294
дата основания/создания/возникновения;3;4;8.823529411764707
ключевое событие;3;3;8.823529411764707
код в энциклопедии «Британника онлайн»;3;3;8.823529411764707
обслуживаемый город;3;3;8.823529411764707
основная тема;3;3;8.823529411764707
место изготовления;2;3;5.88235294117647
место обнаружения;2;3;5.88235294117647
LittleSis organisation ID;2;2;5.88235294117647
глава правительства;2;2;5.88235294117647
заменён на;2;2;5.88235294117647
история происходит в месте;2;2;5.88235294117647
код BabelNet;2;2;5.88235294117647
код NKC;2;2;5.88235294117647
код в Иранике;2;2;5.88235294117647
названо в честь;2;2;5.88235294117647
официальный сайт;2;2;5.88235294117647
идентификатор ROR;1;1;2.941176470588235
код NE.se;1;1;2.941176470588235
код YSO;1;1;2.941176470588235
код grid global research;1;1;2.941176470588235
код в Encyclopædia Universalis;1;1;2.941176470588235
код в Культурном словаре;1;1;2.941176470588235
код тезауруса PACTOLS;1;1;2.941176470588235
коллаж;1;1;2.941176470588235
местный телефонный код;1;1;2.941176470588235
место активности;1;1;2.941176470588235
место погребения;1;1;2.941176470588235
не путать с;1;1;2.941176470588235
расположение штаб-квартиры;1;1;2.941176470588235
страна происхождения;1;1;2.941176470588235
цель;1;1;2.941176470588235
юрисдикция распространяется на;1;1;2.941176470588235
