prop_name;prop_count;prop_count_value;prop_counter
карта местонахождения;10;11;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
изображение флага;10;10;100.0
код Freebase;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
является столицей;10;10;100.0
административно-территориальная единица;9;147;90.0
имеет границы с;9;38;90.0
ISO 3166-2;9;9;90.0
dmoz;9;9;90.0
административно делится на;9;9;90.0
баннер Викигида;9;9;90.0
категория на Викискладе;9;9;90.0
код GeoNames;9;9;90.0
общая тема категории;9;9;90.0
описание флага;9;9;90.0
основная категория по теме;9;9;90.0
дата основания/создания/возникновения;8;8;80.0
официальный сайт;8;8;80.0
категория объединяет темы;6;14;60.0
местонахождение;5;8;50.0
изображение;5;5;50.0
категория карт на Викискладе;5;5;50.0
код VIAF;3;3;30.0
часть от;2;4;20.0
член спортивной команды;2;4;20.0
место рождения;2;3;20.0
код GND;2;2;20.0
код LCNAF;2;2;20.0
глава государства;1;2;10.0
названо в честь;1;2;10.0
глава правительства;1;1;10.0
дата прекращения существования;1;1;10.0
карта ареала вида;1;1;10.0
место смерти;1;1;10.0
находится на берегу водоёма;1;1;10.0
почтовый индекс;1;1;10.0
типовая местность (геология);1;1;10.0
численность населения;1;1;10.0
