prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;9;95;100.0
FIPS 10-4 (страны и регионы);9;11;100.0
географические координаты;9;10;100.0
ISO 3166-2;9;9;100.0
административно делится на;9;9;100.0
государство;9;9;100.0
изображение флага;9;9;100.0
карта местонахождения;9;9;100.0
код Freebase;9;9;100.0
код GeoNames;9;9;100.0
площадь;9;9;100.0
это частный случай понятия;9;9;100.0
используемый язык;8;89;88.88888888888889
происходит из;8;87;88.88888888888889
Who's on First ID;8;8;88.88888888888889
столица;8;8;88.88888888888889
является столицей;8;8;88.88888888888889
дата основания/создания/возникновения;6;6;66.66666666666666
часовой пояс;5;5;55.55555555555556
место рождения;4;8;44.44444444444444
код TGN;3;3;33.33333333333333
глава правительства;2;2;22.22222222222222
категория на Викискладе;2;2;22.22222222222222
код BNF;2;2;22.22222222222222
код в Большой каталанской энциклопедии;2;2;22.22222222222222
баннер Викигида;1;1;11.11111111111111
код BabelNet;1;1;11.11111111111111
код GND;1;1;11.11111111111111
код LCNAF;1;1;11.11111111111111
код US National Archives;1;1;11.11111111111111
код VIAF;1;1;11.11111111111111
место обнаружения;1;1;11.11111111111111
названо в честь;1;1;11.11111111111111
общая тема категории;1;1;11.11111111111111
основная категория по теме;1;1;11.11111111111111
состоит из;1;1;11.11111111111111
