prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;33;102254;100.0
местонахождение;33;3021;100.0
используемый язык;33;891;100.0
происходит из;33;881;100.0
категория объединяет темы;33;123;100.0
имеет границы с;33;122;100.0
административно делится на;33;38;100.0
общая тема категории;33;38;100.0
карта местонахождения;33;36;100.0
государство;33;35;100.0
географические координаты;33;34;100.0
площадь;33;34;100.0
это частный случай понятия;33;34;100.0
ID отношения в OpenStreetMap;33;33;100.0
ISO 3166-2;33;33;100.0
изображение герба;33;33;100.0
изображение флага;33;33;100.0
категория на Викискладе;33;33;100.0
код GeoNames;33;33;100.0
код индонезийского поселения;33;33;100.0
основная категория по теме;33;33;100.0
официальный сайт;33;33;100.0
позиционная карта;33;33;100.0
столица;33;33;100.0
является столицей;33;33;100.0
Who's on First ID;32;32;96.96969696969697
десятичная классификация Дьюи;32;32;96.96969696969697
описание герба;32;32;96.96969696969697
FIPS 10-4 (страны и регионы);31;34;93.93939393939394
высота над уровнем моря;31;31;93.93939393939394
код Freebase;31;31;93.93939393939394
глава правительства;30;33;90.9090909090909
изображение;30;32;90.9090909090909
код NKC;30;30;90.9090909090909
код в энциклопедии «Британника онлайн»;29;29;87.87878787878788
категория карт на Викискладе;28;28;84.84848484848484
дата основания/создания/возникновения;27;27;81.81818181818183
место рождения;26;300;78.78787878787878
находится на берегу водоёма;25;57;75.75757575757575
юрисдикция распространяется на;24;40;72.72727272727273
категория для людей, связанных с местностью;24;24;72.72727272727273
баннер Викигида;23;23;69.6969696969697
категория для людей, родившихся здесь;21;21;63.63636363636363
dmoz;20;20;60.60606060606061
место в MusicBrainz;19;19;57.57575757575758
код TGN;17;17;51.515151515151516
код в Большой каталанской энциклопедии;17;17;51.515151515151516
почтовый индекс;17;17;51.515151515151516
численность населения;16;16;48.484848484848484
место активности;15;52;45.45454545454545
код GND;15;15;45.45454545454545
часовой пояс;14;16;42.42424242424242
код BNF;13;13;39.39393939393939
место смерти;11;39;33.33333333333333
официальный язык;11;18;33.33333333333333
зона обслуживания;11;13;33.33333333333333
название на языке оригинала;10;11;30.303030303030305
категория для людей, умерших здесь;9;9;27.27272727272727
код темы Quora;9;9;27.27272727272727
должность главы правительства;8;8;24.242424242424242
часть от;7;18;21.21212121212121
основная тема;6;7;18.181818181818183
заменён на;6;6;18.181818181818183
находится в пределах природно-географического объекта;6;6;18.181818181818183
страна происхождения;5;7;15.151515151515152
владеет;5;6;15.151515151515152
текст девиза;5;6;15.151515151515152
владельцем является;5;5;15.151515151515152
названо в честь;5;5;15.151515151515152
наивысшая точка;5;5;15.151515151515152
место жительства;4;5;12.121212121212121
заменил;4;4;12.121212121212121
код VIAF;4;4;12.121212121212121
код в Encyclopædia Universalis;4;4;12.121212121212121
код автомобильного номера;3;37;9.090909090909092
место изготовления;3;16;9.090909090909092
официальное название;3;8;9.090909090909092
город-побратим;3;5;9.090909090909092
идентификатор местоположения ArchINFORM;3;3;9.090909090909092
предыдущее по порядку;3;3;9.090909090909092
расположение штаб-квартиры;3;3;9.090909090909092
следующее по порядку;3;3;9.090909090909092
обслуживаемый город;2;3;6.0606060606060606
описывается в источниках;2;3;6.0606060606060606
код NDL;2;2;6.0606060606060606
код US National Archives;2;2;6.0606060606060606
место обнаружения;2;2;6.0606060606060606
место создания;2;2;6.0606060606060606
элемент для смысла;2;2;6.0606060606060606
состоит из;1;5;3.0303030303030303
отношение к религии;1;4;3.0303030303030303
изображённый объект;1;2;3.0303030303030303
WorldCat Identities ID;1;1;3.0303030303030303
война/сражение;1;1;3.0303030303030303
галерея на Викискладе;1;1;3.0303030303030303
гражданство;1;1;3.0303030303030303
история происходит в месте;1;1;3.0303030303030303
код BabelNet;1;1;3.0303030303030303
код Comic Vine;1;1;3.0303030303030303
код ISNI;1;1;3.0303030303030303
код LCNAF;1;1;3.0303030303030303
код NE.se;1;1;3.0303030303030303
код NLI;1;1;3.0303030303030303
код SELIBR;1;1;3.0303030303030303
код YSO;1;1;3.0303030303030303
код в Национальной библиотеке Австралии (персоналии);1;1;3.0303030303030303
код тезауруса PACTOLS;1;1;3.0303030303030303
место съёмок;1;1;3.0303030303030303
не путать с;1;1;3.0303030303030303
область интересов;1;1;3.0303030303030303
оператор;1;1;3.0303030303030303
основатель;1;1;3.0303030303030303
пример использования свойства;1;1;3.0303030303030303
пункт назначения;1;1;3.0303030303030303
часть света;1;1;3.0303030303030303
