prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;9139;9975;99.9890590809628
государство;9137;9137;99.96717724288841
статус наследия;8594;8636;94.02625820568927
административно-территориальная единица;7556;7563;82.66958424507659
описан на сайте;6253;6298;68.41356673960613
географические координаты;2762;3031;30.218818380743983
адрес;2694;2820;29.47483588621444
DBUnico MIBACT ID;2368;2375;25.908096280087527
номер телефона;2133;2144;23.336980306345733
почтовый индекс;1923;1929;21.039387308533914
электронная почта;1866;1874;20.41575492341357
официальный сайт;1598;1672;17.483588621444202
номер факса;1517;1518;16.59737417943107
изображение;764;800;8.358862144420131
код «Вики любит памятники»;650;772;7.11159737417943
категория на Викискладе;636;636;6.958424507658643
код VIAF;626;639;6.849015317286653
дата основания/создания/возникновения;217;221;2.37417943107221
AtlasFor ID;195;195;2.1334792122538295
код LCNAF;188;188;2.0568927789934355
архитектурный стиль;152;161;1.663019693654267
епархия;146;146;1.597374179431072
названо в честь;114;117;1.2472647702407003
дата официального открытия;99;99;1.0831509846827134
код Freebase;98;98;1.0722100656455142
местонахождение;95;542;1.0393873085339167
код CulturaItalia;86;87;0.9409190371991246
код GND;72;76;0.7877461706783371
страница учреждения на Викискладе;70;70;0.7658643326039387
код ISNI;69;72;0.7549234135667395
часть от;68;93;0.7439824945295405
общая тема категории;64;64;0.700218818380744
архитектор;63;67;0.6892778993435449
основная категория по теме;62;62;0.6783369803063457
хранится в коллекции;52;549;0.5689277899343544
EUTA theatre ID;45;45;0.4923413566739606
код GeoNames;45;45;0.4923413566739606
код SUDOC;44;44;0.48140043763676155
состоит из;39;47;0.42669584245076586
галерея на Викискладе;39;39;0.42669584245076586
владельцем является;37;45;0.4048140043763676
код BNF;36;37;0.39387308533916854
WorldCat Identities ID;36;36;0.39387308533916854
ответственность несёт;32;32;0.350109409190372
идентификатор объекта в картах Google;28;28;0.3063457330415755
основатель;26;27;0.2844638949671772
расположение штаб-квартиры;24;24;0.26258205689277897
категория объединяет темы;21;22;0.2297592997811816
код автора в каталоге SHARE;21;21;0.2297592997811816
код ISIL;20;20;0.2188183807439825
отношение к религии;20;20;0.2188183807439825
место погребения;19;41;0.20787746170678337
основная тема;19;24;0.20787746170678337
код Pleiades;19;19;0.20787746170678337
код Цифрового атласа Римской империи;18;19;0.19693654266958427
работодатель;17;49;0.18599562363238512
категория Викисклада для интерьера элемента;17;17;0.18599562363238512
код NKC;17;17;0.18599562363238512
код BAV;16;19;0.175054704595186
посвящено;16;17;0.175054704595186
владеет;15;17;0.16411378555798686
идентификатор Ringgold;15;15;0.16411378555798686
код ULAN;15;15;0.16411378555798686
Sotheby's Museum Network ID;14;14;0.15317286652078774
вместимость;14;14;0.15317286652078774
код TripAdvisor;14;14;0.15317286652078774
Carthalia ID;13;13;0.1422319474835886
LombardiaBeniCulturali building ID;13;13;0.1422319474835886
выдающееся произведение;13;13;0.1422319474835886
площадь;12;20;0.13129102844638948
название на языке оригинала;12;12;0.13129102844638948
место смерти;11;39;0.12035010940919039
монашеский орден;11;17;0.12035010940919039
код в энциклопедии «Британника онлайн»;11;12;0.12035010940919039
расположен на улице;11;11;0.12035010940919039
код NLA;10;11;0.10940919037199125
заказчик произведения;10;10;0.10940919037199125
код NLI;10;10;0.10940919037199125
код BNE;9;9;0.09846827133479213
код BabelNet;9;9;0.09846827133479213
код в Google Knowledge Graph;9;9;0.09846827133479213
код NUKAT;8;8;0.087527352297593
код Всемирного наследия ЮНЕСКО;8;8;0.087527352297593
количество этажей;8;8;0.087527352297593
официальное название;7;13;0.07658643326039387
в точности соответствует;7;12;0.07658643326039387
Athenaeum museum ID;7;7;0.07658643326039387
Google Arts & Culture partner ID;7;7;0.07658643326039387
высота над уровнем моря;7;7;0.07658643326039387
идентификатор ROR;7;7;0.07658643326039387
код CANTIC;7;7;0.07658643326039387
код grid global research;7;7;0.07658643326039387
собор;7;7;0.07658643326039387
каталожный код;6;12;0.06564551422319474
материнская компания (организация, учреждение);6;8;0.06564551422319474
сделано из;6;7;0.06564551422319474
собрание работ;6;7;0.06564551422319474
адрес (УСТАРЕЛО);6;6;0.06564551422319474
высота/рост;6;6;0.06564551422319474
код FAST;6;6;0.06564551422319474
код vici.org;6;6;0.06564551422319474
код Национальной библиотеки Греции;6;6;0.06564551422319474
код в Большой каталанской энциклопедии;6;6;0.06564551422319474
код места в Foursquare;6;6;0.06564551422319474
код места в MusicBrainz;6;6;0.06564551422319474
находится в пределах природно-географического объекта;6;6;0.06564551422319474
обитатель;6;6;0.06564551422319474
описывается в источниках;5;7;0.05470459518599562
святой покровитель;5;7;0.05470459518599562
история выставок;5;6;0.05470459518599562
создатель;5;6;0.05470459518599562
учётная запись в Твиттере;5;6;0.05470459518599562
TCI destination ID;5;5;0.05470459518599562
дата начала;5;5;0.05470459518599562
идентификатор Structurae;5;5;0.05470459518599562
не путать с;5;5;0.05470459518599562
пример использования свойства;5;5;0.05470459518599562
учётная запись Facebook;5;5;0.05470459518599562
число посетителей в год;5;5;0.05470459518599562
участник организации или клуба;4;174;0.0437636761487965
учебное заведение;4;49;0.0437636761487965
