prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;5;6;100.0
баннер Викигида;5;5;100.0
государство;5;5;100.0
код Freebase;5;5;100.0
часть от;4;8;80.0
общая тема категории;4;4;80.0
основная категория по теме;4;4;80.0
местонахождение;3;13;60.0
основная тема;3;7;60.0
географические координаты;2;2;40.0
карта местонахождения;2;2;40.0
код VIAF;2;2;40.0
находится в пределах природно-географического объекта;2;2;40.0
административно-территориальная единица;1;1;20.0
категория на Викискладе;1;1;20.0
категория объединяет темы;1;1;20.0
код в энциклопедии «Британника онлайн»;1;1;20.0
место жительства;1;1;20.0
площадь;1;1;20.0
состоит из;1;1;20.0
