prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;79;100.0
государство;10;24;100.0
географические координаты;10;10;100.0
это частный случай понятия;10;10;100.0
столица;9;9;90.0
административно делится на;7;76;70.0
Czech territorial region ID;7;7;70.0
дата основания/создания/возникновения;7;7;70.0
изображение;7;7;70.0
площадь;7;7;70.0
не путать с;6;6;60.0
юрисдикция распространяется на;6;6;60.0
является столицей;6;6;60.0
код NKC;3;3;30.0
пример использования свойства;3;3;30.0
частично совпадает с;2;3;20.0
баннер Викигида;2;2;20.0
заменён на;1;2;10.0
заменил;1;1;10.0
категория объединяет темы;1;1;10.0
код TGN;1;1;10.0
код в Большой каталанской энциклопедии;1;1;10.0
местонахождение;1;1;10.0
общая тема категории;1;1;10.0
описывается в источниках;1;1;10.0
