prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;16;8427;100.0
категория объединяет темы;16;653;100.0
место рождения;16;433;100.0
государство;16;136;100.0
юрисдикция распространяется на;16;125;100.0
местонахождение;16;118;100.0
численность населения;16;96;100.0
административно делится на;16;28;100.0
это частный случай понятия;16;25;100.0
ISO 3166-2;16;21;100.0
номер SIREN;16;18;100.0
карта местонахождения;16;17;100.0
код Freebase;16;17;100.0
код GeoNames;16;17;100.0
столица;16;17;100.0
ID отношения в OpenStreetMap;16;16;100.0
баннер Викигида;16;16;100.0
географические координаты;16;16;100.0
ежегодное количество свадеб;16;16;100.0
идентификатор местоположения ArchINFORM;16;16;100.0
категория для людей, родившихся здесь;16;16;100.0
категория на Викискладе;16;16;100.0
код в Encyclopædia Universalis;16;16;100.0
код в Ларуссе;16;16;100.0
код региона Франции INSEE;16;16;100.0
место в MusicBrainz;16;16;100.0
общая тема категории;16;16;100.0
основная категория по теме;16;16;100.0
площадь;16;16;100.0
изображение;15;20;93.75
официальный сайт;15;18;93.75
наивысшая точка;15;16;93.75
категория для людей, умерших здесь;15;15;93.75
категория карт на Викискладе;15;15;93.75
расположение штаб-квартиры;14;16;87.5
галерея на Викискладе;14;14;87.5
код в Большой каталанской энциклопедии;14;14;87.5
является столицей;14;14;87.5
имеет границы с;13;81;81.25
официальное название;13;49;81.25
название на языке оригинала;13;14;81.25
категория для людей, связанных с местностью;13;13;81.25
место смерти;12;161;75.0
место погребения;12;49;75.0
тематически относится к;12;18;75.0
изображение герба;12;14;75.0
изображение флага;12;13;75.0
география темы;12;12;75.0
категория для людей, похороненных здесь;12;12;75.0
код VIAF;12;12;75.0
названо в честь;11;31;68.75
часть от;11;15;68.75
учётная запись в Твиттере;11;13;68.75
дата начала;11;11;68.75
категория фильмов, снятых в этом месте;11;11;68.75
код BNF;11;11;68.75
код TGN;11;11;68.75
основная тема портала Викимедиа;11;11;68.75
портал Викимедиа;11;11;68.75
место жительства;10;52;62.5
код NUTS;10;31;62.5
часовой пояс;10;16;62.5
обитатель;10;15;62.5
законодательный орган;10;12;62.5
происходит из;10;11;62.5
код GND;10;10;62.5
код в энциклопедии «Британника онлайн»;10;10;62.5
изображённый объект;9;31;56.25
используемый язык;9;25;56.25
FIPS 10-4 (страны и регионы);9;9;56.25
French Vikidia ID;9;9;56.25
dmoz;9;9;56.25
десятичная классификация Дьюи;9;9;56.25
код LCNAF;9;9;56.25
код темы Quora;9;9;56.25
история происходит в месте;8;114;50.0
место изготовления;8;25;50.0
состоит из;8;18;50.0
код GACS;8;8;50.0
основная тема;7;325;43.75
место активности;7;40;43.75
место съёмок;7;25;43.75
заменён на;7;17;43.75
заменил;7;16;43.75
этнохороним;7;10;43.75
находится в пределах природно-географического объекта;7;8;43.75
Italian Vikidia ID;7;7;43.75
код ISNI;7;7;43.75
код SUDOC;7;7;43.75
код US National Archives;7;7;43.75
код канала YouTube;7;7;43.75
страна происхождения;6;16;37.5
пример использования свойства;6;8;37.5
код NKC;6;6;37.5
код в Большой российской энциклопедии онлайн;6;6;37.5
место создания;5;13;31.25
Who's on First ID;5;5;31.25
значение в OmegaWiki;5;5;31.25
короткое название;5;5;31.25
описание флага;5;5;31.25
самая восточная точка;5;5;31.25
самая западная точка;5;5;31.25
самая северная точка;5;5;31.25
самая южная точка;5;5;31.25
является эндемиком в;4;518;25.0
зона обслуживания;4;136;25.0
представляет страну в спорте;4;51;25.0
описывается в источниках;4;11;25.0
тип электрического разъёма;4;10;25.0
денежная единица;4;8;25.0
гражданство;4;7;25.0
официальный язык;4;7;25.0
не путать с;4;6;25.0
глава правительства;4;5;25.0
ISO 3166-1 alpha-2;4;4;25.0
ISO 3166-1 alpha-3;4;4;25.0
ISO 3166-1 цифровой;4;4;25.0
maritime identification digits;4;4;25.0
архивы хранятся в;4;4;25.0
геоданные;4;4;25.0
идентификатор MeSH;4;4;25.0
идентификатор темы Le Monde diplomatique;4;4;25.0
интернет-домен верхнего уровня;4;4;25.0
история темы;4;4;25.0
код IAB;4;4;25.0
код LoC and MARC;4;4;25.0
код Statoids;4;4;25.0
код YSO;4;4;25.0
код Тезауруса ЮНЕСКО;4;4;25.0
код департамента Франции  INSEE;4;4;25.0
код тезауруса PACTOLS;4;4;25.0
произношение (звуковой файл);4;4;25.0
сетевое напряжение;4;4;25.0
список памятников;4;4;25.0
телефонный код страны;4;4;25.0
часть света;4;4;25.0
владельцем является;3;4;18.75
город-побратим;3;4;18.75
EuroVoc ID;3;3;18.75
идентификатор Dizionario di Storia;3;3;18.75
идентификатор таблицы данных Invasive Species Compendium;3;3;18.75
код ASC Leiden Thesaurus;3;3;18.75
код Comic Vine;3;3;18.75
номер телефона экстренной службы;3;3;18.75
транскрипция в МФА;3;3;18.75
участник организации или клуба;3;3;18.75
минимум температуры;2;4;12.5
код data.gouv.fr;2;3;12.5
Spanish Vikidia ID;2;2;12.5
дата основания/создания/возникновения;2;2;12.5
издатель;2;2;12.5
код BNE;2;2;12.5
код BabelNet;2;2;12.5
код FAST;2;2;12.5
код NDL;2;2;12.5
код NE.se;2;2;12.5
код NLI;2;2;12.5
код UK Parliament thesaurus;2;2;12.5
код автомобильного номера;2;2;12.5
код темы NYT;2;2;12.5
местный телефонный код;2;2;12.5
место обнаружения;2;2;12.5
находится на берегу водоёма;2;2;12.5
область деятельности;2;2;12.5
описание герба;2;2;12.5
руководитель;2;2;12.5
туристический центр;2;2;12.5
индекс человеческого развития;1;5;6.25
код LAC;1;2;6.25
код для сущности Wolfram Language;1;2;6.25
максимальная температура;1;2;6.25
место публикации;1;2;6.25
предыдущее по порядку;1;2;6.25
AllTrails trail ID;1;1;6.25
EU Research participant ID;1;1;6.25
EU VAT number;1;1;6.25
Hiking Project area ID;1;1;6.25
Michelin Voyages ID;1;1;6.25
Petit Futé site ID;1;1;6.25
Songkick venue ID;1;1;6.25
aircraft registration prefix;1;1;6.25
вдохновлено;1;1;6.25
возраст вступления в брак;1;1;6.25
глубочайшая точка;1;1;6.25
исполнительная власть;1;1;6.25
использует;1;1;6.25
исток водотока;1;1;6.25
источник дополнительных внешних данных;1;1;6.25
классификация климата Кёппена;1;1;6.25
ключевое событие;1;1;6.25
код BBC Things;1;1;6.25
код CCAB;1;1;6.25
код M.49;1;1;6.25
код NALT;1;1;6.25
код NLA;1;1;6.25
код RERO;1;1;6.25
код SELIBR;1;1;6.25
код в Большой норвежской энциклопедии;1;1;6.25
код в Итальянской энциклопедии онлайн;1;1;6.25
код в Энциклопедии современной Украины;1;1;6.25
код места в Foursquare;1;1;6.25
код темы Guardian;1;1;6.25
команда-участница;1;1;6.25
логотип;1;1;6.25
место содержания под стражей;1;1;6.25
находится в границах современной административной единицы;1;1;6.25
начало пути;1;1;6.25
описание девиза;1;1;6.25
основатель;1;1;6.25
основной порт;1;1;6.25
победитель;1;1;6.25
подробная карта;1;1;6.25
предки из;1;1;6.25
принадлежит к;1;1;6.25
прозвище;1;1;6.25
рабочий список проекта Викимедиа;1;1;6.25
сторона автомобильного движения;1;1;6.25
текст девиза;1;1;6.25
территория перекрывается с;1;1;6.25
элемент для смысла;1;1;6.25
