prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;18;3819;100.0
место рождения;18;452;100.0
категория объединяет темы;18;298;100.0
юрисдикция распространяется на;18;142;100.0
этнохороним;18;78;100.0
код NUTS;18;70;100.0
глава правительства;18;63;100.0
административно делится на;18;38;100.0
государство;18;25;100.0
это частный случай понятия;18;25;100.0
зона обслуживания;18;21;100.0
численность населения;18;21;100.0
изображение герба;18;20;100.0
код в Большой каталанской энциклопедии;18;20;100.0
код GeoNames;18;19;100.0
код VIAF;18;19;100.0
общая тема категории;18;19;100.0
площадь;18;19;100.0
FIPS 10-4 (страны и регионы);18;18;100.0
ID отношения в OpenStreetMap;18;18;100.0
ISO 3166-2;18;18;100.0
баннер Викигида;18;18;100.0
галерея на Викискладе;18;18;100.0
географические координаты;18;18;100.0
десятичная классификация Дьюи;18;18;100.0
должность главы правительства;18;18;100.0
законодательный орган;18;18;100.0
идентификатор Dizionario di Storia;18;18;100.0
идентификатор местоположения ArchINFORM;18;18;100.0
изображение;18;18;100.0
изображение флага;18;18;100.0
исполнительная власть;18;18;100.0
карта местонахождения;18;18;100.0
категория для людей, родившихся здесь;18;18;100.0
категория для людей, связанных с местностью;18;18;100.0
категория для людей, умерших здесь;18;18;100.0
категория карт на Викискладе;18;18;100.0
категория на Викискладе;18;18;100.0
категория фильмов, снятых в этом месте;18;18;100.0
код Freebase;18;18;100.0
код GND;18;18;100.0
код ISTAT;18;18;100.0
код TGN;18;18;100.0
место в MusicBrainz;18;18;100.0
основная категория по теме;18;18;100.0
официальный сайт;18;18;100.0
столица;18;18;100.0
является столицей;18;18;100.0
местонахождение;17;137;94.44444444444444
имеет границы с;17;92;94.44444444444444
часовой пояс;17;34;94.44444444444444
код в Encyclopædia Universalis;17;19;94.44444444444444
основная тема портала Викимедиа;17;17;94.44444444444444
место смерти;16;130;88.88888888888889
изображённый объект;16;106;88.88888888888889
названо в честь;16;43;88.88888888888889
состоит из;16;23;88.88888888888889
тематически относится к;16;20;88.88888888888889
код в энциклопедии «Британника онлайн»;16;17;88.88888888888889
высота над уровнем моря;16;16;88.88888888888889
география темы;16;16;88.88888888888889
код BNF;16;16;88.88888888888889
портал Викимедиа;16;16;88.88888888888889
основная тема;15;59;83.33333333333334
код ISNI;15;16;83.33333333333334
French Vikidia ID;15;15;83.33333333333334
dmoz;15;15;83.33333333333334
категория для людей, похороненных здесь;15;15;83.33333333333334
код GACS;15;15;83.33333333333334
код NKC;15;15;83.33333333333334
история происходит в месте;14;707;77.77777777777779
место погребения;13;59;72.22222222222221
описывается в источниках;13;38;72.22222222222221
происходит из;13;33;72.22222222222221
код LCNAF;13;13;72.22222222222221
место изготовления;11;104;61.111111111111114
используемый язык;11;25;61.111111111111114
часть от;11;19;61.111111111111114
название на языке оригинала;11;16;61.111111111111114
идентификатор Ringgold;11;12;61.111111111111114
код YSO;11;11;61.111111111111114
код тезауруса PACTOLS;11;11;61.111111111111114
место съёмок;10;225;55.55555555555556
место активности;10;65;55.55555555555556
EU Research participant ID;10;11;55.55555555555556
EU VAT number;10;10;55.55555555555556
Italian Vikidia ID;9;9;50.0
владельцем является;8;18;44.44444444444444
город-побратим;8;9;44.44444444444444
дата основания/создания/возникновения;8;8;44.44444444444444
находится в пределах природно-географического объекта;7;45;38.88888888888889
код NLI;7;7;38.88888888888889
место жительства;6;15;33.33333333333333
предки из;6;13;33.33333333333333
код SUDOC;6;6;33.33333333333333
место обнаружения;5;18;27.77777777777778
место создания;5;8;27.77777777777778
Basque Vikidia ID;5;5;27.77777777777778
значение в OmegaWiki;5;5;27.77777777777778
код BabelNet;5;5;27.77777777777778
страна происхождения;4;10;22.22222222222222
расположение штаб-квартиры;4;6;22.22222222222222
гражданство;4;5;22.22222222222222
код Comic Vine;4;4;22.22222222222222
код в Большой норвежской энциклопедии;4;4;22.22222222222222
код темы Quora;4;4;22.22222222222222
наивысшая точка;4;4;22.22222222222222
код Католической энциклопедии;3;4;16.666666666666664
официальное название;3;4;16.666666666666664
участник организации или клуба;3;4;16.666666666666664
WorldCat Identities ID;3;3;16.666666666666664
владеет;3;3;16.666666666666664
идентификатор HDS;3;3;16.666666666666664
код EMLO location;3;3;16.666666666666664
код NDL;3;3;16.666666666666664
код SELIBR;3;3;16.666666666666664
