prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;14;343;100.0
используемый язык;14;64;100.0
происходит из;14;52;100.0
это частный случай понятия;14;15;100.0
ISO 3166-2;14;14;100.0
административно делится на;14;14;100.0
географические координаты;14;14;100.0
государство;14;14;100.0
карта местонахождения;14;14;100.0
код GeoNames;14;14;100.0
общая тема категории;14;14;100.0
основная категория по теме;14;14;100.0
столица;14;14;100.0
является столицей;14;14;100.0
категория на Викискладе;12;13;85.71428571428571
FIPS 10-4 (страны и регионы);12;12;85.71428571428571
Who's on First ID;12;12;85.71428571428571
официальный сайт;12;12;85.71428571428571
площадь;12;12;85.71428571428571
имеет границы с;11;29;78.57142857142857
код Freebase;11;11;78.57142857142857
баннер Викигида;7;7;50.0
место рождения;6;11;42.857142857142854
категория объединяет темы;6;8;42.857142857142854
категория для людей, связанных с местностью;5;5;35.714285714285715
численность населения;5;5;35.714285714285715
официальный язык;4;5;28.57142857142857
категория карт на Викискладе;3;3;21.428571428571427
дата основания/создания/возникновения;2;2;14.285714285714285
код автомобильного номера;1;6;7.142857142857142
глава правительства;1;1;7.142857142857142
должность главы правительства;1;1;7.142857142857142
изображение герба;1;1;7.142857142857142
изображение флага;1;1;7.142857142857142
код LCNAF;1;1;7.142857142857142
код NKC;1;1;7.142857142857142
код VIAF;1;1;7.142857142857142
код темы Quora;1;1;7.142857142857142
место в MusicBrainz;1;1;7.142857142857142
место обнаружения;1;1;7.142857142857142
наивысшая точка;1;1;7.142857142857142
