prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;16;5357;100.0
административно делится на;16;19;100.0
FIPS 10-4 (страны и регионы);16;18;100.0
государство;16;17;100.0
это частный случай понятия;16;17;100.0
ISO 3166-2;16;16;100.0
географические координаты;16;16;100.0
карта местонахождения;16;16;100.0
код Freebase;16;16;100.0
код GeoNames;16;16;100.0
общая тема категории;16;16;100.0
основная категория по теме;16;16;100.0
столица;16;16;100.0
Who's on First ID;14;14;87.5
является столицей;13;13;81.25
категория на Викискладе;12;12;75.0
код TGN;10;10;62.5
изображение;9;9;56.25
код в Большой каталанской энциклопедии;9;9;56.25
площадь;9;9;56.25
место рождения;8;14;50.0
используемый язык;7;21;43.75
происходит из;7;21;43.75
имеет границы с;4;6;25.0
местонахождение;4;6;25.0
часовой пояс;4;4;25.0
баннер Викигида;3;3;18.75
код VIAF;3;3;18.75
численность населения;3;3;18.75
название на языке оригинала;2;3;12.5
категория для людей, связанных с местностью;2;2;12.5
категория объединяет темы;2;2;12.5
код BabelNet;2;2;12.5
код в энциклопедии «Британника онлайн»;2;2;12.5
местный телефонный код;2;2;12.5
место в MusicBrainz;2;2;12.5
место смерти;2;2;12.5
дата основания/создания/возникновения;1;1;6.25
ключевое событие;1;1;6.25
код NE.se;1;1;6.25
код темы Quora;1;1;6.25
расположение штаб-квартиры;1;1;6.25
