prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;20;307;100.0
численность населения;20;75;100.0
это частный случай понятия;20;23;100.0
карта местонахождения;20;22;100.0
государство;20;20;100.0
административно делится на;19;36;95.0
географические координаты;19;19;95.0
общая тема категории;19;19;95.0
основная категория по теме;19;19;95.0
столица;19;19;95.0
баннер Викигида;18;18;90.0
категория на Викискладе;18;18;90.0
код Freebase;18;18;90.0
категория объединяет темы;17;34;85.0
площадь;17;20;85.0
ISO 3166-2;17;17;85.0
dmoz;17;17;85.0
Филиппинский стандартный географический код;17;17;85.0
код GeoNames;17;17;85.0
используемый язык;16;104;80.0
происходит из;16;101;80.0
категория карт на Викискладе;10;10;50.0
дата основания/создания/возникновения;8;8;40.0
код в Большой каталанской энциклопедии;8;8;40.0
изображение;7;7;35.0
часть от;6;9;30.0
Who's on First ID;6;6;30.0
является столицей;6;6;30.0
заменил;5;6;25.0
заменён на;5;6;25.0
код темы Quora;5;5;25.0
место рождения;4;39;20.0
местонахождение;4;33;20.0
место в MusicBrainz;4;4;20.0
официальный сайт;4;4;20.0
код BabelNet;3;3;15.0
расположение штаб-квартиры;2;16;10.0
место жительства;2;5;10.0
юрисдикция распространяется на;2;5;10.0
ID отношения в OpenStreetMap;2;2;10.0
высота над уровнем моря;2;2;10.0
дата прекращения существования;2;2;10.0
изображение флага;2;2;10.0
код GND;2;2;10.0
код VIAF;2;2;10.0
код в энциклопедии «Британника онлайн»;2;2;10.0
обслуживаемый город;2;2;10.0
официальное название;2;2;10.0
часовой пояс;2;2;10.0
место смерти;1;18;5.0
статус наследия;1;6;5.0
имеет границы с;1;5;5.0
место создания;1;5;5.0
критерий Всемирного наследия;1;4;5.0
официальный язык;1;3;5.0
лицензия на вещание в;1;2;5.0
место съёмок;1;2;5.0
сабреддит;1;2;5.0
галерея на Викискладе;1;1;5.0
главный регулирующий текст;1;1;5.0
город-побратим;1;1;5.0
занимаемая должность;1;1;5.0
изображение печати/эмблемы;1;1;5.0
категория для людей, родившихся здесь;1;1;5.0
категория для людей, связанных с местностью;1;1;5.0
категория для людей, умерших здесь;1;1;5.0
код LCNAF;1;1;5.0
код NLI;1;1;5.0
код TGN;1;1;5.0
код US National Archives;1;1;5.0
код для сущности Wolfram Language;1;1;5.0
количество мест в законодательном собрании;1;1;5.0
коллаж;1;1;5.0
короткое название;1;1;5.0
местный телефонный код;1;1;5.0
место активности;1;1;5.0
место публикации;1;1;5.0
названо в честь;1;1;5.0
находится в границах современной административной единицы;1;1;5.0
находится в пределах природно-географического объекта;1;1;5.0
находится на берегу водоёма;1;1;5.0
не путать с;1;1;5.0
обзорная статья Викимедиа;1;1;5.0
основная тема;1;1;5.0
ответственность несёт;1;1;5.0
подробная карта;1;1;5.0
предположительно одно и то же с;1;1;5.0
пример использования свойства;1;1;5.0
электорат;1;1;5.0
