prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;35;43;100.0
государство;19;19;54.285714285714285
отношение к религии;13;162;37.142857142857146
дата основания/создания/возникновения;12;12;34.285714285714285
официальный сайт;11;11;31.428571428571427
код VIAF;9;11;25.71428571428571
основатель;8;14;22.857142857142858
административно-территориальная единица;8;8;22.857142857142858
общая тема категории;7;9;20.0
код Freebase;7;7;20.0
расположение штаб-квартиры;6;9;17.142857142857142
код в энциклопедии «Британника онлайн»;6;8;17.142857142857142
монашеский орден;5;11;14.285714285714285
категория на Викискладе;5;5;14.285714285714285
код GND;5;5;14.285714285714285
код LCNAF;5;5;14.285714285714285
основная категория по теме;5;5;14.285714285714285
код BNF;4;4;11.428571428571429
код ISNI;4;4;11.428571428571429
код SUDOC;4;4;11.428571428571429
код темы Quora;4;4;11.428571428571429
описывается в источниках;3;7;8.571428571428571
основная тема;3;7;8.571428571428571
географические координаты;3;3;8.571428571428571
названо в честь;3;3;8.571428571428571
официальное название;3;3;8.571428571428571
подкласс от;3;3;8.571428571428571
тематически относится к;2;5;5.714285714285714
архивы хранятся в;2;2;5.714285714285714
дата прекращения существования;2;2;5.714285714285714
изображение;2;2;5.714285714285714
код NKC;2;2;5.714285714285714
местонахождение;2;2;5.714285714285714
не путать с;2;2;5.714285714285714
организационно-правовая форма;2;2;5.714285714285714
род занятий;2;2;5.714285714285714
учётная запись Facebook;2;2;5.714285714285714
часть от;2;2;5.714285714285714
участник организации или клуба;1;29;2.857142857142857
название на языке оригинала;1;15;2.857142857142857
владеет;1;3;2.857142857142857
владельцем является;1;3;2.857142857142857
полученные награды;1;3;2.857142857142857
код в Большой каталанской энциклопедии;1;2;2.857142857142857
состоит из;1;2;2.857142857142857
ARCHON code;1;1;2.857142857142857
Czech Registration ID;1;1;2.857142857142857
Dictionary of Sydney ID;1;1;2.857142857142857
Handbook of Texas ID;1;1;2.857142857142857
New Georgia Encyclopedia ID;1;1;2.857142857142857
The First Amendment Encyclopedia ID;1;1;2.857142857142857
WorldCat Identities ID;1;1;2.857142857142857
автор;1;1;2.857142857142857
галерея на Викискладе;1;1;2.857142857142857
дата официального открытия;1;1;2.857142857142857
епархия;1;1;2.857142857142857
жанр;1;1;2.857142857142857
заказчик произведения;1;1;2.857142857142857
заменил;1;1;2.857142857142857
идентификатор Dizionario di Storia;1;1;2.857142857142857
идентификатор ROR;1;1;2.857142857142857
издатель;1;1;2.857142857142857
изображённый объект;1;1;2.857142857142857
испытал влияние от;1;1;2.857142857142857
код ASC Leiden Thesaurus;1;1;2.857142857142857
код BNCF;1;1;2.857142857142857
код BNE;1;1;2.857142857142857
код NDL;1;1;2.857142857142857
код US National Archives;1;1;2.857142857142857
код archINFORM;1;1;2.857142857142857
код grid global research;1;1;2.857142857142857
код Католической энциклопедии;1;1;2.857142857142857
код в Encyclopædia Universalis;1;1;2.857142857142857
код в Большой норвежской энциклопедии;1;1;2.857142857142857
код в Итальянской энциклопедии онлайн;1;1;2.857142857142857
код в проекте SNAC;1;1;2.857142857142857
место создания;1;1;2.857142857142857
обитатель;1;1;2.857142857142857
область деятельности;1;1;2.857142857142857
ответственность несёт;1;1;2.857142857142857
охранный статус;1;1;2.857142857142857
предыдущее по порядку;1;1;2.857142857142857
принадлежит к;1;1;2.857142857142857
состоит из представителей класса;1;1;2.857142857142857
страна происхождения;1;1;2.857142857142857
тег или ключ OpenStreetMap;1;1;2.857142857142857
тема JSTOR;1;1;2.857142857142857
учебное заведение;1;1;2.857142857142857
художественное направление;1;1;2.857142857142857
целевая аудитория;1;1;2.857142857142857
