prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;23;28;100.0
географические координаты;21;21;91.30434782608695
государство;21;21;91.30434782608695
административно-территориальная единица;18;19;78.26086956521739
категория на Викискладе;8;8;34.78260869565217
высота над уровнем моря;7;8;30.434782608695656
изображение;7;7;30.434782608695656
код GeoNames;5;5;21.73913043478261
исток водотока;4;4;17.391304347826086
eSTUDÁNKY ID;3;3;13.043478260869565
код GNS;3;3;13.043478260869565
статус наследия;2;4;8.695652173913043
код в Большой каталанской энциклопедии;2;2;8.695652173913043
названо в честь;2;2;8.695652173913043
находится на берегу водоёма;1;4;4.3478260869565215
описан на сайте;1;3;4.3478260869565215
баннер Викигида;1;1;4.3478260869565215
водосборный бассейн;1;1;4.3478260869565215
впадает в;1;1;4.3478260869565215
горный хребет;1;1;4.3478260869565215
код Mérimée;1;1;4.3478260869565215
код kulturnoe-nasledie.ru;1;1;4.3478260869565215
код «Вики любит памятники»;1;1;4.3478260869565215
код тезауруса PACTOLS;1;1;4.3478260869565215
местонахождение;1;1;4.3478260869565215
находится в охранной зоне;1;1;4.3478260869565215
находится в пределах природно-географического объекта;1;1;4.3478260869565215
официальное название;1;1;4.3478260869565215
площадь бассейна;1;1;4.3478260869565215
пример использования свойства;1;1;4.3478260869565215
приток;1;1;4.3478260869565215
регистрационный номер ЕГРОКН;1;1;4.3478260869565215
