prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;2714;2872;100.0
географические координаты;2675;2727;98.56300663227708
государство;2619;2651;96.49963154016213
код GeoNames;2440;2440;89.9042004421518
административно-территориальная единица;1291;1325;47.56816507000737
код GNS;845;845;31.134856300663227
высота над уровнем моря;260;264;9.579955784819456
изображение;211;218;7.774502579218866
категория на Викискладе;194;194;7.148120854826824
антарктический код GNIS;145;145;5.342667649226234
часть света;85;85;3.131908621960206
SCAR Composite Gazetteer place ID;84;84;3.0950626381724393
часть от;69;75;2.5423728813559325
горный хребет;65;65;2.394988946204864
находится на берегу водоёма;62;62;2.284450994841562
Gazetteer for Scotland place ID;59;120;2.1739130434782608
находится в охранной зоне;41;49;1.5106853352984526
находится в пределах природно-географического объекта;29;29;1.0685335298452467
площадь;28;28;1.0316875460574797
статус наследия;24;27;0.8843036109064112
код Freebase;24;24;0.8843036109064112
местонахождение;22;38;0.8106116433308769
Norwegian Polar Institute place name ID;21;21;0.7737656595431098
названо в честь;20;26;0.7369196757553427
Bavarian geotope ID;19;19;0.7000736919675755
численность населения;17;18;0.6263817243920413
код GNIS;16;16;0.5895357406042742
состоит из;12;16;0.4421518054532056
код VIAF;12;12;0.4421518054532056
Australian Antarctic Gazetteer ID;11;11;0.40530582166543844
не путать с;8;8;0.2947678703021371
основная тема;7;8;0.2579218865143699
Finnish archaeological heritage ID;7;7;0.2579218865143699
код в энциклопедии «Британника онлайн»;6;7;0.2210759027266028
длина;6;6;0.2210759027266028
код SHOWA;6;6;0.2210759027266028
дата основания/создания/возникновения;5;5;0.18422991893883567
код BabelNet;5;5;0.18422991893883567
код LCNAF;5;5;0.18422991893883567
сделано из;5;5;0.18422991893883567
ширина;5;5;0.18422991893883567
изображённый объект;4;7;0.14738393515106854
часовой пояс;4;7;0.14738393515106854
галерея на Викискладе;4;4;0.14738393515106854
код GND;4;4;0.14738393515106854
общая тема категории;4;4;0.14738393515106854
основная категория по теме;4;4;0.14738393515106854
эра;4;4;0.14738393515106854
описывается в источниках;3;8;0.1105379513633014
Atlas Obscura identifier;3;3;0.1105379513633014
LUBW Protected Area No;3;3;0.1105379513633014
адрес;3;3;0.1105379513633014
высота/рост;3;3;0.1105379513633014
значимое место;3;3;0.1105379513633014
код в Большой российской энциклопедии онлайн;3;3;0.1105379513633014
Bulgarian Antarctic Gazetteer ID;2;2;0.07369196757553427
Drobné památky ID;2;2;0.07369196757553427
Geolex ID;2;2;0.07369196757553427
LoJ peak ID;2;2;0.07369196757553427
Microsoft Academic ID;2;2;0.07369196757553427
National Natural Landmarks site ID;2;2;0.07369196757553427
владеет;2;2;0.07369196757553427
владельцем является;2;2;0.07369196757553427
карта местонахождения;2;2;0.07369196757553427
код ISNI;2;2;0.07369196757553427
код TGN;2;2;0.07369196757553427
название на языке оригинала;2;2;0.07369196757553427
описан на сайте;2;2;0.07369196757553427
официальное название;2;2;0.07369196757553427
проходит над/под;2;2;0.07369196757553427
имя;1;2;0.036845983787767135
код Цифрового атласа Римской империи;1;2;0.036845983787767135
ARLHS Lighthouse ID;1;1;0.036845983787767135
Cultural heritage database in Austria ObjektID;1;1;0.036845983787767135
Czech Monument Catalogue Number;1;1;0.036845983787767135
Dictionary of Sydney ID;1;1;0.036845983787767135
French Vikidia ID;1;1;0.036845983787767135
ID отношения в OpenStreetMap;1;1;0.036845983787767135
KLEKs ID;1;1;0.036845983787767135
MMSI;1;1;0.036845983787767135
Megalithic Portal ID;1;1;0.036845983787767135
Mountain Project ID;1;1;0.036845983787767135
New Zealand Gazetteer place ID;1;1;0.036845983787767135
T4T35 megalith ID;1;1;0.036845983787767135
VOGRIPA ID;1;1;0.036845983787767135
Vision of Britain place ID;1;1;0.036845983787767135
Who's on First ID;1;1;0.036845983787767135
WorldCat Identities ID;1;1;0.036845983787767135
аудиозапись прочитанного текста;1;1;0.036845983787767135
баннер Викигида;1;1;0.036845983787767135
вулканическая обсерватория;1;1;0.036845983787767135
географический код Kallikratis;1;1;0.036845983787767135
географический код Великобритании;1;1;0.036845983787767135
идентификатор Чешского культурного наследия;1;1;0.036845983787767135
имеет границы с;1;1;0.036845983787767135
карта ареала вида;1;1;0.036845983787767135
категория защищённых зон МСОП;1;1;0.036845983787767135
код BNF;1;1;0.036845983787767135
код GAMEO;1;1;0.036845983787767135
код NKC;1;1;0.036845983787767135
код NRHP;1;1;0.036845983787767135
код TripAdvisor;1;1;0.036845983787767135
код «Вики любит памятники»;1;1;0.036845983787767135
код Фламандской организации недвижимого наследия;1;1;0.036845983787767135
код в Большой арагонской энциклопедии;1;1;0.036845983787767135
код в Большой каталанской энциклопедии;1;1;0.036845983787767135
код в Итальянской энциклопедии;1;1;0.036845983787767135
код вулкана в Smithsonian;1;1;0.036845983787767135
код культурного наследия Баварии;1;1;0.036845983787767135
код места в Facebook;1;1;0.036845983787767135
код тезауруса PACTOLS;1;1;0.036845983787767135
код темы Quora;1;1;0.036845983787767135
культура;1;1;0.036845983787767135
место рождения;1;1;0.036845983787767135
место смерти;1;1;0.036845983787767135
место съёмок;1;1;0.036845983787767135
открывает вид на;1;1;0.036845983787767135
официальный сайт;1;1;0.036845983787767135
полученные награды;1;1;0.036845983787767135
представлено в работе;1;1;0.036845983787767135
расположение штаб-квартиры;1;1;0.036845983787767135
состоит из представителей класса;1;1;0.036845983787767135
фамилия;1;1;0.036845983787767135
