prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;374;536;100.0
дата прекращения существования;374;376;100.0
государство;371;437;99.19786096256684
площадь;306;548;81.81818181818183
географические координаты;297;297;79.41176470588235
административно-территориальная единица;295;787;78.87700534759358
дата основания/создания/возникновения;295;296;78.87700534759358
код района Германии;280;280;74.8663101604278
код VIAF;236;237;63.101604278074866
код GND;212;212;56.68449197860963
карта местонахождения;122;124;32.62032085561498
изображение герба;103;105;27.540106951871657
категория на Викискладе;90;90;24.06417112299465
имеет границы с;88;246;23.52941176470588
код LCNAF;78;78;20.855614973262032
численность населения;70;619;18.71657754010695
административно делится на;66;219;17.647058823529413
код автомобильного номера;66;67;17.647058823529413
столица;65;65;17.379679144385026
официальное название;56;130;14.973262032085561
Bavarikon ID;52;52;13.903743315508022
код Historical Gazetteer;51;51;13.636363636363635
является столицей;51;51;13.636363636363635
женское население;50;572;13.368983957219251
число домов;50;572;13.368983957219251
число домохозяйств;50;571;13.368983957219251
мужское население;50;570;13.368983957219251
код NUTS;48;95;12.834224598930483
код Freebase;48;48;12.834224598930483
часовой пояс;47;185;12.566844919786096
заменён на;47;64;12.566844919786096
NWBib ID;46;46;12.299465240641712
заменил;42;45;11.229946524064172
десятичная классификация Дьюи;34;34;9.090909090909092
глава правительства;31;47;8.288770053475936
основная категория по теме;27;27;7.219251336898395
место рождения;26;38;6.951871657754011
названо в честь;26;26;6.951871657754011
общая тема категории;26;26;6.951871657754011
следующее по порядку;23;32;6.149732620320856
официальный сайт;23;25;6.149732620320856
предыдущее по порядку;19;20;5.080213903743315
расположение штаб-квартиры;16;16;4.27807486631016
код GeoNames;14;14;3.7433155080213902
категория объединяет темы;13;15;3.4759358288770055
Who's on First ID;13;13;3.4759358288770055
код TGN;12;12;3.2085561497326207
указано для части;11;11;2.941176470588235
место смерти;9;14;2.406417112299465
WorldCat Identities ID;9;9;2.406417112299465
категория карт на Викискладе;9;9;2.406417112299465
владельцем является;7;7;1.8716577540106951
изображение;7;7;1.8716577540106951
владеет;5;5;1.3368983957219251
место активности;4;5;1.06951871657754
галерея на Викискладе;4;4;1.06951871657754
код BabelNet;4;4;1.06951871657754
находится в пределах природно-географического объекта;4;4;1.06951871657754
изображение печати/эмблемы;3;3;0.8021390374331552
изображение флага;3;3;0.8021390374331552
карта ареала вида;3;3;0.8021390374331552
название на языке оригинала;3;3;0.8021390374331552
зона обслуживания;2;3;0.53475935828877
iNaturalist place ID;2;2;0.53475935828877
высота над уровнем моря;2;2;0.53475935828877
город-побратим;2;2;0.53475935828877
дата окончания;2;2;0.53475935828877
код NLI;2;2;0.53475935828877
наивысшая точка;2;2;0.53475935828877
не путать с;2;2;0.53475935828877
работодатель;2;2;0.53475935828877
ID отношения в OpenStreetMap;1;1;0.267379679144385
автор;1;1;0.267379679144385
главный регулирующий текст;1;1;0.267379679144385
идентификатор местоположения ArchINFORM;1;1;0.267379679144385
категория для людей, родившихся здесь;1;1;0.267379679144385
категория для людей, связанных с местностью;1;1;0.267379679144385
категория для людей, умерших здесь;1;1;0.267379679144385
код FAST;1;1;0.267379679144385
код NKC;1;1;0.267379679144385
код в энциклопедии «Британника онлайн»;1;1;0.267379679144385
код места в Instagram;1;1;0.267379679144385
код темы Quora;1;1;0.267379679144385
короткое название;1;1;0.267379679144385
местонахождение;1;1;0.267379679144385
оператор;1;1;0.267379679144385
описан на сайте;1;1;0.267379679144385
официальный язык;1;1;0.267379679144385
подробная карта;1;1;0.267379679144385
полученные награды;1;1;0.267379679144385
состоит из;1;1;0.267379679144385
участник организации или клуба;1;1;0.267379679144385
часть света;1;1;0.267379679144385
