prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;54;107;100.0
административно-территориальная единица;54;54;100.0
географические координаты;54;54;100.0
государство;54;54;100.0
Bavarian geotope ID;44;44;81.48148148148148
изображение;11;11;20.37037037037037
категория на Викискладе;11;11;20.37037037037037
статус наследия;5;5;9.25925925925926
высота над уровнем моря;2;2;3.7037037037037033
LUBW Protected Area No;1;1;1.8518518518518516
входит в состав списка памятников культурного наследия;1;1;1.8518518518518516
код GeoNames;1;1;1.8518518518518516
код культурного наследия Баварии;1;1;1.8518518518518516
находится в охранной зоне;1;1;1.8518518518518516
находится в пределах природно-географического объекта;1;1;1.8518518518518516
официальный сайт;1;1;1.8518518518518516
полученные награды;1;1;1.8518518518518516
состоит из;1;1;1.8518518518518516
