prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;216;260;100.0
государство;207;207;95.83333333333334
географические координаты;189;194;87.5
административно-территориальная единица;181;187;83.79629629629629
изображение;127;133;58.79629629629629
категория на Викискладе;100;100;46.2962962962963
находится в охранной зоне;47;48;21.75925925925926
код GeoNames;38;38;17.59259259259259
высота над уровнем моря;36;36;16.666666666666664
местонахождение;34;37;15.74074074074074
код GNIS;28;28;12.962962962962962
названо в честь;21;24;9.722222222222223
название на языке оригинала;21;21;9.722222222222223
открывает вид на;17;35;7.87037037037037
статус наследия;15;19;6.944444444444445
код Peakbagger;15;15;6.944444444444445
горный хребет;14;14;6.481481481481481
дата официального открытия;13;13;6.018518518518518
часть света;13;13;6.018518518518518
код TripAdvisor;9;9;4.166666666666666
код места в Foursquare;9;9;4.166666666666666
часть от;9;9;4.166666666666666
код Freebase;8;8;3.7037037037037033
конечная;7;9;3.2407407407407405
находится в пределах природно-географического объекта;7;8;3.2407407407407405
eBird hotspot ID;7;7;3.2407407407407405
архитектор;6;6;2.7777777777777777
архитектурный стиль;6;6;2.7777777777777777
дата основания/создания/возникновения;6;6;2.7777777777777777
числовой код SSR для названия;6;6;2.7777777777777777
код NRHP;5;5;2.314814814814815
описан на сайте;5;5;2.314814814814815
адрес;4;5;1.8518518518518516
официальный сайт;4;4;1.8518518518518516
расположен на улице;4;4;1.8518518518518516
LoJ peak ID;3;3;1.3888888888888888
OhRanger.com ID;3;3;1.3888888888888888
U.S. National Geodetic Survey ID;3;3;1.3888888888888888
идентификатор Structurae;3;3;1.3888888888888888
код GNS;3;3;1.3888888888888888
код места в Facebook;3;3;1.3888888888888888
оператор;3;3;1.3888888888888888
состоит из;3;3;1.3888888888888888
ID отношения в OpenStreetMap;2;2;0.9259259259259258
галерея на Викискладе;2;2;0.9259259259259258
длина;2;2;0.9259259259259258
ключевое событие;2;2;0.9259259259259258
код Inventari del Patrimoni Arquitectònic de Catalunya;2;2;0.9259259259259258
код SIPA;2;2;0.9259259259259258
код SummitPost;2;2;0.9259259259259258
код TGN;2;2;0.9259259259259258
код места в Instagram;2;2;0.9259259259259258
код темы Quora;2;2;0.9259259259259258
связанное изображение;2;2;0.9259259259259258
не путать с;1;3;0.4629629629629629
изображённый объект;1;2;0.4629629629629629
состоит из представителей класса;1;2;0.4629629629629629
Cultural heritage database in Austria ObjektID;1;1;0.4629629629629629
Czech Monument Catalogue Number;1;1;0.4629629629629629
Hiking Project site ID;1;1;0.4629629629629629
LUBW Protected Area No;1;1;0.4629629629629629
Michelin Voyages ID;1;1;0.4629629629629629
вид в ночное время;1;1;0.4629629629629629
видеофайл;1;1;0.4629629629629629
высота/рост;1;1;0.4629629629629629
изображение дорожного знака с названием населённого пункта;1;1;0.4629629629629629
изображение памятной доски;1;1;0.4629629629629629
имеет границы с;1;1;0.4629629629629629
инвентарный номер;1;1;0.4629629629629629
используется как/для/в;1;1;0.4629629629629629
карта местонахождения;1;1;0.4629629629629629
каталожный код;1;1;0.4629629629629629
код BNF;1;1;0.4629629629629629
код GND;1;1;0.4629629629629629
код KulturNav;1;1;0.4629629629629629
код VIAF;1;1;0.4629629629629629
код Yelp;1;1;0.4629629629629629
код «Вики любит памятники»;1;1;0.4629629629629629
код в энциклопедии «Британника онлайн»;1;1;0.4629629629629629
место смерти;1;1;0.4629629629629629
находится на берегу водоёма;1;1;0.4629629629629629
оборудован;1;1;0.4629629629629629
общая тема категории;1;1;0.4629629629629629
основная категория по теме;1;1;0.4629629629629629
официальное название;1;1;0.4629629629629629
посвящено;1;1;0.4629629629629629
пример использования свойства;1;1;0.4629629629629629
сделано из;1;1;0.4629629629629629
стоимость;1;1;0.4629629629629629
ширина;1;1;0.4629629629629629
