prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;33;40;100.0
географические координаты;33;35;100.0
это частный случай понятия;33;34;100.0
административно делится на;33;33;100.0
государство;33;33;100.0
высота над уровнем моря;30;31;90.9090909090909
код в Большой каталанской энциклопедии;30;30;90.9090909090909
Who's on First ID;28;28;84.84848484848484
код GeoNames;28;28;84.84848484848484
код Freebase;27;27;81.81818181818183
изображение;24;37;72.72727272727273
часть от;17;22;51.515151515151516
почтовый индекс;11;11;33.33333333333333
WOEID;6;6;18.181818181818183
категория на Викискладе;6;6;18.181818181818183
расположение конечной точки;5;6;15.151515151515152
место рождения;5;5;15.151515151515152
местонахождение;4;5;12.121212121212121
столица;3;3;9.090909090909092
является столицей;3;3;9.090909090909092
численность населения;2;4;6.0606060606060606
баннер Викигида;2;2;6.0606060606060606
официальный сайт;2;2;6.0606060606060606
категория объединяет темы;1;2;3.0303030303030303
начало пути;1;2;3.0303030303030303
dmoz;1;1;3.0303030303030303
значимое место;1;1;3.0303030303030303
идентификатор местоположения ArchINFORM;1;1;3.0303030303030303
используемый язык;1;1;3.0303030303030303
категория для людей, родившихся здесь;1;1;3.0303030303030303
категория для людей, связанных с местностью;1;1;3.0303030303030303
код TGN;1;1;3.0303030303030303
код тезауруса PACTOLS;1;1;3.0303030303030303
место жительства;1;1;3.0303030303030303
общая тема категории;1;1;3.0303030303030303
основная категория по теме;1;1;3.0303030303030303
расположение штаб-квартиры;1;1;3.0303030303030303
состоит из;1;1;3.0303030303030303
