prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;40;47;100.0
административно-территориальная единица;39;35659;97.5
государство;39;81;97.5
дата основания/создания/возникновения;39;39;97.5
столица;38;44;95.0
географические координаты;37;37;92.5
является столицей;36;38;90.0
код Freebase;34;34;85.0
место рождения;32;2530;80.0
общая тема категории;32;36;80.0
основная категория по теме;32;32;80.0
категория объединяет темы;31;452;77.5
численность населения;29;56;72.5
карта местонахождения;29;29;72.5
происходит из;28;976;70.0
используемый язык;28;973;70.0
юрисдикция распространяется на;28;459;70.0
имеет границы с;28;152;70.0
глава правительства;28;43;70.0
официальный сайт;28;31;70.0
не путать с;28;29;70.0
ID отношения в OpenStreetMap;28;28;70.0
ISO 3166-2;28;28;70.0
Indian census area code (2001);28;28;70.0
MDWS place ID;28;28;70.0
Who's on First ID;28;28;70.0
административно делится на;28;28;70.0
баннер Викигида;28;28;70.0
должность главы правительства;28;28;70.0
законодательный орган;28;28;70.0
занимает ту же территорию с;28;28;70.0
исполнительная власть;28;28;70.0
категория для людей, связанных с местностью;28;28;70.0
категория карт на Викискладе;28;28;70.0
категория на Викискладе;28;28;70.0
код GeoNames;28;28;70.0
код темы Quora;28;28;70.0
обзорная статья Викимедиа;28;28;70.0
площадь;28;28;70.0
городское население;27;167;67.5
сельское население;27;167;67.5
безграмотное население;27;81;67.5
грамотное население;27;81;67.5
женское население;27;31;67.5
мужское население;27;31;67.5
FIPS 10-4 (страны и регионы);27;30;67.5
глава государства;27;28;67.5
категория для людей, родившихся здесь;27;27;67.5
код GND;27;27;67.5
код TGN;27;27;67.5
код в энциклопедии «Британника онлайн»;27;27;67.5
постоянный дубликат;27;27;67.5
dmoz;26;29;65.0
код VIAF;26;26;65.0
позиционная карта;26;26;65.0
место смерти;25;174;62.5
название на языке оригинала;25;47;62.5
местонахождение;24;130;60.0
код LCNAF;24;24;60.0
код в Большой каталанской энциклопедии;24;24;60.0
изображение;23;26;57.49999999999999
место в MusicBrainz;23;23;57.49999999999999
место жительства;22;66;55.00000000000001
официальный язык;22;29;55.00000000000001
категория для людей, умерших здесь;21;21;52.5
код BNF;20;21;50.0
сабреддит;20;20;50.0
расположение штаб-квартиры;19;75;47.5
тематически относится к;18;32;45.0
часть от;18;27;45.0
категория фильмов, снятых в этом месте;18;18;45.0
часть света;18;18;45.0
описывается в источниках;17;34;42.5
заменён на;17;19;42.5
часовой пояс;17;18;42.5
код BabelNet;17;17;42.5
страна происхождения;16;58;40.0
изображённый объект;16;16;40.0
география темы;15;15;37.5
код GACS;15;15;37.5
история происходит в месте;14;483;35.0
официальное название;14;34;35.0
код в Encyclopædia Universalis;14;14;35.0
основная тема;13;24;32.5
заменил;13;15;32.5
место изготовления;12;70;30.0
галерея на Викискладе;12;12;30.0
дата прекращения существования;12;12;30.0
идентификатор местоположения ArchINFORM;12;12;30.0
изображение герба;12;12;30.0
место активности;10;11;25.0
изображение печати/эмблемы;10;10;25.0
код NKC;10;10;25.0
код автомобильного номера;10;10;25.0
код для сущности Wolfram Language;10;10;25.0
значение в OmegaWiki;9;9;22.5
код NE.se;9;9;22.5
код в Большой российской энциклопедии онлайн;9;9;22.5
гражданство;8;28;20.0
десятичная классификация Дьюи;8;8;20.0
код NLI;8;8;20.0
названо в честь;7;9;17.5
история темы;7;7;17.5
код тезауруса PACTOLS;7;7;17.5
коллаж;7;7;17.5
наивысшая точка;7;7;17.5
код YSO;6;6;15.0
состоит из;6;6;15.0
зона обслуживания;5;7;12.5
место съёмок;5;7;12.5
владельцем является;5;6;12.5
место публикации;5;6;12.5
код в Национальной библиотеке Австралии (персоналии);5;5;12.5
место погребения;4;8;10.0
член спортивной команды;4;6;10.0
должность главы государства;4;4;10.0
код ISNI;4;4;10.0
код SUDOC;4;4;10.0
предки из;4;4;10.0
пример использования свойства;3;5;7.5
место создания;3;4;7.5
предыдущее по порядку;3;4;7.5
French Vikidia ID;3;3;7.5
Indian census area code (2011);3;3;7.5
высота над уровнем моря;3;3;7.5
идентификатор Dizionario di Storia;3;3;7.5
изображение флага;3;3;7.5
код Banglapedia (бенгальская версия);3;3;7.5
код Comic Vine;3;3;7.5
код FAST;3;3;7.5
находится в пределах природно-географического объекта;3;3;7.5
почтовый индекс;3;3;7.5
следующее по порядку;3;3;7.5
этническая группа;3;3;7.5
этнохороним;2;5;5.0
основатель;2;3;5.0
отношение к религии;2;3;5.0
De Agostini ID;2;2;5.0
владеет;2;2;5.0
гимн;2;2;5.0
избирательный округ;2;2;5.0
код NDL;2;2;5.0
код US National Archives;2;2;5.0
код ТИА;2;2;5.0
код онлайн-версии Энциклопедии Брокгауз;2;2;5.0
место обнаружения;2;2;5.0
основная тема портала Викимедиа;2;2;5.0
подкласс от;2;2;5.0
портал Викимедиа;2;2;5.0
срок полномочий парламента;2;2;5.0
элемент для смысла;2;2;5.0
официальный символ;1;5;2.5
издатель;1;2;2.5
код LAC;1;2;2.5
Australian War Memorial ID;1;1;2.5
Indian census area code (1991);1;1;2.5
The Times of India topic ID;1;1;2.5
WorldCat Identities ID;1;1;2.5
бассейн объекта в странах;1;1;2.5
в этом списке перечисляются;1;1;2.5
геоданные;1;1;2.5
глубочайшая точка;1;1;2.5
дата окончания;1;1;2.5
денежная единица;1;1;2.5
заказчик произведения;1;1;2.5
идентификатор MeSH;1;1;2.5
идентификатор Ringgold;1;1;2.5
идентификатор таблицы данных Invasive Species Compendium;1;1;2.5
идентификатор темы Le Monde diplomatique;1;1;2.5
изображается на;1;1;2.5
изображение геральдического щита;1;1;2.5
индекс человеческого развития;1;1;2.5
категория для людей, похороненных здесь;1;1;2.5
код BBC Things;1;1;2.5
код BNE;1;1;2.5
код CiNii;1;1;2.5
код GAMEO;1;1;2.5
код INSEE для стран и зарубежных территорий;1;1;2.5
код NLA;1;1;2.5
код SELIBR;1;1;2.5
код в Большой норвежской энциклопедии;1;1;2.5
код в Иранике;1;1;2.5
код в Итальянской энциклопедии онлайн;1;1;2.5
код персоны/учреждения в Британском музее;1;1;2.5
код темы NYT;1;1;2.5
короткое название;1;1;2.5
материнская компания (организация, учреждение);1;1;2.5
находится на берегу водоёма;1;1;2.5
обслуживаемый город;1;1;2.5
оператор;1;1;2.5
описание печати/эмблемы;1;1;2.5
подробная карта;1;1;2.5
предположительно одно и то же с;1;1;2.5
работодатель;1;1;2.5
родной язык;1;1;2.5
соответствующий список;1;1;2.5
список памятников;1;1;2.5
типовая местность (геология);1;1;2.5
транскрипция в МФА;1;1;2.5
управляемая организация;1;1;2.5
утверждается в;1;1;2.5
