prop_name;prop_count;prop_count_value;prop_counter
карта местонахождения;38;40;100.0
государство;38;38;100.0
это частный случай понятия;38;38;100.0
административно делится на;28;28;73.68421052631578
административно-территориальная единица;22;5169;57.89473684210527
имеет границы с;17;38;44.73684210526316
площадь;13;13;34.21052631578947
общая тема категории;12;12;31.57894736842105
основная категория по теме;12;12;31.57894736842105
географические координаты;11;11;28.947368421052634
код Freebase;11;11;28.947368421052634
столица;11;11;28.947368421052634
FIPS 10-4 (страны и регионы);10;10;26.31578947368421
ID отношения в OpenStreetMap;10;10;26.31578947368421
ISO 3166-2;10;10;26.31578947368421
Who's on First ID;10;10;26.31578947368421
изображение флага;10;10;26.31578947368421
код GeoNames;10;10;26.31578947368421
код TGN;10;10;26.31578947368421
численность населения;10;10;26.31578947368421
является столицей;10;10;26.31578947368421
используемый язык;9;57;23.684210526315788
происходит из;9;56;23.684210526315788
изображение;9;9;23.684210526315788
категория на Викискладе;4;4;10.526315789473683
место рождения;4;4;10.526315789473683
официальное название;2;4;5.263157894736842
местонахождение;2;2;5.263157894736842
часовой пояс;2;2;5.263157894736842
баннер Викигида;1;1;2.631578947368421
бассейн объекта в странах;1;1;2.631578947368421
дата основания/создания/возникновения;1;1;2.631578947368421
дата прекращения существования;1;1;2.631578947368421
код BabelNet;1;1;2.631578947368421
код NE.se;1;1;2.631578947368421
код в Большой каталанской энциклопедии;1;1;2.631578947368421
код темы Quora;1;1;2.631578947368421
место в MusicBrainz;1;1;2.631578947368421
название на языке оригинала;1;1;2.631578947368421
